Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Josh Adams,RB,2021,0,0,0,4,26,0,0,0,0,0,157,680,5,13,87,0,3,,,AdamJo03
Matthew Adams,LB,2021,0,0,1,10,58,0,0,0,0,0,0,0,0,0,0,0,40,,,AdamMa00
Olasunkanmi Adeniyi,DE,2021,0,0,0,4,48,0,0,0,0,0,0,0,0,0,0,0,30,,2.5,AdenOl00
Jordan Akins,TE,2021,0,0,1,10,58,0,0,0,0,0,2,7,0,114,1260,3,1,,,AkinJo00
Adonis Alexander,CB,2018,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,AlexAd00
Jaire Alexander,CB,2021,0,1,3,22,48,0,0,0,0,0,0,0,0,0,0,0,160,5,1.5,AlexJa00
Mo Alie-Cox,TE,2021,0,0,0,9,57,0,0,0,0,0,0,0,0,70,936,8,2,,,AlieMo00
Brandon Allen,QB,2021,0,0,0,4,14,146,260,1589,10,6,30,65,0,0,0,0,,,,AlleBr00
Brian Allen,C,2021,0,0,2,14,38,0,0,0,0,0,0,0,0,0,0,0,,,,AlleBr02
Josh Allen,QB,2021,0,2,4,51,61,1245,1999,14114,103,46,422,2325,31,1,12,1,1,,,AlleJo02
Kyle Allen,QB,2021,0,0,1,10,21,395,626,4318,24,17,46,162,4,0,0,0,,,,AlleKy00
Marcus Allen,S,2021,0,0,0,5,33,0,0,0,0,0,0,0,0,0,0,0,26,,,AlleMa03
Mark Andrews,TE,2021,1,2,0,32,62,0,0,0,0,0,1,0,0,263,3466,29,5,,,AndrMa00
Troy Apke,S,2021,0,0,1,6,50,0,0,0,0,0,0,0,0,0,0,0,49,1,,ApkeTr00
Cornell Armstrong,CB,2020,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,11,,,ArmsCo00
Dorance Armstrong Jr.,DE,2021,0,0,0,9,59,0,0,0,0,0,0,0,0,0,0,0,64,,7.5,ArmsDo00
Dan Arnold,WR,2021,0,0,0,10,42,0,0,0,0,0,0,0,0,86,1123,7,,,,ArnoDa00
Marcell Ateman,WR,2021,0,0,0,2,19,0,0,0,0,0,0,0,0,20,270,1,,,,AtemMa00
John Atkins,DT,2019,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,0,14,,,AtkiJo01
Anthony Averett,CB,2021,0,0,1,10,44,0,0,0,0,0,0,0,0,0,0,0,87,3,,AverAn00
Genard Avery,LB,2021,0,0,2,11,53,0,0,0,0,0,0,0,0,0,0,0,60,,7.5,AverGe00
Michael Badgley,K,2021,0,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,1,,,BadgMi00
Jerome Baker,OLB,2021,0,0,4,24,64,0,0,0,0,0,0,0,0,0,0,0,265,3,17.0,BakeJe00
Kalen Ballage,RB,2021,0,0,1,6,52,0,0,0,0,0,213,665,7,54,293,0,4,,,BallKa00
Saquon Barkley,RB,2021,0,1,3,28,44,0,0,0,0,0,659,2937,19,190,1482,8,,,,BarkSa00
Jessie Bates III,FS,2021,0,0,4,25,63,0,0,0,0,0,0,0,0,0,0,0,289,10,,BateJe00
Cameron Batson,WR,2021,0,0,0,2,27,0,0,0,0,0,7,36,0,22,197,2,1,,,BatsCa00
Nick Bawden,RB,2021,0,0,0,0,19,0,0,0,0,0,0,0,0,5,37,0,1,,,BawdNi00
Chad Beebe,WR,2020,0,0,0,3,20,0,0,0,0,0,0,0,0,26,310,2,2,,,BeebCh00
Ja'Whaun Bentley,ILB,2021,0,0,2,20,48,0,0,0,0,0,0,0,0,0,0,0,156,1,2.5,BentJa00
Braxton Berrios,WR,2021,1,0,0,9,48,0,0,0,0,0,10,69,2,89,940,5,1,,,BerrBr00
Keishawn Bierria,ILB,2019,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,3,,,BierKe00
Saeed Blacknall,WR,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BlacSa00
Christian Blake,WR,2021,0,0,0,2,41,0,0,0,0,0,0,0,0,28,257,0,7,,,BlakCh00
C.J. Board,WR,2021,0,0,0,1,24,0,0,0,0,0,2,9,0,17,183,0,1,,,BoarC.00
Chris Board,LB,2021,0,0,0,5,63,0,0,0,0,0,0,0,0,0,0,0,52,,2.5,BoarCh00
Ike Boettger,G,2021,0,0,1,9,33,0,0,0,0,0,0,0,0,0,0,0,1,,,BoetIk00
Corey Bojorquez,P,2021,0,0,0,7,57,0,1,0,0,0,1,0,0,0,0,0,2,,,BojoCo00
Mike Boone,RB,2021,0,0,0,2,48,0,0,0,0,0,75,414,4,9,50,0,7,,,BoonMi00
Tim Boyle,QB,2021,0,0,0,2,16,64,98,541,3,6,20,-3,0,0,0,0,,,,BoylTi00
Bradley Bozeman,C,2021,0,0,3,24,62,0,0,0,0,0,0,0,0,0,0,0,1,,,BozeBr00
Ben Braden,OG,2021,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,BradBe00
Hunter Bradley,LS,2021,0,0,0,3,56,0,0,0,0,0,0,0,0,0,0,0,1,,,BradHu00
Andrew Brown,DE,2021,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,12,,1.0,BrowAn05
Evan Brown,C,2021,0,0,1,5,27,0,0,0,0,0,0,0,0,0,0,0,,,,BrowEv00
Fadol Brown,DE,2019,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,16,,,BrowFa00
Fred Brown,WR,2020,0,0,0,0,14,0,0,0,0,0,0,0,0,2,21,0,3,,,BrowFr01
Jonathan Brown,K,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJo03
Orlando Brown Jr.,OT,2021,0,3,4,41,64,0,0,0,0,0,0,0,0,0,0,0,,,,BrowOr00
Tony Brown,CB,2020,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,44,,,BrowTo01
Daniel Brunskill,OT,2021,0,0,2,18,47,0,0,0,0,0,0,0,0,0,0,0,2,,,BrunDa00
Taven Bryan,DT,2021,0,0,2,10,63,0,0,0,0,0,0,0,0,0,0,0,51,,5.5,BryaTa00
Oren Burks,ILB,2021,0,0,0,7,59,0,0,0,0,0,0,0,0,0,0,0,63,,0.5,BurkOr00
Deontay Burnett,WR,2020,0,0,0,1,8,0,0,0,0,0,0,0,0,15,210,0,,,,BurnDe00
Deante Burton,WR,2021,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,6,,,BurtDe00
Jake Butt,TE,2020,0,0,0,1,8,0,0,0,0,0,0,0,0,10,90,0,1,,,ButtJa00
Jason Cabinda,ILB,2021,0,0,0,4,44,0,0,0,0,0,4,23,0,6,24,1,24,,,CabiJa00
Deon Cain,WR,2020,0,0,0,1,15,0,0,0,0,0,0,0,0,9,124,0,,,,CainDe00
Austin Calitro,LB,2021,0,0,0,7,47,0,0,0,0,0,0,0,0,0,0,0,69,,1.5,CaliAu00
Antonio Callaway,WR,2020,0,0,1,5,25,0,0,0,0,0,2,7,0,53,695,5,,,,CallAn00
Trenton Cannon,RB,2021,0,0,0,2,46,0,0,0,0,0,51,150,1,20,160,0,22,,,CannTr00
Alex Cappa,OT,2021,0,0,3,24,52,0,0,0,0,0,0,0,0,0,0,0,,,,CappAl00
Daniel Carlson,K,2021,0,0,0,12,61,0,0,0,0,0,0,0,0,0,0,0,2,,,CarlDa00
Tra Carson,HB,2019,0,0,0,0,9,0,0,0,0,0,18,48,0,4,18,0,4,,,CarsTr01
DeAndre Carter,WR,2021,0,0,0,8,60,0,0,0,0,0,11,96,0,58,682,3,1,,,CartDe02
Jermaine Carter Jr.,LB,2021,0,0,2,14,65,0,0,0,0,0,0,0,0,0,0,0,88,,0.5,CartJe00
Lorenzo Carter,DE,2021,0,0,3,17,49,0,0,0,0,0,0,0,0,0,0,0,94,1,14.5,CartLo01
Sean Chandler,FS,2021,0,0,0,5,47,0,0,0,0,0,1,14,0,0,0,0,47,,1.0,ChanSe00
DJ Chark,WR,2021,0,1,2,14,43,0,0,0,0,0,2,20,0,147,2042,15,5,,,CharDJ00
Geron Christian,OT,2021,0,0,0,8,38,0,0,0,0,0,0,0,0,0,0,0,1,,,ChriGe01
Bradley Chubb,DE,2021,0,1,2,23,41,0,0,0,0,0,0,0,0,0,0,0,92,1,20.5,ChubBr00
Nick Chubb,RB,2021,0,3,4,35,58,0,0,0,0,0,908,4816,36,92,751,3,2,,,ChubNi00
Jack Cichy,ILB,2020,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,4,,,CichJa00
Will Clapp,C,2021,0,0,0,5,34,0,0,0,0,0,0,0,0,0,0,0,,,,ClapWi00
Blaine Clausell,T,2018,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ClauBl01
Mason Cole,C,2021,0,0,2,14,60,0,0,0,0,0,0,0,0,0,0,0,,,,ColeMa02
Lavon Coleman,RB,2018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ColeLa02
Tyler Conklin,TE,2021,0,0,1,9,64,0,0,0,0,0,0,0,0,93,922,4,3,,,ConkTy00
Logan Cooke,P,2021,0,0,0,10,61,3,3,20,0,0,0,0,0,0,0,0,2,,,CookLo00
Austin Corbett,C,2021,0,0,3,19,55,0,0,0,0,0,0,0,0,0,0,0,3,,,CorbAu00
Keke Coutee,WR,2021,0,0,0,7,25,0,0,0,0,0,5,14,1,84,946,4,,,,CoutKe00
Chris Covington,LB,2019,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,,,CoviCh01
River Cracraft,WR,2021,0,0,0,0,24,0,0,0,0,0,0,0,0,7,85,0,3,,,CracRi00
James Crawford,LB,2019,0,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,8,,,CrawJa01
Jason Croom,TE,2020,0,0,0,2,19,0,0,0,0,0,0,0,0,23,262,2,2,,,CrooJa00
Tyrell Crosby,OT,2020,0,0,1,11,38,0,0,0,0,0,0,0,0,0,0,0,,,,CrosTy00
Keion Crossen,CB,2021,0,0,0,5,59,0,0,0,0,0,0,0,0,0,0,0,65,,1.0,CrosKe00
