Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Emmanuel Acho,OLB,2014,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,22,,,AchoEm00
Jeff Adams,T,2015,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,,,,AdamJe00
Joe Adams,WR,2012,0,0,0,0,9,0,0,0,0,0,3,13,0,1,7,0,,,,AdamJo01
Mike Adams,OT,2016,0,0,1,11,53,0,0,0,0,0,0,0,0,0,0,0,,,,AdamMi02
Vince Agnew,CB,2012,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,AgneVi00
Frank Alexander,DE,2014,0,0,0,6,29,0,0,0,0,0,0,0,0,0,0,0,20,,3.5,AlexFr00
Antonio Allen,SS,2016,0,0,2,9,50,0,0,0,0,0,0,0,0,0,0,0,85,1,2.5,AlleAn02
Dwayne Allen,TE,2018,0,0,4,12,86,0,0,0,0,0,4,6,0,139,1564,20,3,,,AlleDw00
Jeff Allen,T,2019,0,0,4,27,84,0,0,0,0,0,0,0,0,0,0,0,1,,,AlleJe01
Joe Anderson,WR,2013,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,,,AndeJo00
Bryan Anger,P,2021,0,1,0,19,159,1,2,19,0,0,2,-5,0,0,0,0,13,,,AngeBr00
Matt Asiata,FB,2016,0,0,1,13,74,0,0,0,0,0,361,1259,18,101,722,1,9,,,AsiaMa00
Mark Asper,G,2013,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,AspeMa00
Rodney Austin,G,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AustRo00
Johnson Bademosi,DB,2019,0,0,0,8,120,0,0,0,0,0,0,0,0,0,0,0,107,1,,BadeJo00
Chase Baker,DT,2013,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,BakeCh01
Edwin Baker,RB,2014,0,0,0,1,6,0,0,0,0,0,44,173,2,8,57,0,,,,BakeEd01
Sean Baker,S,2014,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,,,BakeSe00
Vick Ballard,RB,2013,0,0,1,5,17,0,0,0,0,0,224,877,2,18,147,1,,,,BallVi00
Joe Banyard,RB,2017,0,0,0,1,27,0,0,0,0,0,23,95,0,10,73,0,5,,,BanyJo00
Don Barclay,G,2017,0,0,1,17,65,0,0,0,0,0,0,0,0,0,0,0,,,,BarcDo00
Brandon Barden,TE,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BardBr00
Mark Barron,LB,2019,0,0,7,58,119,0,0,0,0,0,0,0,0,0,0,0,541,9,12.0,BarrMa00
Ben Bass,DE,2012,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BassBe00
Phil Bates,WR,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BatePh00
Kelvin Beachum,T,2021,0,0,8,49,135,0,0,0,0,0,0,0,0,0,0,0,,,,BeacKe00
Cole Beasley,WR,2021,0,0,2,43,149,1,4,20,1,0,1,7,0,550,5709,34,1,,,BeasCo00
Josh Bellamy,WR,2019,0,0,1,8,82,0,0,0,0,0,5,43,0,78,1019,5,19,,,BellJo02
Travis Benjamin,WR,2021,0,0,2,25,111,0,1,0,0,0,36,268,0,208,3143,19,2,,,BenjTr00
Bill Bentley,CB,2015,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,34,,,BentBi00
Jake Bequette,DE,2013,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,BequJa00
Tony Bergstrom,OT,2020,0,0,0,12,86,0,0,0,0,0,0,0,0,0,0,0,,,,BergTo00
Jordan Bernstine,CB,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BernJo00
Justin Bethel,CB,2021,0,3,0,19,159,0,0,0,0,0,0,0,0,0,0,0,203,4,,BethJu00
Christo Bilukidi,DE,2014,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,10,,1.0,BiluCh00
Justin Blackmon,WR,2013,0,0,1,9,20,0,0,0,0,0,3,22,0,93,1280,6,,,,BlacJu00
Antwon Blake,CB,2016,0,0,1,11,78,0,0,0,0,0,1,-2,0,1,25,0,156,3,1.0,BlakAn00
Robert Blanton,CB,2017,0,0,1,9,72,0,0,0,0,0,0,0,0,0,0,0,177,1,,BlanRo00
Brandon Bolden,RB,2021,0,0,0,16,131,0,0,0,0,0,283,1297,12,100,902,6,42,,,BoldBr00
Omar Bolden,CB,2015,0,0,0,5,56,0,0,0,0,0,0,0,0,0,0,0,42,,,BoldOm00
Brandon Bostick,TE,2016,0,0,0,1,40,0,0,0,0,0,0,0,0,17,186,2,10,,,BostBr00
Brandon Boykin,CB,2015,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,128,8,2.0,BoykBr00
Jarrett Boykin,WR,2014,0,0,1,6,39,0,0,0,0,0,0,0,0,57,731,3,6,,,BoykJa00
Nigel Bradham,OLB,2020,0,0,7,44,116,0,0,0,0,0,0,0,0,0,0,0,403,3,8.5,BradNi00
Andre Branch,DE,2018,0,0,3,22,95,0,0,0,0,0,0,0,0,0,0,0,125,,25.5,BranAn00
LaVon Brazill,WR,2013,0,0,0,3,25,0,0,0,0,0,0,0,0,23,347,3,8,,,BrazLa00
Aaron Brewer,LS,2021,0,0,0,7,147,0,0,0,0,0,0,0,0,0,0,0,15,,,BrewAa00
Mike Brewster,C,2013,0,0,1,5,26,0,0,0,0,0,0,0,0,0,0,0,,,,BrewMi00
Beau Brinkley,LS,2021,0,0,0,7,138,0,0,0,0,0,0,0,0,0,0,0,22,,,BrinBe00
Michael Brockers,DT,2021,0,0,10,57,154,0,0,0,0,0,0,0,0,0,0,0,273,,29.0,BrocMi00
Brandon Brooks,G,2021,0,3,7,50,114,0,0,0,0,0,0,0,0,0,0,0,1,,,BrooBr00
Ron Brooks,CB,2016,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,79,,,BrooRo01
Bryce Brown,RB,2015,0,0,0,9,42,0,0,0,0,0,251,1076,7,37,316,0,1,,,BrowBr02
James Brown,G,2012,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJa02
Jerry Brown,LB,2012,0,0,0,0,1,,,,,,,,,,,,,,,BrowJe01
Kourtnei Brown,DE,2015,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,BrowKo00
Mike Brown,WR,2014,0,0,1,4,18,0,0,0,0,0,0,0,0,39,534,2,,,,BrowMi00
Omar Brown,S,2013,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,,1.0,BrowOm00
Sammy Brown,LB,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BrowSa00
Zach Brown,OLB,2019,0,1,5,41,100,0,0,0,0,0,0,0,0,0,0,0,462,7,17.5,BrowZa00
Keith Browner,DE,2014,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BrowKe01
Ryan Broyles,WR,2014,0,0,0,3,21,0,0,0,0,0,0,0,0,32,420,2,,,,BroyRy00
Randy Bullock,K,2021,0,0,0,17,123,0,0,0,0,0,0,0,0,0,0,0,3,,,BullRa00
Vontaze Burfict,LB,2019,0,1,7,46,79,0,0,0,0,0,0,0,0,0,0,0,407,5,8.5,BurfVo00
Kaelin Burnett,LB,2014,0,0,0,1,27,0,0,0,0,0,0,0,0,0,0,0,10,,,BurnKa00
Miles Burris,OLB,2014,0,0,2,14,38,0,0,0,0,0,0,0,0,0,0,0,141,1,1.5,BurrMi00
Josh Bush,S,2015,0,0,0,3,45,0,1,0,0,0,0,0,0,0,0,0,38,2,,BushJo00
Drew Butler,P,2016,0,0,0,2,54,0,0,0,0,0,1,0,0,0,0,0,3,,,ButlDr00
LaRon Byrd,WR,2014,0,0,0,0,5,0,0,0,0,0,0,0,0,1,8,0,2,,,ByrdLa00
Jake Byrne,TE,2013,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,ByrnJa00
Travaris Cadet,RB,2018,0,0,0,8,73,0,1,0,0,0,60,197,0,119,964,7,11,,,CadeTr00
D.J. Campbell,FS,2013,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,13,,,CampD.00
Tank Carder,ILB,2016,0,0,0,5,78,0,0,0,0,0,0,0,0,0,0,0,38,,,CardTa00
Derek Carrier,WR,2021,0,0,1,5,103,0,0,0,0,0,2,29,0,59,529,3,24,,,CarrDe00
Sean Cattouse,FS,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,CattSe00
Garrett Celek,TE,2019,0,0,2,8,91,0,0,0,0,0,0,0,0,82,1104,12,10,,,CeleGa00
Nate Chandler,DT,2014,0,0,2,10,37,0,0,0,0,0,0,0,0,0,0,0,4,,,ChanNa00
Josh Chapman,DT,2014,0,0,1,7,29,0,0,0,0,0,0,0,0,0,0,0,25,,,ChapJo00
Orson Charles,TE,2018,0,0,0,2,49,0,0,0,0,0,0,0,0,14,185,0,8,,,CharOr00
Morris Claiborne,CB,2019,0,0,5,25,85,0,0,0,0,0,0,0,0,0,0,0,213,7,,ClaiMo00
Toney Clemons,WR,2012,0,0,0,0,4,0,0,0,0,0,0,0,0,3,41,0,,,,ClemTo00
Audie Cole,ILB,2016,0,0,0,7,57,0,0,0,0,0,0,0,0,0,0,0,59,,1.0,ColeAu00
Derrick Coleman,RB,2018,0,0,1,1,63,0,0,0,0,0,14,46,0,15,128,2,25,,,ColeDe00
Tom Compton,T,2021,0,0,2,23,123,0,0,0,0,0,0,0,0,0,0,0,3,,,CompTo00
Matt Conrath,DT,2013,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,,1.0,ConrMa00
Josh Cooper,WR,2013,0,0,0,1,11,0,0,0,0,0,0,0,0,17,166,0,,,,CoopJo00
Quinton Coples,DE,2015,0,0,2,17,62,0,0,0,0,0,0,0,0,0,0,0,77,,16.5,CoplQu00
Jack Cornell,OL,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CornJa00
Paul Cornick,T,2014,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,0,,,,CornPa00
Kirk Cousins,QB,2021,0,3,7,82,125,2825,4223,32593,223,91,259,836,17,1,-1,0,1,,,CousKi00
Fletcher Cox,DT,2021,1,6,10,88,156,0,0,0,0,0,0,0,0,0,0,0,313,,58.0,CoxxFl00
Jack Crawford,DE,2020,0,0,3,18,109,0,0,0,0,0,0,0,0,0,0,0,91,1,18.0,CrawJa00
Richard Crawford,DB,2012,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,13,1,,CrawRi00
Tyrone Crawford,DE,2020,0,0,5,34,112,0,0,0,0,0,0,0,0,0,0,0,120,,25.0,CrawTy00
Jared Crick,DT,2016,0,0,3,28,79,0,0,0,0,0,0,0,0,0,0,0,113,,8.5,CricJa00
Juron Criner,WR,2013,0,0,0,1,13,0,0,0,0,0,0,0,0,19,183,1,,,,CrinJu00
B.J. Cunningham,WR,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,CunnB.00
Vinny Curry,DE,2020,0,0,1,22,123,0,0,0,0,0,0,0,0,0,0,0,141,,32.5,CurrVi00
Matt Daniels,DB,2015,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,DaniMa00
Mike Daniels,DT,2021,0,1,6,41,124,0,0,0,0,0,0,0,0,0,0,0,172,1,30.0,DaniMi00
Lavonte David,OLB,2021,1,1,10,78,149,0,0,0,0,0,0,0,0,0,0,0,869,12,26.0,DaviLa00
A.J. Davis,CB,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DaviA.00
Austin Davis,QB,2017,0,0,1,6,16,236,378,2548,13,12,24,68,0,0,0,0,,,,DaviAu00
Demario Davis,OLB,2021,1,0,9,76,160,0,0,0,0,0,0,0,0,0,0,0,690,2,29.5,DaviDe00
Dominique Davis,QB,2013,0,0,0,0,2,5,7,34,0,0,0,0,0,0,0,0,,,,DaviDo02
Ryan Davis,DE,2017,0,0,0,6,63,0,0,0,0,0,0,0,0,0,0,0,44,1,14.0,DaviRy00
David DeCastro,G,2020,2,6,8,69,125,0,0,0,0,0,0,0,0,0,0,0,,,,DeCaDa00
Jeff Demps,RB,2013,0,0,0,0,2,0,0,0,0,0,1,14,0,3,21,0,,,,DempJe00
Alfonzo Dennard,CB,2014,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,81,5,,DennAl00
Patrick DiMarco,FB,2019,0,1,6,3,115,0,0,0,0,0,7,14,0,52,404,4,14,,,DiMaPa00
Larry Donnell,TE,2016,0,0,2,8,54,0,0,0,0,0,0,0,0,110,969,9,2,,,DonnLa00
David Douglas,WR,2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DougDa01
Marcus Dowtin,LB,2013,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,8,,,DowtMa00
Lance Dunbar,RB,2017,0,0,0,8,58,0,0,0,0,0,105,473,2,69,647,0,7,,,DunbLa00
Tony Dye,S,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DyexTo00
Nate Eachus,RB,2012,0,0,0,0,11,0,0,0,0,0,5,18,0,1,19,0,2,,,EachNa00
Jeremy Ebert,WR,2013,0,0,0,0,5,0,0,0,0,0,0,0,0,3,18,0,,,,EberJe00
Nate Ebner,DB,2021,0,0,0,11,133,0,0,0,0,0,1,14,0,0,0,0,69,,,EbneNa00
Michael Egnew,TE,2013,0,0,0,0,18,0,0,0,0,0,0,0,0,7,69,0,,,,EgneMi00
Kevin Elliott,WR,2012,0,0,0,1,13,0,0,0,0,0,0,0,0,10,108,0,1,,,ElliKe02
Rhett Ellison,FB,2019,0,0,4,9,113,0,0,0,0,0,1,1,1,118,1189,7,17,,,ElliRh00
Bradie Ewing,FB,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,2,29,0,,,,EwinBr00
Hebron Fangupo,DT,2013,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,FangHe00
Chandler Fenner,CB,2014,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,5,,,FennCh00
Coby Fleener,TE,2017,0,0,4,25,87,0,0,0,0,0,1,2,1,255,3080,22,,1,,FleeCo00
Darius Fleming,OLB,2015,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,3,,,FlemDa00
Jamell Fleming,CB,2015,0,0,0,5,46,0,0,0,0,0,0,0,0,0,0,0,63,,,FlemJa00
Donnie Fletcher,CB,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,FletDo00
Michael Floyd,WR,2018,0,0,3,28,102,0,0,0,0,0,1,2,0,266,3959,25,,,,FloyMi00
Nick Foles,QB,2021,0,1,3,31,68,1277,2045,14003,82,43,149,399,6,1,10,0,,,,FoleNi00
Chase Ford,TE,2014,0,0,0,3,20,0,0,0,0,0,0,0,0,34,391,1,,,,FordCh00
Marcus Forston,DL,2013,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,ForsMa00
L.J. Fort,LB,2020,0,0,2,15,91,0,0,0,0,0,0,0,0,0,0,0,117,1,5.0,FortL.00
Justin Francis,DL,2012,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,7,,3.0,FranJu00
Jerry Franklin,LB,2014,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,6,,,FranJe00
Terrence Frederick,CB,2014,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,17,,,FredTe00
Jerrell Freeman,LB,2017,0,0,5,34,70,0,0,0,0,0,0,0,0,0,0,0,390,4,12.0,FreeJe00
Isaiah Frey,CB,2014,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,51,,,FreyIs00
Tommy Gallarda,TE,2012,0,0,0,0,9,0,0,0,0,0,0,0,0,1,7,0,1,,,GallTo00
Terrance Ganaway,RB,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,GanaTe00
Gregory Gatson,CB,2012,0,0,0,0,2,,,,,,,,,,,,,,,GatsGr00
Garth Gerhart,C,2014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,GerhGa00
Adam Gettis,G,2016,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,GettAd00
