Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Isaako Aaitui,NT,2013,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,AaitIs00
Oday Aboushi,OT,2021,0,0,3,19,70,0,0,0,0,0,0,0,0,0,0,0,,,,AbouOd00
Johnny Adams,CB,2013,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,AdamJo02
Jahleel Addae,S,2021,0,0,4,24,116,0,0,0,0,0,0,0,0,0,0,0,343,5,5.0,AddaJa00
Daniel Adongo,LB,2015,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,AdonDa00
Victor Aiyewa,LB,2013,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,AiyeVi00
Robert Alford,CB,2021,0,0,5,26,101,0,0,0,0,0,0,0,0,0,0,0,280,11,,AlfoRo00
Keenan Allen,WR,2021,0,5,8,63,116,0,2,0,0,0,15,99,0,730,8535,48,3,1,,AlleKe00
Ryan Allen,P,2020,0,0,0,13,107,0,0,0,0,0,0,0,0,0,0,0,2,,,AlleRy01
Kiko Alonso,ILB,2019,0,0,4,33,86,0,0,0,0,0,0,0,0,0,0,0,369,10,3.0,AlonKi00
David Amerson,CB,2018,0,0,4,20,74,0,0,0,0,0,0,0,0,0,0,0,234,9,,AmerDa00
C.J. Anderson,RB,2019,0,1,3,26,71,0,0,0,0,0,776,3497,22,108,900,5,,,,AndeC.00
Ezekiel Ansah,DE,2020,0,1,5,39,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,AnsaEz00
Terron Armstead,OT,2021,0,3,7,53,97,0,0,0,0,0,0,0,0,0,0,0,,,,ArmsTe00
Ray-Ray Armstrong,LB,2020,0,0,0,16,86,0,0,0,0,0,0,0,0,0,0,0,116,3,2.0,ArmsRa01
Brian Arnfelt,DE,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ArnfBr00
Josh Aubrey,DB,2015,0,0,0,1,9,0,0,0,0,0,1,34,0,0,0,0,1,,,AubrJo00
Tavon Austin,WR,2021,0,0,4,26,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,,AustTa00
Jeff Baca,OG,2013,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,BacaJe00
Alvin Bailey,OG,2016,0,0,0,10,56,0,0,0,0,0,0,0,0,0,0,0,,,,BailAl01
Stedman Bailey,WR,2015,0,0,0,7,38,0,0,0,0,0,3,46,1,59,843,2,9,,,BailSt01
David Bakhtiari,OT,2021,2,3,8,80,119,0,0,0,0,0,0,0,0,0,0,0,1,,,BakhDa00
Montee Ball,RB,2014,0,0,0,7,21,0,0,0,0,0,175,731,5,29,207,0,6,,,BallMo00
Chris Banjo,S,2021,0,0,0,7,118,1,1,23,0,0,0,0,0,0,0,0,102,3,,BanjCh00
Johnthan Banks,CB,2017,0,0,2,11,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,BankJo00
Chris Barker,OG,2015,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,BarkCh00
Matt Barkley,QB,2020,0,0,1,5,19,212,363,2699,11,22,23,-12,0,1,2,1,,,,BarkMa00
Kenjon Barner,RB,2021,0,0,0,4,76,1,1,3,0,0,104,416,3,28,152,0,2,,,BarnKe00
T.J. Barnes,DT,2016,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,6,,,BarnT.00
Sam Barrington,ILB,2016,0,0,1,4,29,0,0,0,0,0,0,0,0,0,0,0,44,,1.0,BarrSa00
Joplo Bartu,LB,2016,0,0,2,12,49,0,0,0,0,0,0,0,0,0,0,0,104,,4.5,BartJo01
David Bass,DE,2017,0,0,0,9,64,0,0,0,0,0,0,0,0,0,0,0,70,2,9.0,BassDa00
Daren Bates,LB,2021,0,0,0,8,125,0,0,0,0,0,0,0,0,0,0,0,59,,,BateDa00
Steve Beauharnais,ILB,2014,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,BeauSt00
Nick Becton,OT,2015,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,BectNi00
Le'Veon Bell,RB,2021,2,3,5,61,96,0,1,0,0,0,1595,6554,42,399,3289,9,,,,BellLe00
Giovani Bernard,RB,2021,0,0,2,42,127,0,0,0,0,0,929,3755,22,365,2990,14,1,,,BernGi00
Brenton Bersin,WR,2017,0,0,0,3,42,0,0,0,0,0,0,0,0,32,415,1,2,,,BersBr00
Kenneth Boatright,DE,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,BoatKe00
Tommy Bohanon,FB,2018,0,0,1,1,68,0,0,0,0,0,26,72,2,29,239,1,3,,,BohaTo00
Travis Bond,G,2013,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BondTr00
Jonathan Bostic,LB,2021,0,0,5,34,106,0,0,0,0,0,0,0,0,0,0,0,337,3,9.5,BostJo00
A.J. Bouye,CB,2021,0,1,5,33,110,0,0,0,0,0,0,0,0,0,0,0,310,14,1.0,BouyA.00
Michael Bowie,T,2013,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,,,,BowiMi00
Josh Boyce,WR,2014,0,0,0,1,10,0,0,0,0,0,0,0,0,9,121,0,,,,BoycJo00
Josh Boyd,DT,2015,0,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,17,,,BoydJo00
Tyler Bray,QB,2020,0,0,0,0,2,1,6,18,0,0,1,0,0,0,0,0,,,,BrayTy00
Sam Brenner,C,2015,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,,,,BrenSa01
Michael Brooks,DT,2013,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,BrooMi02
Arthur Brown,OLB,2016,0,0,0,3,48,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,BrowAr00
Jaron Brown,WR,2019,0,0,2,11,101,0,0,0,0,0,0,0,0,116,1563,16,24,,,BrowJa03
Justin Brown,WR,2014,0,0,0,1,8,0,0,0,0,0,0,0,0,12,94,0,,,,BrowJu00
Marlon Brown,WR,2015,0,0,1,6,38,0,0,0,0,0,1,-2,0,87,891,7,2,,,BrowMa00
Armonty Bryant,DE,2016,0,0,0,5,36,0,0,0,0,0,0,0,0,0,0,0,45,,11.5,BryaAr00
Michael Buchanan,DE,2014,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,7,,2.0,BuchMi00
Rex Burkhead,RB,2021,0,0,0,19,99,0,1,0,0,0,462,1828,17,155,1330,8,25,,,BurkRe00
Marcus Burley,CB,2017,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,49,2,2.0,BurlMa00
Brice Butler,WR,2018,0,0,0,9,69,0,0,0,0,0,0,0,0,79,1237,9,,,,ButlBr00
