Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Titus Adams,DT,2009,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,AdamTi00
Spencer Adkins,LB,2011,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,12,,,AdkiSp99
Al Afalava,DB,2012,0,0,1,5,29,0,0,0,0,0,0,0,0,0,0,0,54,1,2.0,AfalAl99
C.J. Ah You,DE,2011,0,0,0,4,33,0,0,0,0,0,0,0,0,0,0,0,33,,6.0,AhYoC.00
Asher Allen,DB,2011,0,0,2,8,36,0,0,0,0,0,0,0,0,0,0,0,111,4,1.0,AlleAs99
Jake Allen,WR,2009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AlleJa24
Roger Allen,G,2012,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,AlleRo20
Russell Allen,LB,2013,0,0,3,20,78,0,0,0,0,0,0,0,0,0,0,0,252,1,2.0,AlleRu00
Danny Amendola,WR,2021,0,0,3,43,163,3,4,83,2,0,17,99,0,617,6212,24,1,,,AmenDa00
Brandon Anderson,DB,2009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AndeBr23
Shane Andrus,K,2010,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,AndrSh00
Stanley Arnoux,LB,2010,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,3,,,ArnoSt99
Kyle Arrington,DB,2015,0,0,3,22,102,0,0,0,0,0,0,0,0,0,0,0,305,9,3.0,ArriKy00
K.C. Asiodu,LB,2010,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,7,,,AsioK.00
Robert Ayers,DE,2017,0,0,5,27,120,0,0,0,0,0,0,0,0,0,0,0,192,,34.5,AyerRo99
Chris Baker,DT,2017,0,0,4,24,93,0,0,0,0,0,0,0,0,0,0,0,127,,12.0,BakeCh99
Ryan Baker,DE,2012,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,5,,0.5,BakeRy00
Eric Bakhtiari,LB,2012,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,,BakhEr00
Jason Banks,DE,2009,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,1.0,BankJa00
Ramses Barden,WR,2012,0,0,0,5,29,0,0,0,0,0,0,0,0,29,394,0,,,,BardRa00
Kevin Barnes,DB,2012,0,0,0,3,31,0,0,0,0,0,0,0,0,0,0,0,40,3,,BarnKe99
Connor Barwin,DE,2018,0,1,7,51,142,0,0,0,0,0,0,0,0,0,0,0,269,1,56.5,BarwCo99
Jackie Bates,DB,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,BateJa99
Will Beatty,T,2017,0,0,4,30,89,0,0,0,0,0,0,0,0,0,0,0,,,,BeatWi20
Travis Beckum,TE,2012,0,0,0,2,48,0,0,0,0,0,0,0,0,26,264,3,5,,,BeckTr00
Darry Beckwith,LB,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BeckDa99
Jovan Belcher,LB,2012,0,0,3,19,59,0,0,0,0,0,0,0,0,0,0,0,193,,1.0,BelcJo00
Kahlil Bell,RB,2013,0,0,0,5,30,0,0,0,0,0,148,633,0,22,150,1,3,,,BellKa00
