Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Keith Adams,LB,2007,0,0,1,14,85,0,0,0,0,0,0,0,0,0,0,0,147,,,AdamKe20
Hakim Akbar,LB,2002,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,2,,,AkbaHa20
Dan Alexander,RB,2003,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,3,,,AlexDa21
Brian Allen,LB,2004,0,0,0,8,47,0,0,0,0,0,0,0,0,0,0,0,74,1,1.0,AlleBr21
Will Allen,DB,2011,0,0,8,41,140,0,0,0,0,0,0,0,0,0,0,0,460,15,5.0,AlleWi20
Bennie Anderson,G,2006,0,0,5,27,81,0,0,0,0,0,0,0,0,0,0,0,,,,AndeBe20
Scotty Anderson,WR,2003,0,0,0,8,34,0,0,0,0,0,0,0,0,54,858,4,,,,AndeSc00
Troy Andrew,C,2001,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,AndrTr20
Adam Archuleta,DB,2007,0,0,7,31,103,0,0,0,0,0,0,0,0,0,0,0,453,4,18.0,ArchAd20
Jake Arians,K,2001,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,,,,arianjak01
Reggie Austin,DB,2002,0,0,0,3,18,0,0,0,0,0,0,0,0,0,0,0,18,2,,AustRe20
Kole Ayi,LB,2002,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,11,,,AyixKo20
Bill Baber,TE,2004,0,0,0,0,30,0,0,0,0,0,0,0,0,4,37,1,,,,BabeBi00
Jeff Backus,T,2012,0,0,12,61,191,0,0,0,0,0,0,0,0,0,0,0,,,,BackJe20
Rodney Bailey,DE,2007,0,0,0,7,84,0,0,0,0,0,0,0,0,0,0,0,65,,9.5,BailRo21
Jason Baker,P,2011,0,0,0,16,167,0,0,0,0,0,2,0,0,0,0,0,20,,,BakeJa20
Tim Baker,WR,2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,BakeTi20
Alex Bannister,WR,2006,0,1,0,1,59,0,0,0,0,0,0,0,0,9,121,1,45,,,BannAl00
Kevan Barlow,RB,2006,0,0,2,36,84,0,0,0,0,0,1022,3984,30,144,1164,3,,,,BarlKe00
Idrees Bashir,DB,2007,0,0,4,19,71,0,0,0,0,0,0,0,0,0,0,0,181,6,,BashId20
Pat Batteaux,WR,2001,0,0,0,0,5,0,0,0,0,0,0,0,0,3,25,0,,,,BattPa00
Gary Baxter,DB,2006,0,0,3,20,62,0,0,0,0,0,0,0,0,0,0,0,252,8,3.0,BaxtGa20
Monty Beisel,LB,2009,0,0,0,13,119,0,0,0,0,0,0,0,0,0,0,0,200,2,4.5,BeisMo20
Jason Bell,DB,2006,0,0,0,5,82,0,0,0,0,0,0,0,0,0,0,0,73,1,,BellJa21
Kendrell Bell,LB,2007,0,1,5,40,90,0,0,0,0,0,0,0,0,0,0,0,274,1,20.5,BellKe20
Marcus Bell,DT,2006,0,0,2,14,86,0,0,0,0,0,0,0,0,0,0,0,131,,6.5,BellMa20
Ryan Benjamin,C,2003,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,,,,BenjRy21
Drew Bennett,WR,2008,0,0,4,36,102,2,3,40,1,0,2,15,0,307,4412,28,3,,,BennDr00
Michael Bennett,RB,2010,0,1,3,34,107,0,0,0,0,0,842,3703,13,159,1294,6,11,,,BennMi00
Eddie Berlin,WR,2005,0,0,0,3,62,0,0,0,0,0,0,0,0,26,379,2,27,,,BerlEd00
Cory Bird,DB,2004,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,90,,0.5,BirdCo20
Harold Blackmon,DB,2002,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,1,,,BlacHa20
Chris Bober,C,2006,0,0,2,18,91,0,0,0,0,0,0,0,0,0,0,0,,,,BobeCh20
Alfonso Boone,DT,2010,0,0,1,23,129,0,0,0,0,0,0,0,0,0,0,0,154,,15.5,BoonAl20
Jarvis Borum,T,2001,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,BoruJa20
Todd Bouman,QB,2010,0,0,0,6,44,147,264,1905,13,13,23,94,0,0,0,0,,,,BoumTo00
Andy Bowers,DE,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BoweAn20
R.J. Bowers,RB,2003,0,0,0,1,8,0,0,0,0,0,18,84,1,2,2,1,3,,,BoweRJ00
James Boyd,DB,2002,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,11,,,BoydJa20
David Brandt,C-G,2004,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,BranDa22
Drew Brees,QB,2020,1,13,19,167,287,7142,10551,80358,571,243,498,752,25,8,74,1,,,,BreeDr00
Jason Brookins,RB,2001,0,0,0,4,12,0,0,0,0,0,151,551,5,6,45,0,,,,BrooJa01
Jamal Brooks,LB,2006,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,21,,,BrooJa20
Rodregis Brooks,DB,2001,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,,BrooRo20
Delvin Brown,DB,2001,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,BrowDe22
Joe Brown,DT,2001,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJo20
Correll Buckhalter,RB,2010,0,0,0,27,103,0,0,0,0,0,655,2944,21,144,1410,6,9,,,BuckCo00
Derrick Burgess,DE-LB,2010,0,2,4,40,102,0,0,0,0,0,0,0,0,0,0,0,215,,52.0,BurgDe99
Jerametrius Butler,DB,2007,0,0,2,17,70,0,0,0,0,0,0,0,0,0,0,0,186,9,,ButlJe20
Robert Carswell,DB,2002,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,14,,,CarsRo20
Andre Carter,DE-LB,2013,0,1,10,59,184,0,0,0,0,0,0,0,0,0,0,0,388,,80.5,CartAn20
Dyshod Carter,DB,2005,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,18,,,CartDy20
Jonathan Carter,WR,2004,0,0,0,4,25,0,0,0,0,0,0,0,0,14,266,2,,,,CartJo01
Quincy Carter,QB,2004,0,0,2,16,38,542,960,6337,32,37,152,518,3,0,0,0,,,,CartQu00
Tim Carter,DB,2001,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,CartTi20
Aveion Cason,RB,2008,0,0,0,7,56,1,1,37,0,0,126,562,3,64,655,2,4,,,CasoAv00
Quinton Caver,LB,2005,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,0,56,,,CaveQu20
Marq Cerqua,LB,2002,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,CerqMa20
Chris Chambers,WR,2010,0,1,8,58,153,0,0,0,0,0,44,373,0,540,7648,58,2,,,ChamCh00
Doug Chapman,RB,2003,0,0,0,3,26,0,0,0,0,0,90,317,0,17,143,1,,,,ChapDo00
Randy Chevrier,DT,2001,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,,,ChevRa20
Patrick Chukwurah,LB,2007,0,0,0,6,78,0,0,0,0,0,0,0,0,0,0,0,62,,9.0,ChukPa20
Darius Clark,DB,2001,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,,,ClarDa22
Felipe Claybrooks,DE,2003,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,3,,,ClayFe20
Carey Clayton,C,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ClayCa20
Nate Clements,DB,2012,0,1,11,61,180,0,0,0,0,0,0,0,0,0,0,0,669,36,4.5,ClemNa99
Tay Cody,DB,2003,0,0,1,4,19,0,0,0,0,0,0,0,0,0,0,0,65,2,,CodyTa20
Fred Coleman,WR,2002,0,0,0,1,9,0,0,0,0,0,0,0,0,2,50,0,2,,,ColeFr00
Jameel Cook,FB,2008,0,0,2,4,109,0,0,0,0,0,14,43,0,84,510,3,35,,,CookJa00
Chris Cooper,DT-DE,2007,0,0,1,12,78,0,0,0,0,0,0,0,0,0,0,0,103,1,8.5,CoopCh20
Jarrod Cooper,DB,2007,0,0,1,7,87,0,0,0,0,0,0,0,0,0,0,0,114,,1.5,CoopJa20
Dave Costa,T,2001,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,,,,CostDa20
Delbert Cowsette,DT,2002,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,19,,2.0,CowsDe20
Renard Cox,DB,2001,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,CoxxRe20
Phillip Crosby,FB,2003,0,0,0,0,35,0,0,0,0,0,0,0,0,6,49,0,15,,,CrosPh00
Alge Crumpler,TE,2010,0,4,10,41,155,0,0,0,0,0,0,0,0,373,4743,39,2,,,CrumAl00
Darrel Crutchfield,DB,2001,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,CrutDa20
DeMarcus Curry,T,2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,CurrDe20
Donte Curry,LB,2008,0,0,1,11,98,0,0,0,0,0,0,0,0,0,0,0,144,,3.0,CurrDo21
Chartric Darby,DT,2009,0,0,4,33,114,0,0,0,0,0,0,0,0,0,0,0,155,,13.5,DarbCh20
Joe Davenport,TE,2003,0,0,0,1,29,0,0,0,0,0,0,0,0,11,93,0,,,,DaveJo00
Leonard Davis,T-G,2012,0,3,10,66,171,0,0,0,0,0,0,0,0,0,0,0,,,,DaviLe21
Jerry DeLoach,DE,2005,0,0,2,19,73,0,0,0,0,0,0,0,0,0,0,0,97,,3.0,DeLoJe20
Rick DeMulling,G,2007,0,0,3,31,81,0,0,0,0,0,0,0,0,0,0,0,,,,DeMuRi20
Anthony Denman,LB,2002,0,0,0,2,27,0,0,0,0,0,0,0,0,0,0,0,19,,,DenmAn20
Ryan Diem,T-G,2011,0,0,10,72,157,0,0,0,0,0,0,0,0,0,0,0,3,,,DiemRy20
Tony Dixon,DB,2004,0,0,0,9,56,0,0,0,0,0,0,0,0,0,0,0,107,1,6.0,DixoTo20
Jason Doering,DB,2004,0,0,0,6,53,0,0,0,0,0,0,0,0,0,0,0,78,,,DoerJa20
Matt Dominguez,TE,2001,0,0,0,0,12,0,0,0,0,0,0,0,0,3,26,0,1,,,DomiMa00
Char-ron Dorsey,T,2002,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,DorsCh20
Eric Downing,DT,2004,0,0,1,7,45,0,0,0,0,0,0,0,0,0,0,0,36,,2.0,DownEr20
Tony Driver,DB,2002,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,4,,,DrivTo20
Reuben Droughns,RB,2008,0,0,3,27,114,0,0,0,0,0,929,3602,19,123,989,6,41,,,DrouRe00
Andre Dyson,DB,2007,0,0,5,31,96,0,0,0,0,0,0,0,0,0,0,0,282,22,1.0,DysoAn20
Ron Edwards,DT,2012,0,0,6,37,139,0,0,0,0,0,0,0,0,0,0,0,146,,16.5,EdwaRo20
Shane Elam,LB,2001,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,ElamSh20
Demetric Evans,DE,2010,0,0,2,22,126,0,0,0,0,0,0,0,0,0,0,0,125,,14.5,EvanDe20
Heath Evans,FB,2010,0,0,0,8,143,0,0,0,0,0,164,579,4,57,439,4,23,,,EvanHe00
Carl Fair,RB,2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,FairCa20
Kris Farris,T,2001,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,,,,FarrKr20
Mario Fatafehi,DT,2004,0,0,2,13,45,0,0,0,0,0,0,0,0,0,0,0,43,,5.0,FataMa20
A.J. Feeley,QB,2011,0,0,1,7,28,425,762,4618,28,31,37,49,1,0,0,0,,,,FeelA.00
Jay Feely,K,2014,0,0,0,31,211,0,0,0,0,0,2,5,1,2,-4,0,37,,,feelyjay01
James Fenderson,RB,2003,0,0,0,1,29,0,0,0,0,0,17,79,1,7,43,0,11,,,FendJa00
Robert Ferguson,WR,2008,0,0,3,18,83,0,0,0,0,0,1,-8,0,151,1993,13,31,,,FergRo00
Frank Ferrara,DE,2003,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,40,,3.5,FerrFr20
Bryce Fisher,DE,2007,0,0,3,26,91,0,0,0,0,0,0,0,0,0,0,0,174,,26.5,FishBr20
Ronald Flemons,DE,2004,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,,0.5,FlemRo20
Jamar Fletcher,DB,2008,0,0,0,9,105,0,0,0,0,0,0,0,0,0,0,0,170,7,1.0,FletJa20
Kynan Forney,G,2009,0,0,5,37,98,0,0,0,0,0,0,0,0,0,0,0,1,,,FornKy20
Hank Fraley,C-G,2010,0,0,8,48,142,0,0,0,0,0,0,0,0,0,0,0,,,,FralHa20
Byron Frisch,DE,2002,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0,0,18,,5.0,FrisBy20
Curtis Fuller,DB,2004,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,41,1,,FullCu20
Rod Gardner,WR,2006,0,0,4,25,91,2,7,46,2,0,5,24,0,242,3165,23,5,,,GardRo00
Kelvin Garmon,G,2004,0,0,3,19,52,0,0,0,0,0,0,0,0,0,0,0,,,,GarmKe20
Winfield Garnett,DT,2001,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,12,,2.0,GarnWi20
Willie Gary,DB,2001,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6,,,GaryWi20
Roberto Garza,G-C,2014,0,0,11,61,206,0,0,0,0,0,0,0,0,0,0,0,,,,GarzRo20
Ben Gay,RB,2001,0,0,0,1,16,0,0,0,0,0,51,172,1,4,11,0,3,,,GayxBe00
Reggie Germany,WR,2001,0,0,0,2,16,0,0,0,0,0,0,0,0,12,203,0,4,,,GermRe00
Derrick Gibson,DB,2006,0,0,2,13,69,0,0,0,0,0,0,0,0,0,0,0,161,3,2.0,GibsDe21
Jason Glenn,LB,2006,0,0,0,6,80,0,0,0,0,0,0,0,0,0,0,0,92,,,GlenJa20
Nick Goings,RB,2008,0,0,1,17,105,0,0,0,0,0,400,1470,6,110,880,3,39,,,GoinNi00
Shayne Graham,K,2015,0,1,0,30,178,0,0,0,0,0,0,0,0,0,0,0,23,,,grahasha01
Bill Gramatica,K,2004,0,0,0,7,34,0,0,0,0,0,0,0,0,0,0,0,2,,,gramabil01
DeLawrence Grant,DE-LB,2005,0,0,2,12,49,0,0,0,0,0,0,0,0,0,0,0,45,,7.0,GranDe20
Deon Grant,DB,2011,0,0,10,56,176,0,0,0,0,0,0,0,0,0,0,0,624,30,6.5,GranDe21
Donny Green,LB,2001,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,GreeDo21
Morlon Greenwood,LB,2008,0,0,8,39,125,0,0,0,0,0,0,0,0,0,0,0,471,2,7.0,GreeMo20
Damian Gregory,DT,2004,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,,,GregDa20
Shane Grice,G,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,GricSh20
Corey Hall,DB,2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,HallCo20
Casey Hampton,NT-DT,2012,0,5,11,73,173,0,0,0,0,0,0,0,0,0,0,0,231,,9.0,HampCa00
Jermaine Hampton,DB,2001,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,7,,,HampJe20
William Hampton,DB,2004,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,15,1,,HampWi20
Nick Harper,DB,2009,0,0,7,34,127,0,0,0,0,0,0,0,0,0,0,0,528,21,,HarpNi20
Nick Harris,P,2012,0,0,0,18,183,0,1,0,0,0,2,-7,0,0,0,0,12,,,HarrNi20
Lawrence Hart,TE,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,HartLa20
Shaunard Harts,DB,2004,0,0,1,8,51,0,0,0,0,0,0,0,0,0,0,0,146,2,2.0,HartSh20
Ed Hartwell,LB,2006,0,0,3,28,77,0,0,0,0,0,0,0,0,0,0,0,280,1,7.0,HartEd20
Reggie Hayward,DE,2009,0,0,3,32,92,0,0,0,0,0,0,0,0,0,0,0,144,1,39.5,HaywRe20
Jeff Hazuga,DE,2001,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,HazuJe20
Todd Heap,TE,2012,0,2,8,43,145,0,1,0,0,0,8,61,0,499,5869,42,1,,,HeapTo00
Jamie Henderson,DB,2003,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,41,1,,HendJa20
Anthony Henry,DB,2009,0,0,5,38,132,0,0,0,0,0,0,0,0,0,0,0,429,31,2.0,HenrAn20
Travis Henry,RB,2007,0,1,4,41,90,0,1,0,0,1,1488,6086,38,141,951,2,1,,,HenrTr00
Steve Herndon,G,2004,0,0,1,9,37,0,0,0,0,0,0,0,0,0,0,0,,,,HernSt20
Anthony Herron,DE,2001,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,HerrAn21
