Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Jared Abbrederis,WR,2017,0,0,0,1,22,0,0,0,0,0,0,0,0,13,163,0,1,,,AbbrJa00
Kenneth Acker,CB,2017,0,0,1,8,40,0,0,0,0,0,0,0,0,0,0,0,92,4,,AckeKe00
Davante Adams,WR,2021,2,5,8,67,116,0,0,0,0,0,0,0,0,669,8121,73,1,,,AdamDa01
Ray Agnew,FB,2014,0,0,1,0,12,0,0,0,0,0,2,2,0,3,15,0,,,,AgneRa00
Walt Aikens,CB,2019,0,0,0,6,93,0,0,0,0,0,0,0,0,0,0,0,70,2,,AikeWa00
Maurice Alexander,SS,2019,0,0,1,11,57,0,0,0,0,0,0,0,0,0,0,0,102,2,3.0,AlexMa00
Beau Allen,DT,2019,0,0,1,13,90,0,0,0,0,0,0,0,0,0,0,0,72,,2.5,AlleBe00
Josh Allen,C,2014,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AlleJo00
Rashaun Allen,TE,2014,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AlleRa00
Ricardo Allen,CB,2021,0,0,5,25,91,0,0,0,0,0,0,0,0,0,0,0,256,11,1.0,AlleRi00
Jace Amaro,TE,2016,0,0,0,4,17,0,0,0,0,0,0,0,0,41,404,2,,,,AmarJa00
Justin Anderson,LB,2014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AndeJu01
Antonio Andrews,RB,2016,0,0,1,4,34,1,1,41,1,0,145,535,3,23,185,0,3,,,AndrAn00
Josh Andrews,G,2021,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,,,,AndrJo01
Jason Ankrah,LB,2014,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,AnkrJa00
Blake Annen,TE,2014,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,AnneBl01
Kenny Anunike,DE,2015,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AnunKe00
Dri Archer,WR,2015,0,0,0,0,20,0,0,0,0,0,10,40,0,7,23,0,,,,ArchDr00
George Atkinson,RB,2016,0,0,0,0,21,0,0,0,0,0,7,34,1,0,0,0,4,,,AtkiGe01
Jeremiah Attaochu,OLB,2021,0,0,1,15,79,0,0,0,0,0,0,0,0,0,0,0,114,,20.5,AttaJe00
Denico Autry,DE,2021,0,0,5,32,113,0,0,0,0,0,0,0,0,0,0,0,166,,39.5,AutrDe00
Dion Bailey,FS,2015,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,BailDi00
Marcus Ball,S,2016,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,15,,,BallMa00
Lonnie Ballentine,FS,2016,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,,BallLo00
Anthony Barr,OLB,2021,0,4,6,52,98,0,0,0,0,0,0,0,0,0,0,0,335,5,17.5,BarrAn00
Shaquil Barrett,OLB,2021,0,2,4,41,107,0,0,0,0,0,0,0,0,0,0,0,236,2,51.5,BarrSh00
Lamin Barrow,ILB,2015,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,BarrLa00
Alex Bayer,TE,2014,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,BayeAl00
Odell Beckham Jr.,WR,2021,0,3,6,55,96,4,6,144,2,0,23,170,1,531,7367,56,3,,,BeckOd00
Kelvin Benjamin,WR,2018,0,0,4,22,61,0,0,0,0,0,0,0,0,209,3021,20,,,,BenjKe00
Bene Benwikere,CB,2018,0,0,1,10,54,0,0,0,0,0,0,0,0,0,0,0,119,3,1.5,BenwBe00
Nat Berhe,SS,2018,0,0,0,3,42,0,0,0,0,0,1,2,0,0,0,0,38,,1.0,BerhNa00
Kapri Bibbs,RB,2018,0,0,0,3,28,0,0,0,0,0,71,311,3,32,318,3,4,,,BibbKa00
Ken Bishop,DT,2015,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,,,BishKe01
Joel Bitonio,G,2021,1,4,7,58,112,0,0,0,0,0,0,0,0,0,0,0,2,,,BitoJo00
Alfred Blue,RB,2018,0,0,1,18,73,0,0,0,0,0,673,2407,8,69,470,2,17,,,BlueAl00
Russell Bodine,OG,2018,0,0,5,30,74,0,0,0,0,0,0,0,0,0,0,0,,,,BodiRu00
Chris Borland,ILB,2014,0,0,1,6,14,0,0,0,0,0,0,0,0,0,0,0,84,2,1.0,BorlCh00
Blake Bortles,QB,2019,0,0,5,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,BortBl00
Tre Boston,FS,2020,0,0,4,28,104,0,0,0,0,0,0,0,0,0,0,0,313,15,3.0,BostTr00
Luke Bowanko,C,2018,0,0,1,9,47,0,0,0,0,0,0,0,0,0,0,0,,,,BowaLu00
Carl Bradford,OLB,2016,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,,BradCa01
Cameron Brate,TE,2021,0,0,3,18,115,0,0,0,0,0,0,0,0,253,2683,33,2,,,BratCa00
Bashaud Breeland,CB,2021,0,0,7,34,107,0,0,0,0,0,0,0,0,0,0,0,345,16,1.0,BreeBa00
Teddy Bridgewater,QB,2021,0,1,4,47,73,1323,1988,14437,71,43,216,819,11,0,0,0,,,,BridTe00
Justin Britt,OT,2021,0,0,7,41,98,0,0,0,0,0,0,0,0,0,0,0,,,,BritJu00
Jay Bromley,DT,2018,0,0,0,5,57,0,0,0,0,0,0,0,0,0,0,0,50,,2.0,BromJa00
Terrence Brooks,FS,2021,0,0,0,8,105,0,0,0,0,0,0,0,0,0,0,0,94,4,,BrooTe00
Corey Brown,WR,2016,0,0,1,11,43,0,0,0,0,0,16,139,0,79,1019,7,3,,,BrowPh00
John Brown,WR,2021,0,0,5,36,100,1,1,28,1,0,13,47,0,320,4748,31,,,,BrowJo02
Preston Brown,ILB,2019,0,0,6,34,81,0,0,0,0,0,0,0,0,0,0,0,350,5,1.0,BrowPr00
C.B. Bryant,FS,2016,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,BryaC.00
