Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Phillip Adams,DB,2015,0,0,0,9,78,0,0,0,0,0,0,0,0,0,0,0,108,5,,AdamPh00
Seyi Ajirotutu,WR,2015,0,0,0,4,70,0,0,0,0,0,0,0,0,25,424,3,36,,,AjirSe00
Danario Alexander,WR,2012,0,0,0,9,28,0,1,0,0,0,0,0,0,83,1395,10,,,,AlexDa00
Kevin Alexander,LB-DE,2010,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,,,AlexKe02
Nate Allen,DB,2017,0,0,5,29,100,0,0,0,0,0,0,0,0,0,0,0,303,13,4.0,AlleNa99
Tyson Alualu,DT,2021,0,0,7,44,174,0,0,0,0,0,1,0,0,2,19,0,254,,24.5,AluaTy99
Jonathon Amaya,DB,2012,0,0,0,3,38,0,0,0,0,0,0,0,0,0,0,0,29,,,AmayJo00
Andre' Anderson,RB,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AndeAn23
Colt Anderson,DB,2017,0,0,0,6,84,0,0,0,0,0,1,-1,0,0,0,0,96,1,,AndeCo01
Vince Anderson,DB,2010,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AndeVi00
Pat Angerer,LB,2013,0,0,3,18,54,0,0,0,0,0,0,0,0,0,0,0,195,2,2.5,AngePa99
Javier Arenas,DB,2014,0,0,1,9,69,0,0,0,0,0,4,17,1,0,0,0,137,2,5.0,ArenJa99
Anthony Armstrong,WR,2012,0,0,1,6,35,0,0,0,0,0,2,19,0,54,986,5,7,,,ArmsAn00
Jon Asamoah,G,2014,0,0,4,21,75,0,0,0,0,0,0,0,0,0,0,0,,,,AsamJo20
Larry Asante,DB,2015,0,0,0,2,39,0,0,0,0,0,0,0,0,0,0,0,58,1,,AsanLa99
Johan Asiata,G,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,AsiaJo20
Geno Atkins,DT,2020,2,8,9,89,161,0,0,0,0,0,0,0,0,0,0,0,228,,75.5,AtkiGe99
Terrence Austin,WR,2011,0,0,0,1,18,0,0,0,0,0,0,0,0,15,184,0,2,,,AustTe00
Daniel Baldridge,T,2012,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BaldDa20
Jake Ballard,TE,2013,0,0,1,6,23,0,0,0,0,0,0,0,0,45,679,6,,,,BallJa21
Mike Balogun,LB,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BaloMi20
Brandon Banks,WR,2012,0,0,0,1,41,1,1,49,1,0,10,43,0,11,35,0,,,,BankBr00
Gary Banks,WR,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,,,,BankGa00
Will Barker,T,2010,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BarkWi20
Richard Bartel,QB,2011,0,0,0,0,3,26,50,236,1,2,1,9,0,0,0,0,,,,BartRi00
Zane Beadles,T,2018,0,1,7,53,137,0,0,0,0,0,0,0,0,0,0,0,,,,BeadZa20
Joique Bell,RB,2016,0,0,0,24,75,0,0,0,0,0,564,2241,22,162,1638,1,6,,,BellJo01
Arrelious Benn,WR,2017,0,0,2,8,61,0,0,0,0,0,15,44,0,65,990,6,24,,,BennAr00
Aaron Berry,DB,2014,0,0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,32,1,,BerrAa00
Eric Berry,DB,2018,3,5,5,50,89,0,0,0,0,0,0,0,0,0,0,0,377,14,5.5,BerrEr99
Jahvid Best,RB,2011,0,0,2,13,22,0,1,0,0,0,255,945,6,85,774,3,,,,BestJa00
LeGarrette Blount,RB,2018,0,0,5,39,132,0,0,0,0,0,1495,6306,56,64,454,2,,,,BlouLe00
Alex Boone,T,2020,0,0,6,35,106,0,0,0,0,0,0,0,0,0,0,0,,,,BoonAl21
NaVorro Bowman,LB,2017,4,3,5,71,99,0,0,0,0,0,0,0,0,0,0,0,585,5,14.0,BowmNa99
Sam Bradford,QB,2018,0,0,5,44,83,1855,2967,19449,103,61,146,340,2,1,5,0,,,,BradSa00
Josh Brent,DT,2014,0,0,0,5,40,0,0,0,0,0,0,0,0,0,0,0,32,,1.5,BrenJo00
Curtis Brinkley,RB,2012,0,0,0,2,23,0,0,0,0,0,71,227,1,19,118,0,1,,,BrinCu00
Dezmon Briscoe,WR,2012,0,0,0,4,25,0,0,0,0,0,1,1,0,43,502,7,,,,BrisDe00
Tramaine Brock,DB,2020,0,0,2,21,118,0,0,0,0,0,0,0,0,0,0,0,233,11,,BrocTr00
Chris Brooks,WR,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BrooCh21
Antonio Brown,WR,2021,4,7,7,92,146,3,6,35,1,1,35,128,0,928,12291,83,6,,,BrowAn04
Charles Brown,T,2015,0,0,1,15,54,0,0,0,0,0,0,0,0,0,0,0,,,,BrowCh28
Cornelius Brown,DB,2010,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,19,,,BrowCo00
Levi Brown,QB,2010,0,0,0,0,1,2,3,24,0,1,0,0,0,0,0,0,,,,BrowLe00
Marcus Brown,DB,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BrowMa25
Sergio Brown,DB,2016,0,0,1,10,94,0,0,0,0,0,0,0,0,0,0,0,109,1,2.5,BrowSe00
Stevie Brown,DB,2014,0,0,1,10,55,0,0,0,0,0,0,0,0,0,0,0,123,8,1.0,BrowSt99
Rob Bruggeman,C,2011,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BrugRo20
Chris Bryan,P,2010,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,BryaCh01
Dez Bryant,WR,2020,1,3,7,61,119,1,1,10,1,0,6,-3,0,537,7506,75,,,,BryaDe01
Bryan Bulaga,T,2021,0,0,9,56,126,0,0,0,0,0,0,0,0,0,0,0,,,,BulaBr20
Morgan Burnett,DB,2019,0,0,8,32,121,0,0,0,0,0,0,0,0,0,0,0,540,10,9.5,BurnMo99
Crezdon Butler,DB,2016,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,26,,,ButlCr99
Nate Byham,TE,2013,0,0,0,0,29,0,0,0,0,0,0,0,0,11,83,1,1,,,ByhaNa00
Duke Calhoun,WR,2010,0,0,0,0,9,0,0,0,0,0,0,0,0,1,4,0,5,,,CalhDu00
Jorrick Calvin,DB,2010,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,,,CalvJo99
Bruce Campbell,T,2012,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,,,,CampBr20
Caleb Campbell,DB,2010,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,CampCa00
Don Carey,DB,2018,0,0,1,12,100,0,0,0,0,0,0,0,0,0,0,0,148,3,,CareDo00
Alex Carrington,DE,2015,0,0,1,7,59,0,0,0,0,0,0,0,0,0,0,0,39,,4.0,CarrAl99
Nolan Carroll,DB,2017,0,0,4,20,103,0,0,0,0,0,0,0,0,0,0,0,239,8,3.0,CarrNo00
Brandon Carter,G,2011,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,CartBr20
Todd Carter,K,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CartTo21
Jehuu Caulcrick,RB,2010,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,,,,CaulJe00
Kam Chancellor,DB,2017,0,4,7,49,109,0,0,0,0,0,0,0,0,0,0,0,421,12,2.0,ChanKa99
Jamar Chaney,LB,2014,0,0,1,13,54,0,0,0,0,0,0,0,0,0,0,0,122,3,1.0,ChanJa98
Barry Church,DB,2018,0,0,6,31,117,0,0,0,0,0,0,0,0,0,0,0,453,10,2.5,ChurBa99
Chris Clark,T,2019,0,0,4,36,129,0,0,0,0,0,0,0,0,0,0,0,,,,ClarCh21
Jimmy Clausen,QB,2015,0,0,1,3,21,255,472,2520,7,14,37,102,0,0,0,0,,,,ClauJi00
Keenan Clayton,LB,2012,0,0,0,3,36,0,0,0,0,0,0,0,0,0,0,0,38,,,ClayKe99
Thomas Clayton,RB,2011,0,0,0,0,6,0,0,0,0,0,15,29,0,1,3,0,,,,ClayTh00
Terrence Cody,DT,2014,0,0,1,14,57,0,0,0,0,0,0,0,0,0,0,0,45,,,CodyTe99
Antonio Coleman,DE,2011,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,9,,,ColeAn01
Kurt Coleman,LB,2019,0,0,6,33,146,0,0,0,0,0,0,0,0,0,0,0,401,21,2.0,ColeKu99
Nate Collins,DT,2013,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,12,,1.5,CollNa20
Britton Colquitt,P,2020,0,0,0,19,176,0,1,0,0,0,1,0,0,0,0,0,1,,,ColqBr00
John Conner,RB,2014,0,0,1,0,62,0,0,0,0,0,27,108,2,12,84,1,2,,,ConnJo00
Kavell Conner,LB,2015,0,0,3,20,78,0,0,0,0,0,0,0,0,0,0,0,208,,2.0,ConnKa99
Chris Cook,DB,2014,0,0,2,10,40,0,0,0,0,0,0,0,0,0,0,0,107,,1.0,CookCh99
Riley Cooper,WR,2015,0,0,3,17,88,0,0,0,0,0,0,18,0,169,2418,18,14,,,CoopRi00
Phil Costa,G-C,2013,0,0,1,12,26,0,0,0,0,0,0,0,0,0,0,0,,,,CostPh00
Morgan Cox,C,2021,1,4,0,13,182,0,0,0,0,0,0,0,0,0,0,0,9,,,CoxxMo00
Perrish Cox,DB,2016,0,0,4,19,81,0,0,0,0,0,0,0,0,0,0,0,191,10,,CoxxPe99
Tom Crabtree,TE,2013,0,0,0,3,53,0,0,0,0,0,0,0,0,22,323,5,12,,,CrabTo00
Victor Cruz,WR,2016,0,1,3,36,70,0,0,0,0,0,1,3,0,303,4549,25,1,,,CruzVi00
Jermelle Cudjo,DT,2015,0,0,0,6,45,0,0,0,0,0,0,0,0,0,0,0,41,,1.5,CudjJe00
Jeff Cumberland,TE,2017,0,0,4,9,72,0,0,0,0,0,0,0,0,88,1121,10,4,,,CumbJe00
Jermaine Cunningham,LB,2013,0,0,1,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,3.5,CunnJe99
Rennie Curran,LB,2010,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,4,,,CurrRe99
Dominique Curry,WR,2011,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,11,,,CurrDo00
Jacob Cutrera,LB,2012,0,0,0,1,24,0,0,0,0,0,0,0,0,0,0,0,9,,,CutrJa00
Stanley Daniels,G,2010,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,,,,DaniSt20
Anthony Davis,T,2016,0,0,4,31,72,0,0,0,0,0,0,0,0,0,0,0,,,,DaviAn27
Britt Davis,WR,2010,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,,,DaviBr00
C.J. Davis,G,2012,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,,,,DaviC.20
Dexter Davis,LB,2011,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,10,,1.0,DaviDe99
Hall Davis,DE,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,DaviHa21
Brandon Deaderick,DT,2014,0,0,0,9,60,0,0,0,0,0,0,0,0,0,0,0,41,,5.5,DeadBr99
Eric Decker,WR,2017,0,0,5,45,111,0,2,0,0,0,1,1,0,439,5816,53,8,,,DeckEr00
Chris DeGeare,G,2010,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,DeGeCh20
Dorin Dickerson,TE,2013,0,0,0,1,23,0,0,0,0,0,1,-8,0,11,151,0,,,,DickDo00
Ed Dickson,TE,2018,0,0,7,16,134,0,0,0,0,0,1,9,0,190,2128,15,14,,,DickEd00
Phillip Dillard,LB,2010,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,,DillPh99
Anthony Dixon,RB,2015,0,0,0,7,96,0,0,0,0,0,274,934,11,23,140,0,31,,,DixoAn00
Marcus Dixon,DE,2012,0,0,0,4,22,0,0,0,0,0,0,0,0,0,0,0,15,,2.5,DixoMa00
Matt Dodge,P,2010,0,0,0,2,16,0,0,0,0,0,1,0,0,0,0,0,3,,,DodgMa99
