Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Delrick Abrams,DB,2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AbraDe00
Hakeem Adeniji,OL,2021,0,0,0,7,24,0,0,0,0,0,0,0,0,0,0,0,,,,AdenHa00
Aaron Adeoye,DE,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AdeoAa00
McTelvin Agim,DL,2021,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,4,,1.5,AgimMc00
Salvon Ahmed,RB,2021,0,0,0,4,18,0,0,0,0,0,129,468,3,23,178,0,,,,AhmeSa01
Brandon Aiyuk,WR,2021,0,0,2,13,29,0,0,0,0,0,11,94,2,116,1574,10,,,,AiyuBr00
Cam Akers,RB,2021,0,0,0,4,14,0,0,0,0,0,150,628,2,14,133,1,,,,AkerCa00
Otaro Alaka,LB,2020,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,AlakOt01
Auzoyah Alufohai,DT,2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,AlufAu00
Bradlee Anae,DL,2021,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,2,,,AnaeBr00
Tremayne Anchrum,OL,2020,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,,,,AnchTr00
Calvin Anderson,T,2021,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,,,,AndeCa00
Damon Arnette,CB,2021,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,23,,,ArneDa00
Grayland Arnold,DB,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,6,,,ArnoGr01
Devin Asiasi,TE,2021,0,0,0,0,10,0,0,0,0,0,0,0,0,2,39,1,,,,AsiaDe00
Joe Bachie,LB,2021,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,19,,,BachJo01
Alex Bachman,WR,2021,0,0,0,0,4,0,0,0,0,0,1,-3,0,0,0,0,1,,,BachAl00
Jeff Badet,WR,2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BadeJe00
Markus Bailey,LB,2021,0,0,0,4,27,0,0,0,0,0,0,0,0,0,0,0,22,,0.5,BailMa01
Luq Barcoo,DB,2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,,,BarcLu00
Jake Bargas,RB,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BargJa00
Krys Barnes,LB,2021,0,0,2,11,29,0,0,0,0,0,0,0,0,0,0,0,107,,2.0,BarnKr00
Ben Bartch,OL,2021,0,0,1,4,28,0,0,0,0,0,0,0,0,0,0,0,,,,BartBe00
Tyler Bass,K,2021,0,0,0,6,33,0,0,0,0,0,0,0,0,0,0,0,2,,,BassTy00
Essang Bassey,DB,2021,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,22,1,,BassEs01
Marcus Baugh,TE,2020,0,0,0,0,8,0,0,0,0,0,0,0,0,1,2,0,,,,BaugMa02
Zack Baun,LB,2021,0,0,0,6,32,0,0,0,0,0,0,0,0,0,0,0,29,,,BaunZa00
Nate Becker,TE,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BeckNa00
Mekhi Becton,OL,2021,0,0,1,5,15,0,0,0,0,0,0,0,0,0,0,0,,,,BectMe00
Reggie Begelton,WR,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BegeRe00
Quinton Bell,DE,2020,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,BellQu00
LeVante Bellamy,RB,2020,0,0,0,0,5,0,0,0,0,0,4,11,0,1,5,0,2,,,BellLe02
Elijah Benton,DB,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BentEl00
Francis Bernard,LB,2021,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,3,,,BernFr01
Rashod Berry,TE,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,,,BerrRa01
Tyler Biadasz,OL,2021,0,0,1,9,29,0,0,0,0,0,0,0,0,0,0,0,,,,BiadTy00
Asmar Bilal,LB,2020,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BilaAs00
Henry Black,DB,2021,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,34,1,,BlacHe00
Ross Blacklock,DL,2021,0,0,0,3,29,0,0,0,0,0,0,0,0,0,0,0,24,,2.0,BlacRo00
Julian Blackmon,S,2021,0,0,1,7,21,0,0,0,0,0,0,0,0,0,0,0,62,2,,BlacJu01
Rodrigo Blankenship,K,2021,0,0,0,3,21,0,0,0,0,0,0,0,0,0,0,0,,,,BlanRo03
Amani Bledsoe,DE,2021,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0,0,7,,,BledAm01
Jacob Bobenmoyer,LS,2021,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,4,,,BobeJa00
Terrell Bonds,DB,2020,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,6,,,BondTe00
Lynn Bowden Jr.,WR,2020,0,0,0,2,10,1,2,32,0,0,9,32,0,28,211,0,,,,BowdLy00
Ja'Marcus Bradley,WR,2021,0,0,0,2,8,0,0,0,0,0,0,0,0,9,124,0,2,,,BradJa01
