Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Hamza Abdullah,DB,2011,0,0,1,5,47,0,0,0,0,0,0,0,0,0,0,0,68,,,AbduHa20
Rich Alexis,RB,2007,0,0,0,0,4,0,0,0,0,0,3,5,0,0,0,0,1,,,AlexRi00
Otis Amey,WR,2005,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,,,,AmeyFr00
Jason Anderson,RB,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,AndeJa02
Ben Archibald,T,2005,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,ArchBe20
J.J. Arrington,RB,2008,0,0,0,12,58,0,1,0,0,0,183,654,3,91,693,2,3,,,ArriJ.00
O.J. Atogwe,DB,2011,0,0,6,34,101,0,0,0,0,0,0,0,0,0,0,0,376,25,5.5,AtogO.20
Adrian Awasom,DE,2011,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,13,,1.0,AwasAd20
David Baas,G-C,2013,0,0,6,36,122,0,0,0,0,0,0,0,0,0,0,0,,,,BaasDa20
Jonathan Babineaux,DE-DT,2016,0,0,10,52,185,0,0,0,0,0,0,0,0,0,0,0,291,4,27.0,BabiJo20
Billy Bajema,TE,2013,0,0,4,2,120,0,0,0,0,0,0,0,0,40,416,2,11,,,BajeBi00
Marion Barber III,RB,2011,0,1,3,39,99,0,1,0,0,0,1156,4780,53,179,1330,6,1,,,BarbMa01
Khalif Barnes,T,2017,0,0,7,51,154,0,0,0,0,0,0,0,0,3,9,1,1,,,BarnKh20
Alex Barron,T,2010,0,0,5,27,87,0,0,0,0,0,0,0,0,0,0,0,,,,BarrAl20
Ron Bartell,DB,2012,0,0,4,25,96,0,0,0,0,0,0,0,0,0,0,0,321,8,2.0,BartRo20
Cedric Benson,RB,2012,0,0,6,36,96,0,0,0,0,0,1600,6017,32,120,833,1,1,,,BensCe00
Adam Bergen,TE,2006,0,0,1,3,30,0,0,0,0,0,0,0,0,43,381,2,,,,BergAd00
Joe Berger,T,2017,0,0,5,37,145,0,0,0,0,0,0,0,0,0,0,0,3,,,BergJo20
Atari Bigby,DB,2012,0,0,3,19,72,0,0,0,0,0,0,0,0,0,0,0,186,10,1.0,BigbAt20
Ryon Bingham,DT,2008,0,0,0,6,49,0,0,0,0,0,0,0,0,0,0,0,46,,4.5,BingRy20
Rob Bironas,K,2013,1,1,0,29,144,0,0,0,0,0,0,0,0,0,0,0,17,,,bironrob01
Chase Blackburn,LB,2014,0,0,3,26,132,0,0,0,0,0,0,0,0,0,0,0,257,4,4.5,BlacCh21
Darryl Blackstock,LB,2011,0,0,0,6,74,0,0,0,0,0,0,0,0,0,0,0,75,,4.0,BlacDa20
Patrick Body,DB,2005,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,,,BodyPa20
Michael Boley,LB,2013,0,0,8,41,131,0,0,0,0,0,0,0,0,0,0,0,542,8,9.5,BoleMi20
Fred Booker,DB,2005,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,7,,,BookFr20
Mark Bradley,WR,2009,0,0,0,10,57,2,2,63,1,0,2,20,0,92,1283,9,2,,,BradMa00
John Bronson,TE,2006,0,0,0,0,3,0,0,0,0,0,0,0,0,1,25,0,1,,,BronJo00
Greg Brooks,DB,2006,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,7,,,BrooGr20
Nehemiah Broughton,FB,2006,0,0,0,0,6,0,0,0,0,0,1,3,0,0,0,0,2,,,BrouNe00
C.C. Brown,DB,2011,0,0,3,19,83,0,0,0,0,0,0,0,0,0,0,0,295,3,1.0,BrowC.20
Elton Brown,G,2008,0,0,1,8,34,0,0,0,0,0,0,0,0,0,0,0,,,,BrowEl20
Jammal Brown,T,2011,1,2,6,49,85,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJa55
Jason Brown,C,2011,0,0,6,30,100,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJa23
Reggie Brown,WR,2009,0,0,3,20,72,0,0,0,0,0,11,68,1,177,2574,17,1,,,BrowRe01
Ronnie Brown,RB,2014,0,1,6,41,132,4,12,63,2,0,1281,5391,38,246,1966,2,1,,,BrowRo05
Anthony Bryant,DT,2010,0,0,0,2,15,0,0,0,0,0,0,0,0,0,0,0,7,,,BryaAn20
Romby Bryant,WR,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BryaRo00
Dan Buenning,G,2008,0,0,1,10,36,0,0,0,0,0,0,0,0,0,0,0,1,,,BuenDa20
Josh Bullocks,DB,2010,0,0,3,21,90,0,0,0,0,0,0,0,0,0,0,0,235,6,1.0,BullJo20
Tim Bulman,DT,2011,0,0,0,6,49,0,0,0,0,0,0,0,0,0,0,0,39,,4.0,BulmTi20
Kevin Burnett,LB,2013,0,0,4,40,136,0,0,0,0,0,0,0,0,0,0,0,495,5,20.0,BurnKe20
James Butler,DB,2011,0,0,3,21,101,0,0,0,0,0,0,0,0,0,0,0,239,11,,ButlJa20
Kelly Butler,T-TE,2006,0,0,1,8,22,0,0,0,0,0,0,0,0,0,0,0,,,,ButlKe21
Terry Butler,RB,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,ButlTe20
Jeremy Calahan,DT,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,CalaJe20
Rolando Cantu,T,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CantRo20
Chris Canty,DE,2015,0,0,9,46,148,0,0,0,0,0,0,0,0,0,0,0,234,,22.5,CantCh21
Chris Carr,DB,2013,0,0,1,17,125,0,0,0,0,0,0,0,0,0,0,0,195,7,2.5,CarrCh22
Drew Carter,WR,2007,0,0,0,8,33,0,0,0,0,0,2,18,0,71,977,8,,,,CartDr00
Jerome Carter,DB,2007,0,0,0,3,33,0,0,0,0,0,0,0,0,0,0,0,62,2,,CartJe20
Ran Carthon,RB,2006,0,0,0,0,9,0,0,0,0,0,16,22,2,1,10,0,,,,CartRa00
Antoine Cash,LB,2006,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,11,,,CashAn20
Matt Cassel,QB,2018,0,1,6,47,107,1578,2683,17508,104,82,268,1025,5,1,-4,0,,,,CassMa00
Luis Castillo,DE-DT,2011,0,0,6,33,82,0,0,0,0,0,0,0,0,0,0,0,152,2,19.0,CastLu20
Kory Chapman,RB,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,ChapKo00
Bam Childress,WR,2006,0,0,0,0,3,0,0,0,0,0,0,0,0,5,39,0,,,,ChilBr00
Brad Cieslak,TE,2008,0,0,0,0,12,0,0,0,0,0,0,0,0,6,46,0,1,,,CiesBr00
Adrien Clarke,G,2007,0,0,1,8,28,0,0,0,0,0,0,0,0,0,0,0,,,,ClarAd20
Ben Claxton,G,2009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,ClaxBe20
Mark Clayton,WR,2011,0,0,5,28,83,2,5,32,1,0,26,118,2,260,3448,14,1,,,ClayMa01
Nic Clemons,DE,2008,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,9,,,ClemNi20
DeAndra Cobb,RB,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,CobbDe00
Shaun Cody,DT,2012,0,0,4,28,112,0,0,0,0,0,0,0,0,0,0,0,122,1,3.0,CodySh20
Trent Cole,DE-LB,2016,0,2,9,68,176,0,0,0,0,0,0,0,0,0,0,0,467,1,90.5,ColeTr20
Jerome Collins,TE,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,CollJe00
Nick Collins,DB,2011,0,3,6,48,95,0,0,0,0,0,0,0,0,0,0,0,345,21,1.0,CollNi20
Dustin Colquitt,P,2021,0,2,0,24,255,1,2,6,0,0,3,-3,0,0,0,0,8,,,ColqDu20
Jon Condo,LB,2019,0,2,0,20,181,0,0,0,0,0,0,0,0,0,0,0,38,,,CondJo20
Dan Connolly,G,2014,0,0,4,40,89,0,0,0,0,0,0,0,0,0,0,0,,,,ConnDa21
Sean Considine,DB,2012,0,0,2,15,99,0,0,0,0,0,1,3,0,0,0,0,195,4,2.5,ConsSe20
Curome Cox,DB,2007,0,0,0,5,43,0,0,0,0,0,0,0,0,0,0,0,49,2,,CoxxCu20
Josh Cribbs,WR,2014,1,3,2,21,136,6,15,83,0,1,141,808,2,110,1175,7,90,,,CribJo01
Channing Crowder,LB,2010,0,0,6,31,82,0,0,0,0,0,0,0,0,0,0,0,343,1,2.5,CrowCh20
Ronnie Cruz,RB,2006,0,0,0,0,19,0,0,0,0,0,5,19,0,3,35,0,5,,,CruzRo00
Travis Daniels,DB,2012,0,0,1,13,107,0,0,0,0,0,0,0,0,0,0,0,145,6,,DaniTr20
Chauncey Davis,DE,2011,0,0,1,20,102,0,0,0,0,0,0,0,0,0,0,0,150,2,11.0,DaviCh22
Jim Davis,DE,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,DaviJi20
Rashied Davis,DB,2011,0,0,1,14,103,0,0,0,0,0,3,14,0,92,1095,5,44,,,DaviRa00
Thomas Davis,LB,2020,1,3,12,80,199,0,0,0,0,0,0,0,0,0,0,0,859,13,29.0,DaviTh20
Patrick Dendy,DB,2007,0,0,0,3,23,0,0,0,0,0,0,0,0,0,0,0,48,3,,DendPa20
John Denney,DE-C,2018,0,2,0,26,224,0,0,0,0,0,0,0,0,0,0,0,37,,,DennJo20
Todd Devoe,WR,2006,0,0,0,1,15,0,0,0,0,0,0,0,0,9,87,1,8,,,DevoTo00
Joel Dreessen,TE,2013,0,0,4,16,120,0,0,0,0,0,0,0,0,158,1767,19,31,,,DreeJo00
Kevin Dudley,RB,2006,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,DudlKe00
Wesley Duke,TE,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,2,22,1,,,,DukeWe00
Braylon Edwards,WR,2012,0,1,5,41,112,0,1,0,0,0,4,11,0,359,5522,40,,,,EdwaBr00
Dovonte Edwards,DB,2007,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,30,1,,EdwaDo21
Isaiah Ekejiuba,LB,2011,0,0,0,5,76,0,0,0,0,0,0,0,0,0,0,0,53,,,EkejIs20
Dante Ellington,T,2005,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,ElliDa20
Ben Emanuel,DB,2005,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,34,1,0.5,EmanBe20
Jamar Enzor,LB,2005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,EnzoJa20
Paul Ernster,K,2008,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,3,,,ErnsPa20
Trai Essex,T,2012,0,0,1,19,76,0,0,0,0,0,0,0,0,0,0,0,,,,EsseTr20
Patrick Estes,TE,2007,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,EstePa00
Liam Ezekiel,LB,2005,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,EzekLi20
Jonathan Fanene,DE,2011,0,0,1,12,71,0,0,0,0,0,0,0,0,0,0,0,71,1,13.5,FaneJo20
Heath Farwell,LB,2013,0,1,0,11,114,0,0,0,0,0,0,0,0,0,0,0,118,,,FarwHe20
