Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Joseph Addai,RB,2011,0,1,4,50,78,1,1,22,1,0,1095,4453,39,191,1448,9,,,,AddaJo00
Victor Adeyanju,DE,2009,0,0,2,13,53,0,0,0,0,0,0,0,0,0,0,0,109,,3.0,AdeyVi20
James Adkisson,WR,2006,0,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,,,,AdkiJa00
Anthony Alabi,T,2007,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,AlabAn20
Zac Alcorn,TE,2006,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,,,AlcoZa20
Jason Allen,DB,2012,0,0,1,13,98,0,0,0,0,0,0,0,0,0,0,0,213,15,,AlleJa23
Jon Alston,LB,2009,0,0,0,5,39,0,0,0,0,0,1,22,0,0,0,0,51,,,AlstJo20
David Anderson,WR,2011,0,0,0,7,67,0,0,0,0,0,0,0,0,88,965,4,8,,,AndeDa01
Derek Anderson,QB,2018,0,1,3,23,78,909,1674,10878,60,64,102,226,5,0,0,0,,,,AndeDe00
James Anderson,LB,2015,0,0,4,31,123,0,0,0,0,0,0,0,0,0,0,0,421,3,12.0,AndeJa21
Mark Anderson,DE,2012,0,0,1,21,98,0,0,0,0,0,0,0,0,0,0,0,132,,36.5,AndeMa21
Willie Andrews,DB,2007,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,12,,,AndrWi20
Miles Austin,WR,2015,0,2,6,38,129,0,0,0,0,0,11,94,1,361,5273,37,12,,,AustMi00
Jason Avant,WR,2015,0,0,3,29,148,0,0,0,0,0,2,2,0,346,4118,13,22,,,AvanJa00
Brett Basanez,QB,2006,0,0,0,0,1,6,11,56,0,1,1,2,0,0,0,0,,,,BasaBr00
Hank Baskett,WR,2010,0,0,0,9,67,0,1,0,0,1,0,0,0,77,1098,6,7,,,BaskHa00
Jordan Beck,LB,2007,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,19,,,BeckJo20
Mike Bell,RB,2010,0,0,0,12,53,0,0,0,0,0,395,1475,14,33,258,0,2,,,BellMi00
Charles Bennett,LB,2006,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,BennCh21
Antoine Bethea,DB,2019,0,3,12,63,209,0,0,0,0,0,0,0,0,0,0,0,995,25,9.5,BethAn20
Taye Biddle,WR,2006,0,0,0,0,2,0,0,0,0,0,0,0,0,3,37,0,1,,,BiddTa00
Will Blackmon,DB,2016,0,0,2,16,96,0,0,0,0,0,0,0,0,0,0,0,159,4,3.5,BlacWi20
Greg Blue,DB,2007,0,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,18,,,BlueGr20
Shaun Bodiford,WR,2007,0,0,0,0,12,0,0,0,0,0,0,0,0,1,13,0,4,,,BodiSh00
Kevin Boothe,T,2014,0,0,4,27,114,0,0,0,0,0,0,0,0,0,0,0,,,,BootKe20
Stephen Bowen,DE,2015,0,0,4,26,128,0,0,0,0,0,0,0,0,0,0,0,105,,12.5,BoweSt20
Michael Bragg,DB,2006,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,BragMi00
Jamaal Branch,RB,2007,0,0,0,0,5,0,0,0,0,0,10,29,0,5,14,1,,,,BranJa00
Wesley Britt,T,2008,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,,,,BritWe20
Ahmad Brooks,LB,2017,0,1,6,54,145,0,0,0,0,0,0,0,0,0,0,0,305,3,55.0,BrooAh21
Ricky Brown,LB,2011,0,0,1,7,58,0,0,0,0,0,0,0,0,0,0,0,76,,,BrowRi22
Will Buchanon,WR,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0,,,,BuchWi01
Daniel Bullocks,DB,2008,0,0,1,7,31,0,0,0,0,0,0,0,0,0,0,0,119,,1.0,BullDa20
Brodrick Bunkley,DT,2014,0,0,7,40,130,0,0,0,0,0,0,0,0,0,0,0,171,,8.5,BunkBr20
Antwon Burton,DT,2009,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,4,,,BurtAn20
Jarrett Bush,DB,2014,0,0,0,10,137,0,0,0,0,0,0,0,0,0,0,0,152,4,1.5,BushJa20
Reggie Bush,RB,2016,0,0,8,61,134,0,1,0,0,1,1286,5490,36,477,3598,18,,,,BushRe00
John Busing,DB,2009,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,0,45,1,,BusiJo20
Brad Butler,T,2009,0,0,2,13,33,0,0,0,0,0,0,0,0,0,0,0,,,,ButlBr20
Quincy Butler,DB,2010,0,0,1,4,22,0,0,0,0,0,0,0,0,0,0,0,34,,,ButlQu20
Dominique Byrd,TE,2011,0,0,0,0,17,0,0,0,0,0,0,0,0,6,83,1,,,,ByrdDo00
Dion Byrum,DB,2006,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,,,ByruDi20
Brian Calhoun,RB,2007,0,0,0,1,11,0,0,0,0,0,14,54,0,7,55,0,1,,,CalhBr00
Greg Camarillo,WR,2012,0,0,2,14,80,0,0,0,0,0,2,1,0,146,1730,5,10,,,CamaGr00
Jason Campbell,QB,2014,0,0,5,48,90,1519,2518,16771,87,60,240,1204,6,0,0,0,,,,CampJa00
Anthony Cannon,LB,2008,0,0,0,3,32,0,0,0,0,0,0,0,0,0,0,0,17,,,CannAn20
Steve Cargile,DB,2009,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,11,,,CargSt20
Bobby Carpenter,LB,2012,0,0,0,11,93,0,0,0,0,0,0,0,0,0,0,0,126,1,3.5,CarpBo20
Paul Carrington,DE,2006,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,33,,3.0,CarrPa21
Jason Carter,WR,2006,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CartJa00
Chris Chester,G,2016,0,0,9,59,169,0,0,0,0,0,0,0,0,0,0,0,3,,,ChesCh21
Tyson Clabo,T,2014,0,1,8,54,132,0,0,0,0,0,0,0,0,0,0,0,,,,ClabTy20
Brian Clark,WR,2010,0,0,0,0,38,0,0,0,0,0,0,0,0,11,100,0,17,,,ClarBr00
Kellen Clemens,QB,2017,0,0,2,10,64,350,638,4053,16,21,85,227,3,0,0,0,1,,,ClemKe00
Patrick Cobbs,RB,2010,0,0,0,4,54,0,0,0,0,0,37,171,2,32,409,4,22,,,CobbPa00
Earl Cochran,DE,2008,0,0,0,3,24,0,0,0,0,0,0,0,0,0,0,0,35,,3.0,CochEa20
Dan Cody,LB,2006,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,CodyDa20
Barry Cofield,DT,2015,0,0,8,46,138,0,0,0,0,0,0,0,0,0,0,0,208,,19.5,CofiBa20
