Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Husain Abdullah,DB,2015,0,0,3,18,97,0,0,0,0,0,0,0,0,0,0,0,231,6,2.5,AbduHu99
Jamar Adams,DB,2010,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,5,,,AdamJa20
Xavier Adibi,LB,2012,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0,54,,,AdibXa99
Branden Albert,G,2016,0,2,9,41,120,0,0,0,0,0,0,0,0,0,0,0,,,,AlbeBr20
Rufus Alexander,LB,2008,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,AlexRu20
Andy Alleman,G,2009,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,,,,AlleAn20
Antwan Applewhite,LB,2012,0,0,1,9,48,0,0,0,0,0,0,0,0,0,0,0,73,,6.5,ApplAn99
Adrian Arrington,WR,2011,0,0,0,1,5,0,0,0,0,0,0,0,0,9,110,0,,,,ArriAd00
Donnie Avery,WR,2014,0,0,4,21,77,0,0,0,0,0,20,114,1,218,2861,14,,,,AverDo00
Cliff Avril,DE,2017,0,1,7,51,140,0,0,0,0,0,0,0,0,0,0,0,207,1,74.0,AvriCl99
Patrick Bailey,LB,2013,0,0,0,5,84,0,0,0,0,0,0,0,0,0,0,0,55,,,BailPa99
Dallas Baker,WR,2008,0,0,0,0,8,0,0,0,0,0,0,0,0,1,6,0,,,,BakeDa01
Sam Baker,T,2014,0,0,3,32,75,0,0,0,0,0,0,0,0,0,0,0,1,,,BakeSa21
Ervin Baldwin,DE,2009,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,,,BaldEr99
Lance Ball,RB,2012,0,0,0,7,42,0,0,0,0,0,192,801,2,27,230,2,7,,,BallLa00
Kentwan Balmer,DT,2011,0,0,1,7,46,0,0,0,0,0,0,0,0,0,0,0,39,,,BalmKe99
Dominique Barber,DB,2011,0,0,0,5,39,0,0,0,0,0,0,0,0,0,0,0,48,1,1.0,BarbDo99
Gary Barnidge,TE,2016,0,1,4,14,124,0,0,0,0,0,0,0,0,178,2258,14,32,,,BarnGa01
Josh Barrett,DB,2011,0,0,0,3,25,0,0,0,0,0,0,0,0,0,0,0,38,1,,BarrJo99
