Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Mehdi Abdesmad,DE,2016,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,AbdeMe00
Andrew Adams,FS,2021,0,0,2,15,87,0,0,0,0,0,0,0,0,0,0,0,152,7,,AdamAn00
Jerell Adams,TE,2019,0,0,0,2,30,0,0,0,0,0,0,0,0,24,214,1,3,,,AdamJe01
Tyrell Adams,LB,2021,0,0,1,7,44,0,0,0,0,0,0,0,0,0,0,0,99,,2.0,AdamTy00
Bralon Addison,RB,2016,0,0,0,0,2,0,0,0,0,0,1,4,0,1,11,0,,,,AddiBr01
Roberto Aguayo,K,2016,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,1,,,AguaRo00
Bryson Albright,LB,2017,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,,,,AlbrBr00
Dominique Alexander,LB,2017,0,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,4,,,AlexDo01
Mackensie Alexander,CB,2021,0,0,1,12,84,0,0,0,0,0,0,0,0,0,0,0,147,3,4.5,AlexMa01
Vadal Alexander,OG,2017,0,0,0,6,24,0,0,0,0,0,0,0,0,0,0,0,,,,AlexVa00
Geronimo Allison,WR,2021,0,0,0,8,49,0,0,0,0,0,1,7,0,89,1045,6,,,,AlliGe01
Robby Anderson,WR,2021,0,0,6,32,95,0,0,0,0,0,16,98,0,355,4674,28,1,,,AndeRo04
Stephen Anderson,TE,2021,0,0,0,7,62,0,0,0,0,0,0,0,0,60,706,3,9,,,AndeSt01
Zaire Anderson,LB,2017,0,0,0,5,32,0,0,0,0,0,0,0,0,0,0,0,27,,,AndeZa01
Eli Apple,CB,2021,0,0,4,22,73,0,0,0,0,0,0,0,0,0,0,0,238,5,,ApplEl00
Demarcus Ayers,WR,2016,0,0,0,0,2,0,0,0,0,0,2,-12,0,6,53,1,,,,AyerDe00
Alex Balducci,OL,2016,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BaldAl01
Peyton Barber,RB,2021,0,0,1,15,89,0,0,0,0,0,700,2457,21,71,428,2,5,,,BarbPe01
Adairius Barnes,CB,2016,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,6,,,BarnAd01
Trevor Bates,LB,2018,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,1,,,BateTr00
De'Vante Bausby,DB,2020,0,0,0,3,26,0,0,0,0,0,0,0,0,0,0,0,53,,,BausDe00
Willie Beavers,OT,2016,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BeavWi00
Vonn Bell,SS,2021,0,0,4,25,93,0,0,0,0,0,0,0,0,0,0,0,383,2,8.5,BellVo00
Caleb Benenoch,OT,2021,0,0,1,12,36,0,0,0,0,0,0,0,0,0,0,0,,,,BeneCa00
Brennen Beyer,LB,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,BeyeBr00
Freddie Bishop,DE,2017,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,10,,,BishFr00
Ronald Blair,DE,2021,0,0,0,7,55,0,0,0,0,0,0,0,0,0,0,0,71,,14.5,BlaiRo00
Austin Blythe,C,2021,0,0,3,27,75,0,0,0,0,0,0,0,0,0,0,0,,,,BlytAu00
Briean Boddy-Calhoun,DB,2020,0,0,0,9,47,0,0,0,0,0,0,0,0,0,0,0,122,3,3.0,BoddBr01
Evan Boehm,C,2019,0,0,1,12,55,0,0,0,0,0,0,0,0,0,0,0,,,,BoehEv00
Devontae Booker,RB,2021,0,0,0,19,93,0,0,0,0,0,527,2119,11,162,1224,2,7,,,BookDe00
Joey Bosa,DE,2021,0,4,6,47,79,0,0,0,0,0,0,0,0,0,0,0,213,,58.0,BosaJo00
Braedon Bowman,TE,2016,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,BowmBr00
Tyler Boyd,WR,2021,0,0,2,35,87,2,4,62,0,0,17,155,0,388,4571,24,1,,,BoydTy00
Trevone Boykin,QB,2016,0,0,0,0,5,13,18,145,1,1,8,1,0,0,0,0,,,,BoykTr00
James Bradberry,CB,2021,0,1,6,34,92,0,0,0,0,0,0,0,0,0,0,0,303,15,3.0,BradJa00
Ben Braunecker,TE,2019,0,0,0,0,47,0,0,0,0,0,0,0,0,13,142,1,13,,,BrauBe00
Daniel Braverman,WR,2016,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BravDa00
Jake Brendel,C,2021,0,0,0,3,37,0,0,0,0,0,0,0,0,0,0,0,,,,BrenJa01
Kentrell Brice,S,2018,0,0,1,6,36,0,0,0,0,0,0,0,0,0,0,0,82,1,1.0,BricKe00
Jacoby Brissett,QB,2021,0,0,2,24,60,727,1208,7742,36,17,178,653,13,1,2,0,,,,BrisJa00
Kentrell Brothers,ILB,2019,0,0,0,4,51,0,0,0,0,0,0,0,0,0,0,0,41,,1.0,BrotKe00
Anthony Brown,CB,2021,0,0,3,20,82,0,0,0,0,0,0,0,0,0,0,0,227,9,4.0,BrowAn02
Jatavis Brown,OLB,2019,0,0,2,14,56,0,0,0,0,0,0,0,0,0,0,0,187,,4.5,BrowJa05
Mack Brown,RB,2017,0,0,0,1,13,0,0,0,0,0,16,111,1,2,9,0,,,,BrowMa02
DeForest Buckner,DT,2021,1,2,6,58,95,0,0,0,0,0,0,0,0,0,0,0,243,,45.0,BuckDe00
Jonathan Bullard,DE,2021,0,0,1,10,70,0,0,0,0,0,0,0,0,0,0,0,70,,3.5,BullJo00
Aaron Burbridge,WR,2016,0,0,0,1,16,0,0,0,0,0,0,0,0,7,88,0,9,,,BurbAa00
Brandon Burks,RB,2016,0,0,0,0,1,0,0,0,0,0,2,-4,0,0,0,0,,,,BurkBr00
Artie Burns,CB,2021,0,0,1,16,69,0,0,0,0,0,0,0,0,0,0,0,140,4,,BurnAr00
Juston Burris,CB,2021,0,0,2,13,75,0,0,0,0,0,0,0,0,0,0,0,111,6,1.0,BurrJu00
Deon Bush,FS,2021,0,0,0,7,79,0,0,0,0,0,0,0,0,0,0,0,73,3,1.0,BushDe00
Vernon Butler,DT,2021,0,0,2,13,76,0,0,0,0,0,0,0,0,0,0,0,56,,8.0,ButlVe00
Kevin Byard,S,2021,2,2,5,46,97,1,1,66,1,0,0,0,0,1,11,0,365,23,4.0,ByarKe01
Damiere Byrd,WR,2021,0,0,1,13,61,0,0,0,0,0,3,27,0,117,1421,5,1,,,ByrdDa00
Trey Caldwell,DB,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CaldTr00
Shilique Calhoun,DE,2020,0,0,0,5,51,0,0,0,0,0,0,0,0,0,0,0,37,,2.5,CalhSh00
Taveze Calhoun,DB,2016,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CalhTa01
De'Vondre Campbell,OLB,2021,1,0,6,42,91,0,0,0,0,0,0,0,0,0,0,0,405,5,9.5,CampDe00
Kameron Canaday,LS,2020,0,0,0,4,67,0,0,0,0,0,0,0,0,0,0,0,1,,,CanaKa00
Maurice Canady,CB,2021,0,0,0,3,40,0,0,0,0,0,0,0,0,0,0,0,70,1,,CanaMa00
Leonte Carroo,WR,2018,0,0,0,2,37,0,0,0,0,0,1,14,0,12,192,2,2,,,CarrLe00
Alex Carter,CB,2018,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,CartAl01
Jeremy Cash,SS,2017,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,5,,,CashJe00
Gerald Christian,TE,2016,0,0,0,0,3,0,0,0,0,0,0,0,0,1,14,0,,,,ChriGe00
Marqui Christian,SS,2021,0,0,0,6,73,0,0,0,0,0,0,0,0,0,0,0,68,,,ChriMa00
Kenny Clark,DT,2021,0,2,5,40,89,0,0,0,0,0,0,0,0,0,0,0,167,,22.5,ClarKe01
Le'Raven Clark,OT,2021,0,0,0,11,51,0,0,0,0,0,0,0,0,0,0,0,,,,ClarLe01
Corey Coleman,WR,2018,0,0,2,6,27,0,0,0,0,0,3,15,0,61,789,5,,,,ColeCo00
Shon Coleman,OT,2017,0,0,1,6,23,0,0,0,0,0,0,0,0,0,0,0,,,,ColeSh00
Alex Collins,RB,2021,0,0,2,17,50,0,0,0,0,0,483,1997,18,59,467,1,,,,CollAl00
Maliek Collins,DT,2021,0,0,6,33,88,0,0,0,0,0,0,0,0,0,0,0,80,1,17.0,CollMa00
Jack Conklin,OT,2021,2,0,5,49,79,0,0,0,0,0,0,0,0,0,0,0,1,,,ConkJa00
Connor Cook,QB,2016,0,0,0,0,1,14,21,150,1,1,0,0,0,0,0,0,,,,CookCo00
Pharoh Cooper,WR,2021,1,1,0,6,70,0,1,0,0,1,3,11,0,59,539,1,1,,,CoopPh00
Cody Core,WR,2019,0,0,0,3,51,0,0,0,0,0,0,0,0,33,388,1,12,,,CoreCo00
Kamalei Correa,OLB,2020,0,0,1,11,63,0,0,0,0,0,0,0,0,0,0,0,57,,8.5,CorrKa00
Blake Countess,CB,2021,0,0,0,3,45,0,0,0,0,0,0,0,0,0,0,0,41,2,1.0,CounBl00
James Cowser,LB,2017,0,0,0,3,22,0,0,0,0,0,0,0,0,0,0,0,21,,1.0,CowsJa00
Su'a Cravens,OLB,2018,0,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,35,1,1.0,CravSu00
Ken Crawley,DB,2021,0,0,1,9,55,0,0,0,0,0,0,0,0,0,0,0,125,2,,CrawKe02
Alan Cross,TE,2018,0,0,0,0,36,0,0,0,0,0,0,0,0,13,105,1,5,,,CrosAl00
Joe Dahl,OG,2020,0,0,1,11,44,0,0,0,0,0,0,0,0,0,0,0,,,,DahlJo00
Robertson Daniel,DB,2018,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,DaniRo01
