Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Victor Abiamiri,DE,2009,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,22,,4.0,AbiaVi99
Gaines Adams,DE,2009,0,0,1,17,47,0,0,0,0,0,0,0,0,0,0,0,67,2,13.5,AdamGa99
Michael Adams,DB,2013,0,0,0,7,80,0,0,0,0,0,0,0,0,0,0,0,154,3,1.0,AdamMi98
Ikaika Alama-Francis,DE,2011,0,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,30,,1.0,AlamIk99
Gerald Alexander,DB,2011,0,0,2,11,44,0,0,0,0,0,0,0,0,0,0,0,121,4,2.0,AlexGe99
Lorenzo Alexander,LB,2019,0,2,4,40,191,0,0,0,0,0,0,0,0,0,0,0,338,3,33.0,AlexLo99
Jay Alford,DT,2010,0,0,0,4,36,0,0,0,0,0,0,0,0,0,0,0,13,,3.5,AlfoJa99
Charles Ali,RB,2008,0,0,0,0,28,0,0,0,0,0,0,0,0,4,13,0,,,,AlixCh00
Aundrae Allison,WR,2008,0,0,0,3,26,0,0,0,0,0,3,4,0,18,231,0,,,,AlliAu00
Colin Allred,LB,2010,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,31,,,AllrCo99
Deon Anderson,FB,2010,0,0,1,1,39,0,0,0,0,0,2,3,0,9,67,1,14,,,AndeDe01
Jamaal Anderson,DE,2012,0,0,3,20,77,0,0,0,0,0,0,0,0,0,0,0,96,,7.5,AndeJa98
Brandon Archer,LB,2007,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,12,,,ArchBr99
Devin Aromashodu,WR,2012,0,0,0,10,61,0,0,0,0,0,0,0,0,78,1193,5,3,,,AromDe00
Baraka Atkins,DE,2008,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,21,,2.0,AtkiBa99
Remi Ayodele,LB,2011,0,0,3,16,60,0,0,0,0,0,0,0,0,0,0,0,49,,4.0,AyodRe99
Johnny Baldwin,LB,2007,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,,,BaldJo99
Alan Ball,DB,2015,0,0,2,19,108,0,0,0,0,0,0,0,0,0,0,0,194,6,0.5,BallAl99
