Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Khalid Abdullah,LB,2003,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,8,,,AbduKh20
Anthony Adams,DT-NT,2011,0,0,4,33,121,0,0,0,0,0,0,0,0,0,0,0,214,,10.5,AdamAn20
Blue Adams,DB,2007,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0,0,45,,1.0,AdamBl20
Charlie Adams,WR,2005,0,0,0,2,24,0,0,0,0,0,5,14,0,21,203,0,4,,,AdamCh00
Sam Aiken,WR,2010,0,0,0,7,95,0,0,0,0,0,0,0,0,48,684,2,38,,,AikeSa00
Brian Allen,RB,2003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,AlleBr20
David Allen,RB,2005,0,0,0,1,23,0,0,0,0,0,4,8,0,8,68,1,,,,AlleDa00
Kenderick Allen,DT,2006,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,43,,3.0,AlleKe20
Ken Amato,C,2011,0,0,0,14,125,0,0,0,0,0,0,0,0,0,0,0,35,,,AmatKe20
Richard Angulo,TE,2008,0,0,0,2,27,0,0,0,0,0,0,0,0,17,155,1,,,,AnguRi00
Derick Armstrong,WR,2005,0,0,0,6,35,0,0,0,0,0,0,0,0,45,605,2,,,,ArmsDe00
B.J. Askew,FB,2009,0,0,1,4,83,0,0,0,0,0,35,116,2,45,317,0,31,,,AskeB.00
Nnamdi Asomugha,DB,2013,2,3,8,64,157,0,0,0,0,0,0,0,0,0,0,0,356,15,2.0,AsomNn20
James Atkins,DT,2004,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,8,,,AtkiJa21
Brendon Ayanbadejo,LB,2012,0,3,0,25,142,0,0,0,0,0,0,0,0,0,0,0,192,2,4.5,AyanBr99
Roderick Babers,DB,2004,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,8,,,BabeRo20
Boss Bailey,LB,2008,0,0,4,22,64,0,0,0,0,0,0,0,0,0,0,0,226,2,7.0,BailBo20
Tully Banta-Cain,LB,2010,0,0,2,22,113,0,0,0,0,0,0,0,0,0,0,0,176,1,27.5,BantTu20
Brooks Barnard,P,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BarnBr20
Nick Barnett,LB,2013,0,0,9,60,153,0,0,0,0,0,0,0,0,0,0,0,732,12,20.5,BarnNi20
Solomon Bates,LB,2004,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,25,,,BateSo20
Arnaz Battle,WR,2011,0,0,2,18,113,2,3,27,0,0,22,77,1,178,2150,11,36,,,BattAr00
Julian Battle,DB,2004,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,24,,,BattJu20
Chad Beasley,T,2003,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,,,,BeasCh20
Sean Berton,TE,2005,0,0,1,1,44,0,0,0,0,0,0,0,0,10,81,0,1,,,BertSe00
Erik Bickerstaff,RB,2003,0,0,0,0,4,0,0,0,0,0,19,56,1,0,0,0,1,,,BickEr00
Willie Blade,DT,2004,0,0,1,8,20,0,0,0,0,0,0,0,0,0,0,0,17,,1.0,BladWi20
Leigh Bodden,DB,2011,0,0,5,29,95,0,0,0,0,0,0,0,0,0,0,0,314,18,,BoddLe20
Phil Bogle,G-T,2003,0,0,1,6,15,0,0,0,0,0,0,0,0,0,0,0,,,,BoglPh20
Anquan Boldin,WR,2016,0,3,14,86,202,1,4,-6,0,1,42,229,1,1076,13779,82,,,,BoldAn00
Kyle Boller,QB,2011,0,0,4,16,67,861,1519,8931,48,54,176,572,2,0,0,0,,,,BollKy00
Gary Brackett,LB,2011,0,0,6,39,116,0,0,0,0,0,0,0,0,0,0,0,526,12,4.0,BracGa20
Colin Branch,DB,2006,0,0,1,8,48,0,0,0,0,0,0,0,0,0,0,0,67,4,,BranCo20
Tyler Brayton,DE,2011,0,0,6,40,141,0,0,0,0,0,0,0,0,0,0,0,252,1,17.5,BrayTy20
Kevin Breedlove,G-T,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BreeKe20
Lance Briggs,LB,2014,1,7,12,98,173,0,0,0,0,0,0,0,0,0,0,0,944,16,15.0,BrigLa99
Jermaine Brooks,DT,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,BrooJe20
Antonio Brown,WR,2005,0,0,0,1,26,0,0,0,0,0,3,24,0,0,0,0,,,,BrowAn01
Chris Brown,RB,2009,0,0,2,24,68,0,1,0,0,1,722,3024,19,90,741,2,,,,BrowCh03
Chris Brown,DB,2003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,,,BrowCh25
Josh Brown,K,2016,0,1,0,34,201,1,1,36,1,0,0,0,0,0,0,0,23,,,brownjos01
Mark Brown,LB,2005,0,0,1,8,28,0,0,0,0,0,0,0,0,0,0,0,47,2,1.5,BrowMa22
Milford Brown,G,2008,0,0,3,19,53,0,0,0,0,0,0,0,0,0,0,0,,,,BrowMi21
Arland Bruce,WR,2003,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,BrucAr20
Daryon Brutley,DB,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BrutDa20
Nate Burleson,WR,2013,0,0,9,45,135,0,0,0,0,0,40,257,0,457,5630,39,4,,,BurlNa00
Curry Burns,DB,2006,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,26,1,,BurnCu20
Tyrone Calico,WR,2005,0,0,0,5,27,0,0,0,0,0,1,5,0,42,501,4,,,,CaliTy00
Dwaine Carpenter,DB,2006,0,0,0,6,42,0,0,0,0,0,0,0,0,0,0,0,83,1,2.0,CarpDw20
Kerry Carter,RB,2004,0,0,0,0,32,0,0,0,0,0,7,13,0,0,0,0,13,,,CartKe01
Jacques Cesaire,DE-DT,2011,0,0,3,29,125,0,0,0,0,0,0,0,0,0,0,0,147,,12.5,CesaJa20
Antonio Chatman,WR,2008,0,0,0,10,74,0,0,0,0,0,15,79,0,114,1160,6,,,,ChatAn00
Vinny Ciurciu,LB,2010,0,0,0,9,103,0,0,0,0,0,0,0,0,0,0,0,88,,,CiurVi20
Dallas Clark,TE,2013,1,1,9,51,143,0,0,0,0,0,4,40,0,505,5665,53,1,,,ClarDa00
Kenny Clark,WR,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ClarKe22
Sherrod Coates,LB,2004,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,7,,,CoatSh20
Avon Cobourne,RB,2003,0,0,0,0,7,0,0,0,0,0,10,27,0,4,30,0,4,,,CoboAv00
Clarence Coleman,WR,2003,0,0,0,1,14,0,0,0,0,0,0,0,0,8,69,0,,,,ColeCl00
Stephen Cooper,LB,2011,0,0,4,33,125,0,0,0,0,0,0,0,0,0,0,0,357,8,9.5,CoopSt20
Chris Crocker,DB,2013,0,0,7,42,151,0,0,0,0,0,1,21,0,0,0,0,427,15,14.5,CrocCh20
Angelo Crowell,LB,2007,0,0,3,18,65,0,0,0,0,0,0,0,0,0,0,0,233,5,7.0,CrowAn20
Dan Curley,FB,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CurlDa20
Julius Curry,DB,2003,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,,,CurrJu20
Kevin Curtis,WR,2010,0,0,3,25,81,0,0,0,0,0,9,39,1,253,3297,20,,,,CurtKe00
Carson Dach,C,2003,0,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,1,,,DachCa20
Chris Davis,FB,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DaviCh24
Dorsett Davis,DE-DT,2003,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,11,,,DaviDo23
James Davis,LB,2005,0,0,2,13,40,0,0,0,0,0,0,0,0,0,0,0,101,,3.5,DaviJa24
Sammy Davis,DB,2007,0,0,2,12,71,0,0,0,0,0,0,0,0,0,0,0,147,3,1.0,DaviSa21
Enoch DeMar,G-T,2004,0,0,1,5,20,0,0,0,0,0,0,0,0,0,0,0,,,,DeMaEn20
Kori Dickerson,TE,2003,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,,,DickKo20
David Diehl,G-T,2013,0,1,11,67,164,0,0,0,0,0,0,0,0,0,0,0,,,,DiehDa21
Kris Dielman,G,2011,0,4,6,67,120,0,0,0,0,0,0,0,0,0,0,0,,,,DielKr20
Derrick Dockery,G,2012,0,0,7,44,141,0,0,0,0,0,0,0,0,0,0,0,,,,DockDe20
Jon Dorenbos,C,2016,0,2,0,23,201,0,0,0,0,0,0,0,0,0,0,0,29,,,DoreJo20
Mike Doss,DB,2008,0,0,3,17,57,0,0,0,0,0,0,0,0,0,0,0,211,7,1.0,DossMi20
LaTarence Dunbar,WR,2003,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,,,DunbLa20
Tim Duncan,K,2003,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,duncatim0
Anthony Dunn,DE,2003,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,DunnAn20
Terrence Edwards,WR,2003,0,0,0,0,6,0,0,0,0,0,0,0,0,1,10,0,1,,,EdwaTe00
Aaron Elling,K,2005,0,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,8,,,ellinaar01
Alonzo Ephraim,C,2005,0,0,0,6,43,0,0,0,0,0,0,0,0,0,0,0,,,,EphrAl20
Jeff Faine,C,2012,0,0,8,45,125,0,0,0,0,0,1,0,0,1,-1,0,,,,FainJe20
Justin Fargas,FB,2009,0,0,2,20,92,0,0,0,0,0,827,3369,10,77,523,0,20,,,FargJu00
Jimmy Farris,WR,2007,0,0,0,1,36,0,0,0,0,0,0,0,0,7,118,2,11,,,FarrJi00
Casey Fitzsimmons,TE,2009,0,0,1,6,99,0,0,0,0,0,0,0,0,88,677,5,44,,,FitzCa00
Drayton Florence,DB,2013,0,0,6,34,157,0,0,0,0,0,0,0,0,0,0,0,416,20,,FlorDr20
Anthony Floyd,DB,2004,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,39,,,FloyAn20
Brock Forsey,RB,2004,0,0,0,2,16,0,0,0,0,0,69,244,2,3,37,0,1,,,ForsBr00
DeShaun Foster,RB,2008,0,0,3,32,79,0,1,0,0,0,927,3570,11,142,1129,5,1,,,FostDe00
George Foster,T,2008,0,0,4,31,68,0,0,0,0,0,0,0,0,0,0,0,,,,FostGe20
Aubrayo Franklin,DT,2013,0,0,7,42,142,0,0,0,0,0,0,0,0,0,0,0,195,1,4.0,FranAu20
Brad Franklin,DB,2003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,,,FranBr20
Makoa Freitas,T-G,2004,0,0,0,7,28,0,0,0,0,0,0,0,0,0,0,0,,,,FreiMa20
Mike Furrey,DB-WR,2009,0,0,3,25,94,0,0,0,0,0,3,5,0,221,2298,7,68,4,,FurrMi00
Doug Gabriel,WR,2006,0,0,1,14,57,0,0,0,0,0,3,12,0,101,1550,8,4,,,GabrDo00
Justin Gage,WR,2010,0,0,3,25,100,0,0,0,0,0,0,0,0,201,2958,16,3,,,GageJu00
Antonio Garay,DE,2012,0,0,2,15,56,0,0,0,0,0,0,0,0,0,0,0,94,,9.0,GaraAn20
Talman Gardner,WR,2004,0,0,0,0,21,0,0,0,0,0,0,0,0,4,52,0,11,,,GardTa00
Kevin Garrett,DB,2006,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,20,,,GarrKe20
Antonio Gates,TE,2018,3,8,12,93,236,0,0,0,0,0,0,0,0,955,11841,116,4,,,GateAn00
Akbar Gbaja-Biamila,DE,2007,0,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,16,,2.0,GbajAk20
Tony Gilbert,LB,2009,0,0,0,6,68,0,0,0,0,0,0,0,0,0,0,0,39,,1.0,GilbTo20
Brandon Gorin,T,2009,0,0,2,15,48,0,0,0,0,0,0,0,0,0,0,0,,,,GoriBr20
Jason Goss,DB,2003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,GossJa20
Cie Grant,LB,2003,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,4,,,GranCi20
Quentin Griffin,RB,2004,0,0,0,6,16,0,0,0,0,0,179,656,2,18,129,1,,,,GrifQu00
Justin Griffith,FB,2009,0,0,6,11,96,0,0,0,0,0,94,413,1,141,989,12,,,,GrifJu00
DeJuan Groce,DB,2006,0,0,1,10,54,0,0,0,0,0,0,0,0,0,0,0,116,3,,GrocDe20
Jordan Gross,T,2013,1,3,11,69,167,0,0,0,0,0,0,0,0,0,1,0,,,,GrosJo20
Rex Grossman,QB,2011,0,0,3,23,54,863,1562,10232,56,60,81,106,4,1,-4,0,,,,GrosRe00
Mario Haggan,LB,2012,0,0,2,21,132,0,0,0,0,0,0,0,0,0,0,0,232,1,9.0,HaggMa20
Gibran Hamdan,QB,2003,0,0,0,0,1,1,2,7,0,0,0,0,0,0,0,0,,,,HamdGi00
Lawrence Hamilton,WR,2004,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,HamiLa20
Ken Hamlin,DB,2010,0,1,6,37,107,0,0,0,0,0,0,0,0,0,0,0,378,15,5.0,HamlKe20
Omari Hand,DE,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,HandOm20
Cortez Hankton,WR,2006,0,0,0,3,46,0,0,0,0,0,0,0,0,34,310,2,9,,,HankCo00
Arlen Harris,RB,2006,0,0,0,6,56,0,0,0,0,0,167,497,6,41,312,0,13,,,HarrAr00
Kwame Harris,T,2008,0,0,3,22,86,0,0,0,0,0,0,0,0,0,0,0,,,,HarrKw20
Clinton Hart,DB,2009,0,0,3,23,99,0,0,0,0,0,0,0,0,0,0,0,264,10,2.0,HartCl20
Jeff Hatch,T,2003,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,,,,HatcJe20
Gerald Hayes,LB,2010,0,0,4,27,94,0,0,0,0,0,0,0,0,0,0,0,349,4,5.5,HayeGe20
Michael Haynes,DE,2005,0,0,0,8,43,0,0,0,0,0,0,0,0,0,0,0,62,1,5.5,HaynMi20
Will Heller,TE,2012,0,0,2,5,134,0,0,0,0,0,0,0,0,92,782,12,8,,,HellWi00
E.J. Henderson,LB,2011,0,1,7,47,125,0,0,0,0,0,0,0,0,0,0,0,559,5,15.5,HendE.20
Artis Hicks,G-T,2011,0,0,4,29,118,0,0,0,0,0,0,0,0,0,0,0,1,,,HickAr20
Brandon Hicks,DT,2003,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,,,HickBr20
Dwone Hicks,RB,2003,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,,,HickDw20
Hunter Hillenmeyer,LB,2010,0,0,5,34,101,0,0,0,0,0,0,0,0,0,0,0,300,2,7.0,HillHu20
Zachary Hilton,TE,2005,0,0,0,3,18,0,0,0,0,0,0,0,0,35,396,1,,,,HiltZa00
Victor Hobson,LB,2008,0,0,4,26,79,0,0,0,0,0,0,0,0,0,0,0,245,3,11.0,HobsVi20
Montrae Holland,G,2011,0,0,4,30,99,0,0,0,0,0,0,0,0,0,0,0,,,,HollMo20
Tony Hollings,RB,2005,0,0,0,2,23,0,0,0,0,0,49,149,0,7,71,0,2,,,HollTo00
Terrence Holt,DB,2008,0,0,3,18,71,0,0,0,0,0,0,0,0,0,0,0,189,8,0.5,HoltTe20
Roderick Hood,DB,2011,0,0,2,24,102,0,0,0,0,0,0,0,0,0,0,0,232,15,1.0,HoodRo20
Keenan Howry,WR,2005,0,0,0,0,23,0,0,0,0,0,0,0,0,3,18,0,,,,HowrKe00
Jasen Isom,FB,2004,0,0,0,0,7,0,0,0,0,0,1,0,0,1,1,0,1,,,IsomJa00
Ron Israel,DB,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,,IsraRo20
Alonzo Jackson,LB,2005,0,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,15,,,JackAl23
Nate Jackson,WR,2008,0,0,0,2,41,0,0,0,0,0,0,0,0,27,240,2,14,,,JackNa00
Ray Jackson,RB,2003,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,JackRa21
Taylor Jacobs,WR,2007,0,0,0,2,56,0,0,0,0,0,2,-14,0,37,384,2,9,,,JacoTa00
Bradie James,LB,2012,0,0,8,53,157,0,0,0,0,0,0,0,0,0,0,0,572,2,16.0,JameBr20
Corey Jenkins,LB,2004,0,0,0,1,23,0,0,0,0,0,0,0,0,0,0,0,7,,,JenkCo20
Ade Jimoh,DB,2007,0,0,0,4,69,0,0,0,0,0,0,0,0,0,0,0,55,,,JimoAd20
Andre Johnson,WR,2016,2,7,12,94,193,0,0,0,0,0,23,54,0,1062,14185,70,1,,,JohnAn02
Bethel Johnson,WR,2006,0,0,0,8,50,0,0,0,0,0,7,4,0,39,606,4,7,,,JohnBe00
Bryant Johnson,WR,2011,0,0,4,26,139,0,0,0,0,0,5,-8,0,314,3938,16,6,,,JohnBr02
Eddie Johnson,P,2003,0,0,0,1,14,0,0,0,0,0,2,15,0,0,0,0,1,,,JohnEd22
Jarret Johnson,DE,2014,0,0,9,55,184,0,0,0,0,0,0,0,0,0,0,0,368,3,25.5,JohnJa23
Jeremi Johnson,FB,2009,0,0,4,4,96,0,0,0,0,0,52,149,2,61,310,6,,,,JohnJe00
Larry Johnson,RB,2011,1,2,4,51,85,1,3,4,1,0,1427,6223,55,154,1373,6,1,,,JohnLa00
Robert Johnson,TE,2005,0,0,0,0,3,0,0,0,0,0,0,0,0,1,14,0,,,,JohnRo04
Ron Johnson,DE,2003,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,JohnRo21
Teyo Johnson,TE,2005,0,0,0,2,30,0,0,0,0,0,0,0,0,26,288,3,6,,,JohnTe00
Rushen Jones,DB,2004,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,16,,,JoneRu20
William Joseph,DT,2009,0,0,1,11,69,0,0,0,0,0,0,0,0,0,0,0,73,,7.0,JoseWi20
Cato June,LB,2009,0,1,5,38,89,0,0,0,0,0,0,0,0,0,0,0,354,12,1.0,JuneCa99
Chris Kelsay,DE,2012,0,0,8,46,147,0,0,0,0,0,0,0,0,0,0,0,293,3,32.5,KelsCh21
Jimmy Kennedy,DT,2011,0,0,2,16,92,0,0,0,0,0,0,0,0,0,0,0,107,,8.5,KennJi21
