Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Michael Carter,RB,2021,0,0,1,6,14,0,0,0,0,0,147,639,4,36,325,0,,,,CartMi03
Tory Carter,FB,2021,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,2,,,CartTo01
Andre Chachere,CB,2021,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,13,,,ChacAn00
Ja'Marr Chase,WR,2021,0,1,1,13,17,0,0,0,0,0,7,21,0,81,1455,13,2,,,ChasJa00
Camaron Cheeseman,LS,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,CheeCa00
Brady Christensen,T,2021,0,0,0,3,16,0,0,0,0,0,0,0,0,0,0,0,1,,,ChriBr00
Andre Cisco,DB,2021,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,19,,,CiscAn00
Ben Cleveland,G,2021,0,0,0,2,12,0,0,0,0,0,0,0,0,0,0,0,,,,ClevBe00
Nico Collins,WR,2021,0,0,0,3,14,0,0,0,0,0,0,0,0,33,446,1,1,,,CollNi00
Zaven Collins,LB,2021,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,13,,,CollZa00
Jonathon Cooper,DE,2021,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,22,,2.5,CoopJo02
Jashon Cornell,DE,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CornJa01
Samuel Cosmi,T,2021,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,,,,CosmSa00
K.J. Costello,QB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CostKJ00
Jeff Cotton,WR,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,CottJe00
Jabril Cox,LB,2021,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,,CoxxJa00
Tyler Coyle,,2021,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,CoylTy00
Damarea Crockett,RB,2021,0,0,0,0,12,0,0,0,0,0,3,7,0,0,0,0,,,,CrocDa01
Jake Curhan,T,2021,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,2,,,CurhJa00
Drew Dalman,C,2021,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,DalmDr00
Frank Darby,WR,2021,0,0,0,0,10,0,0,0,0,0,0,0,0,1,14,0,,,,DarbFr00
Jaelon Darden,WR,2021,0,0,0,0,9,0,0,0,0,0,1,11,0,6,43,0,,,,DardJa00
Christian Darrisaw,OL,2021,0,0,0,5,12,0,0,0,0,0,0,0,0,0,0,0,,,,DarrCh00
Connor Davis,TE,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DaviCo04
Jamin Davis,LB,2021,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,48,,1.0,DaviJa11
Javaris Davis,DB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,DaviJa10
Shawn Davis,DB,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,DaviSh02
Wyatt Davis,OL,2021,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,DaviWy00
Divine Deablo,DB,2021,0,0,0,5,17,0,0,0,0,0,0,0,0,0,0,0,28,,,DeabDi00
Grant Delpit,S,2021,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,43,1,1.0,DelpGr00
Ben DeLuca,DB,2021,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,DeLuBe00
