Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Isa Abdul-Quddus,S,2016,0,0,1,13,89,0,0,0,0,0,2,34,0,1,3,0,173,4,2.0,AbduIs00
Sam Acho,OLB,2019,0,0,4,30,110,0,0,0,0,0,0,0,0,0,0,0,178,3,18.0,AchoSa00
Darvin Adams,WR,2011,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,,,AdamDa00
Kris Adams,WR,2012,0,0,0,0,3,0,0,0,0,0,0,0,0,2,26,0,,,,AdamKr00
Kyle Adams,TE,2013,0,0,0,0,29,0,0,0,0,0,0,0,0,4,40,0,1,,,AdamKy00
Mario Addison,DE,2021,0,0,4,31,158,0,0,0,0,0,0,0,0,0,0,0,177,,67.0,AddiMa00
Danny Aiken,LS,2015,0,0,0,4,66,0,0,0,0,0,0,0,0,0,0,0,7,,,AikeDa00
Kamar Aiken,WR,2018,0,0,1,12,71,0,0,0,0,0,0,0,0,149,1725,9,5,,,AikeKa00
Alex Albright,LB,2012,0,0,0,3,30,0,0,0,0,0,0,0,0,0,0,0,33,,,AlbrAl00
Mister Alexander,LB,2012,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,11,,,AlexMi01
Anthony Allen,RB,2012,0,0,0,1,21,0,0,0,0,0,19,69,1,2,12,0,11,,,AlleAn01
Armando Allen,RB,2012,0,0,0,1,17,0,0,0,0,0,42,172,1,2,16,0,3,,,AlleAr00
Cortez Allen,DB,2015,0,0,0,10,56,0,0,0,0,0,0,0,0,0,0,0,138,6,,AlleCo00
Prince Amukamara,CB,2019,0,0,8,36,113,0,0,0,0,0,0,0,0,0,0,0,417,10,,AmukPr00
Emmanuel Arceneaux,WR,2011,0,0,0,0,3,0,0,0,0,0,0,0,0,1,10,0,,,,ArceEm00
David Arkin,OL,2016,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,,,,ArkiDa00
Tim Atchison,FS,2011,0,0,0,0,1,,,,,,,,,,,,,,,AtchTi00
David Ausberry,WR,2014,0,0,0,1,34,0,0,0,0,0,1,-2,0,11,120,0,12,,,AusbDa00
Marvin Austin,DL,2014,0,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,15,,,AustMa00
Thomas Austin,G,2013,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,,,,AustTh00
Akeem Ayers,LB,2017,0,0,4,28,97,0,0,0,0,0,0,0,0,0,0,0,221,4,15.5,AyerAk00
