Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Johnathan Abram,S,2021,0,0,2,9,28,0,0,0,0,0,0,0,0,0,0,0,125,3,,AbraJo01
Nasir Adderley,S,2021,0,0,2,9,34,0,0,0,0,0,0,0,0,0,0,0,129,1,0.5,AddeNa00
Freedom Akinmoladun,DE,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,,,AkinFr01
Azeez Al-Shaair,LB,2021,0,0,2,14,44,0,0,0,0,0,0,0,0,0,0,0,91,2,2.0,AlShAz00
Nick Allegretti,G,2021,0,0,1,7,40,0,0,0,0,0,0,0,0,0,0,0,,,,AlleNi00
Dakota Allen,LB,2021,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,17,,,AlleDa01
Josh Allen,EDGE,2021,0,1,2,15,40,0,0,0,0,0,0,0,0,0,0,0,84,1,20.5,AlleJo03
Zach Allen,DL,2021,0,0,2,12,32,0,0,0,0,0,0,0,0,0,0,0,56,1,6.0,AlleZa01
Ugo Amadi,S,2021,0,0,1,6,47,0,0,0,0,0,0,0,0,0,0,0,102,1,,AmadUg00
Abdullah Anderson,DT,2021,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,4,,1.0,AndeAb00
JJ Arcega-Whiteside,WR,2021,0,0,0,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,ArceJJ00
Ryquell Armstead,RB,2021,0,0,0,2,18,0,0,0,0,0,50,188,0,17,160,2,1,,,ArmsRy00
Blessuan Austin,CB,2021,0,0,1,6,29,0,0,0,0,0,0,0,0,0,0,0,77,,,AustBl00
Jake Bailey,P,2021,1,1,0,6,49,0,0,0,0,0,0,0,0,0,0,0,2,,,BailJa00
Quinn Bailey,T,2021,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,,,,BailQu00
Deandre Baker,CB,2021,0,0,1,6,26,0,0,0,0,0,0,0,0,0,0,0,65,,1.0,BakeDe00
Corey Ballentine,CB,2021,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,38,,,BallCo00
Ben Banogu,EDGE,2021,0,0,0,3,34,0,0,0,0,0,0,0,0,0,0,0,10,,2.5,BanoBe00
Alex Bars,T,2021,0,0,0,6,38,0,0,0,0,0,0,0,0,0,0,0,,,,BarsAl01
Cody Barton,LB,2021,0,0,0,6,48,0,0,0,0,0,0,0,0,0,0,0,56,,,BartCo00
Ryan Bates,T,2021,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,,,,BateRy02
Sam Beal,CB,2021,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,21,,,BealSa00
Andrew Beck,TE,2021,0,0,0,1,38,1,1,6,0,0,1,3,0,9,90,1,2,,,BeckAn01
Ryan Bee,DE,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,BeexRy00
Beau Benzschawel,G,2020,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,,,BenzBe01
Marquise Blair,S,2021,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,34,,,BlaiMa01
Kendall Blanton,TE,2021,0,0,0,0,12,0,0,0,0,0,0,0,0,4,37,0,,,,BlanKe01
Khari Blasingame,RB,2021,0,0,1,0,32,0,0,0,0,0,3,6,0,10,97,0,6,,,BlasKh00
David Blough,QB,2021,0,0,0,-1,7,100,184,1033,4,7,10,55,0,1,19,1,,,,BlouDa00
Reggie Bonnafon,RB,2021,0,0,0,2,22,0,0,0,0,0,29,189,1,10,87,1,3,,,BonnRe00
Nick Bosa,EDGE,2021,0,2,2,24,35,0,0,0,0,0,0,0,0,0,0,0,75,1,24.5,BosaNi00
Kris Boyd,CB,2021,0,0,0,5,41,0,0,0,0,0,0,0,0,0,0,0,65,,,BoydKr00
Miles Boykin,WR,2021,0,0,2,6,40,0,0,0,0,0,0,0,0,33,470,7,2,,,BoykMi00
Garrett Bradbury,OL,2021,0,0,3,19,45,0,0,0,0,0,0,0,0,2,17,0,,,,BradGa00
Chandler Brewer,T,2019,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,,,,BrewCh01
Nate Brooks,DB,2020,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,10,,,BrooNa00
Tony Brooks-James,RB,2020,0,0,0,0,4,0,0,0,0,0,11,11,0,0,0,0,,,,BrooTo01
Cortez Broughton,DL,2021,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,4,,,BrouCo00
A.J. Brown,WR,2021,0,1,3,30,43,0,2,0,0,0,5,70,1,185,2995,24,2,,,BrowAJ00
Alex Brown,DB,2019,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,,,BrowAl02
Kyron Brown,DB,2021,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,5,,,BrowKy00
Marquise Brown,WR,2021,0,0,2,24,46,0,0,0,0,0,2,6,0,195,2361,21,,,,BrowMa04
Miles Brown,DT,2019,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,2,,,BrowMi01
Austin Bryant,EDGE,2021,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,35,,4.5,BryaAu00
Brandin Bryant,DL,2021,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,,,BryaBr00
Ventell Bryant,WR,2019,0,0,0,0,12,0,0,0,0,0,0,0,0,1,15,1,6,,,BryaVe00
Isaiah Buggs,DL,2021,0,0,0,5,29,0,0,0,0,0,0,0,0,0,0,0,14,,,BuggIs00
Brian Burns,EDGE,2021,0,1,2,19,48,0,0,0,0,0,0,0,0,0,0,0,85,,25.5,BurnBr00
Ben Burr-Kirven,LB,2020,0,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,10,,,BurrBe00
Devin Bush Jr.,LB,2021,0,0,1,17,35,0,0,0,0,0,0,0,0,0,0,0,129,2,4.0,BushDe01
Shaq Calhoun,G,2021,0,0,1,3,12,0,0,0,0,0,0,0,0,0,0,0,,,,CalhSh01
Parris Campbell,WR,2021,0,0,0,4,15,0,0,0,0,0,6,50,0,34,360,2,,,,CampPa00
Stephen Carlson,TE,2021,0,0,0,0,27,0,0,0,0,0,0,0,0,6,62,1,7,,,CarlSt00
Blake Cashman,LB,2021,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,34,,0.5,CashBl00
Jordan Chunn,RB,2019,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,,ChunJo00
AJ Cole III,P,2021,1,1,0,7,49,0,0,0,0,0,1,0,0,0,0,0,2,,,ColeAJ01
L.J. Collier,DL,2021,0,0,1,8,37,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,CollLJ00
John Cominsky,DE,2021,0,0,0,3,27,0,0,0,0,0,0,0,0,0,0,0,19,,1.5,ComiJo00
Ryan Connelly,LB,2021,0,0,0,4,30,0,0,0,0,0,0,0,0,0,0,0,18,2,1.0,ConnRy00
Lester Cotton,G,2021,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,,CottLe00
Byron Cowart,DL,2020,0,0,1,9,19,0,0,0,0,0,0,0,0,0,0,0,15,,1.0,CowaBy00
Chandler Cox,RB,2020,0,0,0,0,21,0,0,0,0,0,0,0,0,2,9,0,,,,CoxxCh01
Xavier Crawford,CB,2021,0,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,14,,,CrawXa00
Maxx Crosby,EDGE,2021,0,1,3,25,49,0,0,0,0,0,0,0,0,0,0,0,92,,25.0,CrosMa00
Austin Cutting,LS,2020,0,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,,,CuttAu00
Dennis Daley,OL,2021,0,0,1,9,34,0,0,0,0,0,0,0,0,0,0,0,,,,DaleDe00
