Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,-9999
Ameer Abdullah,RB,2021,0,0,2,16,91,0,0,0,0,0,409,1574,6,119,865,7,9,,,AbduAm00
Jude Adjei-Barimah,CB,2016,0,0,1,3,23,0,0,0,0,0,0,0,0,0,0,0,56,,2.0,AdjeJu00
Nelson Agholor,WR,2021,0,0,7,30,102,1,1,15,0,0,14,71,0,309,3884,29,,,,AghoNe00
Jay Ajayi,RB,2019,0,1,2,19,45,0,0,0,0,0,572,2546,13,63,419,1,,,,AjayJa00
D.J. Alexander,OLB,2019,0,1,0,7,61,0,0,0,0,0,0,0,0,0,0,0,43,,,AlexD.00
Kwon Alexander,OLB,2021,0,1,5,36,78,0,0,0,0,0,0,0,0,0,0,0,371,8,12.0,AlexKw00
Mario Alford,WR,2016,0,0,0,0,4,0,0,0,0,0,0,0,0,1,15,0,,,,AlfoMa00
Javorius Allen,RB,2019,0,0,0,14,64,0,0,0,0,0,350,1285,9,130,823,6,11,,,AlleJa01
Adrian Amos,FS,2021,0,0,7,33,109,0,0,0,0,0,0,0,0,0,0,0,443,9,5.0,AmosAd00
Henry Anderson,DE,2021,0,0,4,20,78,0,0,0,0,0,0,0,0,0,0,0,101,,11.5,AndeHe00
Jonathan Anderson,LB,2017,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,43,1,,AndeJo01
David Andrews,C,2021,0,0,6,39,89,0,0,0,0,0,0,0,0,0,0,0,,,,AndrDa00
Stephone Anthony,ILB,2019,0,0,1,10,62,0,0,0,0,0,0,0,0,0,0,0,97,1,1.0,AnthSt00
Thurston Armbrister,LB,2018,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,30,,,ArmbTh00
Arik Armstead,DE,2021,0,0,5,34,95,0,0,0,0,0,0,0,0,0,0,0,154,,28.5,ArmsAr01
Cameron Artis-Payne,RB,2018,0,0,0,5,32,0,0,0,0,0,118,491,5,10,86,0,2,,,ArtiCa00
Richard Ash,DT,2017,0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,15,,,AshxRi00
Kennard Backman,TE,2015,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,BackKe00
Neiron Ball,OLB,2015,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,7,,1.0,BallNe00
Tavaris Barnes,DE,2015,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,3,,,BarnTa00
Brad Bars,DE,2015,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,,,BarsBr00
Houston Bates,OLB,2016,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,14,,,BateHo00
Vic Beasley,OLB,2020,1,1,5,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,BeasVi00
Blake Bell,TE,2021,0,0,1,5,97,0,0,0,0,0,5,12,0,58,621,0,7,,,BellBl00
Michael Bennett,DT,2018,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,12,,0.5,BennMi01
Jordan Berry,P,2021,0,0,0,12,108,0,0,0,0,0,3,-11,0,0,0,0,1,,,BerrJo00
E.J. Bibbs,TE,2015,0,0,0,0,7,0,0,0,0,0,0,0,0,1,7,0,,,,BibbE.00
Angelo Blackson,DT,2021,0,0,1,20,102,0,0,0,0,0,0,0,0,0,0,0,88,1,8.5,BlacAn00
Chris Boswell,K,2021,0,1,0,21,104,1,2,2,1,0,0,0,0,0,0,0,7,,,BoswCh00
Nick Boyle,TE,2021,0,0,4,9,78,0,0,0,0,0,0,0,0,121,1049,4,3,,,BoylNi00
Quan Bray,WR,2017,0,0,0,0,24,0,0,0,0,0,1,7,0,6,75,0,,,,BrayQu00
Delvin Breaux,CB,2016,0,0,2,6,22,0,0,0,0,0,0,0,0,0,0,0,55,3,,BreaDe00
Kyle Brindza,K,2015,0,0,0,-2,4,0,0,0,0,0,0,0,0,0,0,0,,,,BrinKy00
Cariel Brooks,CB,2015,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,,,BrooCa00
Daniel Brown,TE,2021,0,0,0,2,86,0,0,0,0,0,0,0,0,46,449,2,10,,,BrowDa04
Jamon Brown,OT,2020,0,0,3,21,62,0,0,0,0,0,0,0,0,0,0,0,,,,BrowJa04
Malcolm Brown,RB,2021,0,0,0,9,77,0,0,0,0,0,331,1313,12,46,337,1,7,,,BrowMa03
Malcom Brown,DT,2021,0,0,6,43,106,0,0,0,0,0,0,0,0,0,0,0,160,,13.5,BrowMa01
Trent Brown,OT,2021,0,1,4,32,72,0,0,0,0,0,0,0,0,0,0,0,,,,BrowTr02
Michael Burton,FB,2021,0,0,1,0,96,0,0,0,0,0,23,55,1,16,112,1,9,,,BurtMi00
Tyreek Burwell,T,2017,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,,,,BurwTy00
Bryce Callahan,CB,2021,0,0,2,17,66,0,0,0,0,0,0,0,0,0,0,0,171,6,5.0,CallBr00
Ibraheim Campbell,SS,2021,0,0,1,6,60,0,0,0,0,0,0,0,0,0,0,0,85,,,CampIb00
A.J. Cann,OG,2021,0,0,6,35,95,0,0,0,0,0,0,0,0,0,0,0,,,,CannA.00
Joe Cardona,LS,2021,0,0,0,6,113,0,0,0,0,0,0,0,0,0,0,0,8,,,CardJo00
Anthony Chickillo,DE,2020,0,0,1,10,76,0,0,0,0,0,0,0,0,0,0,0,66,,8.5,ChicAn00
Frank Clark,DE,2021,0,3,5,45,105,0,0,0,0,0,0,0,0,0,0,0,155,2,53.5,ClarFr01
Kaelin Clay,WR,2018,0,0,0,3,22,0,0,0,0,0,3,27,0,6,85,0,1,,,ClayKa00
T.J. Clemmings,OT,2018,0,0,2,15,41,0,0,0,0,0,0,0,0,0,0,0,,,,ClemT.00
Sammie Coates,WR,2018,0,0,0,4,44,0,0,0,0,0,4,14,0,29,528,2,8,,,CoatSa00
David Cobb,RB,2015,0,0,0,1,7,0,0,0,0,0,52,146,1,1,-2,0,,,,CobbDa00
Justin Coleman,CB,2021,0,0,1,14,95,0,0,0,0,0,0,0,0,0,0,0,187,6,2.0,ColeJu01
Tevin Coleman,RB,2021,0,0,2,33,89,0,0,0,0,0,777,3293,24,128,1273,12,2,,,ColeTe01
Jalen Collins,CB,2016,0,0,0,4,24,0,0,0,0,0,0,0,0,0,0,0,45,2,,CollJa02
La'el Collins,OT,2021,0,0,4,30,74,0,0,0,0,0,0,0,0,0,0,0,,,,CollLa01
Landon Collins,SS,2021,1,3,6,41,94,0,0,0,0,0,0,0,0,0,0,0,482,11,10.0,CollLa00
Chris Conley,WR,2021,0,0,3,21,100,0,0,0,0,0,1,3,0,213,2807,15,4,,,ConlCh00
Travis Coons,K,2017,0,0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,2,,,CoonTr00
Amari Cooper,WR,2021,0,4,7,50,108,0,0,0,0,0,14,41,0,517,7076,46,,,,CoopAm00
Xavier Cooper,DT,2017,0,0,0,4,40,0,0,0,0,0,0,0,0,0,0,0,29,,3.0,CoopXa00
Christian Covington,DT,2021,0,0,1,20,98,0,0,0,0,0,0,0,0,0,0,0,103,,9.5,CoviCh00
John Crockett,RB,2015,0,0,0,0,2,0,0,0,0,0,9,21,0,0,0,0,,,,CrocJo00
Jamison Crowder,WR,2021,0,0,4,31,96,1,2,43,1,0,17,82,0,409,4607,28,2,,,CrowJa00
Yannick Cudjoe-Virgil,LB,2015,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,,CudjYa00
Ronald Darby,CB,2021,0,0,7,29,84,0,0,0,0,0,0,0,0,0,0,0,309,8,,DarbRo00
Matt Darr,P,2018,0,0,0,5,37,0,0,0,0,0,1,0,0,0,0,0,3,,,DarrMa00
Carl Davis,DT,2021,0,0,1,11,56,0,0,0,0,0,0,0,0,0,0,0,32,,1.5,DaviCa01
Geremy Davis,WR,2019,0,0,0,0,36,0,0,0,0,0,0,0,0,5,59,0,11,,,DaviGe00
Mike Davis,RB,2021,0,0,2,20,79,0,0,0,0,0,550,2034,14,169,1062,4,3,,,DaviMi01
Tyeler Davison,DT,2021,0,0,6,31,105,0,0,0,0,0,0,0,0,0,0,0,100,,5.0,DaviTy01
Paul Dawson,OLB,2017,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,10,,,DawsPa00
Ryan Delaire,DE,2018,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,10,,3.5,DelaRy00
Quandre Diggs,CB,2021,0,2,3,32,103,0,0,0,0,0,0,0,0,0,0,0,315,19,1.0,DiggQu00
Stefon Diggs,WR,2021,1,2,7,63,103,0,1,0,0,0,30,160,0,595,7383,48,2,,,DiggSt00
Andrew Donnal,OT,2019,0,0,0,4,31,0,0,0,0,0,0,0,0,0,0,0,,,,DonnAn00
Phillip Dorsett,WR,2021,0,0,0,15,77,0,0,0,0,0,14,84,0,131,1744,11,,,,DorsPh00
Lorenzo Doss,CB,2018,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,6,,,DossLo00
Jamil Douglas,OG,2021,0,0,0,7,50,0,0,0,0,0,0,0,0,0,0,0,1,,,DougJa00
Kurtis Drummond,S,2017,0,0,0,2,24,0,0,0,0,0,0,0,0,0,0,0,28,,1.0,DrumKu01
Quinton Dunbar,CB,2020,0,0,1,13,64,0,0,0,0,0,0,0,0,1,31,0,158,10,1.0,DunbQu00
Bud Dupree,DE,2021,0,0,4,33,92,0,0,0,0,0,0,0,0,0,0,0,182,1,42.5,DuprAl00
Donteea Dye,WR,2016,0,0,0,1,11,0,0,0,0,0,0,0,0,11,132,1,3,,,DyexDo00
Nick Dzubnar,LB,2021,0,0,0,5,98,0,0,0,0,0,0,0,0,0,0,0,52,,,DzubNi00
Ben Edwards,WR,2015,0,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,,,,EdwaBe00
