Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,HOU,Jadeveon Clowney,DE,21,2021,0,3,7,51,39,97,0,0,0,0,0,0,0,0,0,0,0,210,1,41.0,South Carolina,College Stats,ClowJa00
1,2,STL,Greg Robinson,T,21,2019,0,0,5,24,13,83,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats,RobiGr01
1,3,JAX,Blake Bortles,QB,22,2019,0,0,5,44,44,78,1562,2634,17649,103,75,283,1766,8,1,20,1,,,,Central Florida,College Stats,BortBl00
1,4,BUF,Sammy Watkins,WR,21,2021,0,0,6,42,21,99,0,1,0,0,1,11,76,0,348,5059,34,,,,Clemson,College Stats,WatkSa00
1,5,OAK,Khalil Mack,LB,23,2021,3,6,7,82,42,117,0,0,0,0,0,0,0,0,0,0,0,352,3,76.5,Buffalo,College Stats,MackKh00
1,6,ATL,Jake Matthews,T,22,2021,0,1,8,60,60,128,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,MattJa00
1,7,TAM,Mike Evans,WR,21,2021,0,4,8,62,62,122,0,0,0,0,0,1,10,0,606,9301,75,1,,,Texas A&M,College Stats,EvanMi00
1,8,CLE,Justin Gilbert,DB,22,2016,0,0,0,4,3,35,0,0,0,0,0,0,0,0,0,0,0,36,1,,Oklahoma St.,College Stats,GilbJu00
1,9,MIN,Anthony Barr,LB,22,2021,0,4,6,52,52,98,0,0,0,0,0,0,0,0,0,0,0,335,5,17.5,UCLA,College Stats,BarrAn00
1,10,DET,Eric Ebron,TE,21,2021,0,1,4,29,15,106,0,1,0,0,0,5,-6,3,351,3837,33,,,,North Carolina,College Stats,EbroEr00
1,11,TEN,Taylor Lewan,T,23,2021,0,3,7,47,47,103,0,0,0,0,0,0,0,0,1,10,1,,,,Michigan,College Stats,LewaTa00
1,12,NYG,Odell Beckham Jr.,WR,21,2021,0,3,6,51,41,96,4,6,144,2,0,23,170,1,531,7367,56,3,,,LSU,College Stats,BeckOd00
1,13,STL,Aaron Donald,DT,23,2021,7,8,8,110,110,127,0,0,0,0,0,0,0,0,0,0,0,285,,98.0,Pittsburgh,College Stats,DonaAa00
1,14,CHI,Kyle Fuller,DB,22,2021,1,2,5,48,45,112,0,0,0,0,0,0,0,0,0,0,0,368,19,,Virginia Tech,College Stats,FullKy00
1,15,PIT,Ryan Shazier,LB,22,2017,0,2,3,27,27,46,0,0,0,0,0,0,0,0,0,0,0,202,7,7.0,Ohio St.,College Stats,ShazRy00
1,16,DAL,Zack Martin,G,23,2021,5,7,8,84,84,120,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,MartZa00
1,17,BAL,C.J. Mosley,LB,22,2021,0,4,6,65,59,95,0,0,0,0,0,0,0,0,0,0,0,494,10,10.5,Alabama,College Stats,MoslC.00
1,18,NYJ,Calvin Pryor,DB,22,2017,0,0,3,13,13,46,0,0,0,0,0,0,0,0,0,0,0,132,2,0.5,Louisville,College Stats,PryoCa00
1,19,MIA,Ja'Wuan James,T,22,2019,0,0,4,27,26,65,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,College Stats,JameJa01
1,20,NOR,Brandin Cooks,WR,20,2021,0,0,8,63,21,119,0,0,0,0,0,48,302,2,573,7917,46,,,,Oregon St.,College Stats,CookBr00
1,21,GNB,Ha Ha Clinton-Dix,DB,21,2021,0,1,6,34,24,98,0,0,0,0,0,0,0,0,0,0,0,417,16,5.5,Alabama,College Stats,ClinHa00
1,22,CLE,Johnny Manziel,QB,21,2015,0,0,0,4,4,14,147,258,1675,7,7,46,259,1,0,0,0,,,,Texas A&M,College Stats,ManzJo00
