Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,HOU,David Carr,QB,23,2012,0,0,5,45,42,94,1353,2267,14452,65,71,305,1328,9,0,0,0,,,,Fresno St.,College Stats,CarrDa00
1,2,CAR,Julius Peppers,DE,22,2018,3,9,16,130,75,266,0,0,0,0,0,0,0,0,0,0,0,557,11,159.5,North Carolina,College Stats,PeppJu99
1,3,DET,Joey Harrington,QB,23,2007,0,0,6,31,23,81,1424,2538,14693,79,85,142,402,0,3,8,0,,,,Oregon,College Stats,HarrJo00
1,4,BUF,Mike Williams,T,22,2009,0,0,4,24,21,59,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats,WillMi22
1,5,SDG,Quentin Jammer,DB,23,2013,0,0,10,52,51,183,0,0,0,0,0,0,0,0,0,0,0,631,21,,Texas,College Stats,JammQu20
1,6,KAN,Ryan Sims,DT,22,2010,0,0,3,22,14,105,0,0,0,0,0,0,0,0,0,0,0,115,1,8.5,North Carolina,,SimsRy20
1,7,MIN,Bryant McKinnie,T,22,2013,0,1,11,64,52,179,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),College Stats,McKiBr21
1,8,DAL,Roy Williams,DB,22,2010,1,5,7,59,54,114,0,0,0,0,0,0,0,0,0,0,0,473,20,7.5,Oklahoma,College Stats,WillRo03
1,9,JAX,John Henderson,DT,23,2011,0,2,8,64,62,146,0,0,0,0,0,0,0,0,0,0,0,382,,29.0,Tennessee,College Stats,HendJo99
1,10,CIN,Levi Jones,T,23,2009,0,0,7,42,39,103,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona St.,,JoneLe23
1,11,IND,Dwight Freeney,DE,22,2017,3,7,11,81,77,218,0,0,0,0,0,0,0,0,0,0,0,299,,125.5,Syracuse,College Stats,FreeDw00
1,12,ARI,Wendell Bryant,DT,21,2004,0,0,0,4,4,29,0,0,0,0,0,0,0,0,0,0,0,33,,1.5,Wisconsin,,BryaWe20
1,13,NOR,Donte' Stallworth,WR,21,2012,0,0,4,39,22,115,0,0,0,0,0,20,98,0,321,4837,35,2,,,Tennessee,College Stats,StalDo00
1,14,NYG,Jeremy Shockey,TE,22,2011,1,4,10,48,35,136,0,0,0,0,0,1,6,0,547,6143,37,,,,Miami (FL),College Stats,ShocJe00
1,15,TEN,Albert Haynesworth,DT,21,2011,2,2,7,55,48,123,0,0,0,0,0,0,0,0,0,0,0,262,,30.5,Tennessee,,HaynAl20
1,16,CLE,William Green,RB,22,2005,0,0,3,14,14,46,0,0,0,0,0,568,2109,9,45,277,0,1,,,Boston Col.,College Stats,GreeWi01
1,17,OAK,Phillip Buchanon,DB,21,2011,0,0,5,34,15,122,0,0,0,0,0,0,0,0,0,0,0,350,20,1.0,Miami (FL),College Stats,BuchPh20
1,18,ATL,T.J. Duckett,RB,21,2008,0,0,1,22,18,93,0,1,0,0,0,717,2814,44,35,303,0,,,,Michigan St.,College Stats,DuckT.00
1,19,DEN,Ashley Lelie,WR,22,2008,0,0,4,35,30,107,0,0,0,0,0,20,172,0,217,3749,15,,,,Hawaii,College Stats,LeliAs00
1,20,GNB,Javon Walker,WR,23,2009,0,1,3,40,25,83,0,0,0,0,0,14,132,1,267,4011,31,1,,,Florida St.,College Stats,WalkJa00
