Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,KAN,Eric Fisher,T,22,2021,0,2,8,62,56,132,0,0,0,0,0,0,0,0,1,-3,1,,,,Central Michigan,,FishEr00
1,2,JAX,Luke Joeckel,T,21,2017,0,0,3,21,16,50,0,0,0,0,0,0,0,0,0,0,0,1,,,Texas A&M,College Stats,JoecLu00
1,3,MIA,Dion Jordan,DE,23,2020,0,0,0,9,3,63,0,0,0,0,0,0,0,0,0,0,0,82,,13.5,Oregon,College Stats,JordDi00
1,4,PHI,Lane Johnson,T,23,2021,1,3,8,58,58,112,0,0,0,0,0,0,0,0,1,5,1,,,,Oklahoma,College Stats,JohnLa01
1,5,DET,Ezekiel Ansah,DE,24,2020,0,1,5,39,37,93,0,0,0,0,0,0,0,0,0,0,0,174,,50.5,BYU,College Stats,AnsaEz00
1,6,CLE,Barkevious Mingo,LB,22,2020,0,0,2,24,10,126,0,0,0,0,0,1,11,0,0,0,0,179,1,12.5,LSU,College Stats,MingBa00
1,7,ARI,Jonathan Cooper,G,23,2018,0,0,2,16,7,46,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina,College Stats,CoopJo01
1,8,STL,Tavon Austin,WR,23,2021,0,0,4,26,22,113,0,1,0,0,0,199,1361,10,244,2239,16,3,,,West Virginia,College Stats,AustTa00
1,9,NYJ,Dee Milliner,DB,21,2015,0,0,1,6,6,21,0,0,0,0,0,0,0,0,0,0,0,50,3,,Alabama,College Stats,MillDe00
1,10,TEN,Chance Warmack,G,21,2018,0,0,3,22,20,68,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,WarmCh00
1,11,SDG,D.J. Fluker,T,22,2020,0,0,7,43,29,108,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,FlukDJ00
1,12,OAK,D.J. Hayden,DB,23,2021,0,0,2,16,8,92,0,0,0,0,0,0,0,0,0,0,0,282,4,4.5,Houston,College Stats,HaydDJ00
1,13,NYJ,Sheldon Richardson,DT,22,2021,0,1,8,61,32,138,0,0,0,0,0,4,4,2,0,0,0,297,1,33.5,Missouri,College Stats,RichSh00
1,14,CAR,Star Lotulelei,DT,23,2021,0,0,7,48,28,119,0,0,0,0,0,0,0,0,0,0,0,116,1,16.5,Utah,College Stats,LotuSt00
1,15,NOR,Kenny Vaccaro,DB,22,2020,0,0,7,34,20,110,0,0,0,0,0,0,0,0,0,0,0,437,10,11.5,Texas,College Stats,VaccKe00
1,16,BUF,EJ Manuel,QB,23,2017,0,0,1,10,10,30,343,590,3767,20,16,96,339,4,0,0,0,,,,Florida St.,College Stats,ManuEJ00
1,17,PIT,Jarvis Jones,LB,23,2016,0,0,1,17,17,50,0,0,0,0,0,0,0,0,0,0,0,84,2,6.0,Georgia,College Stats,JoneJa05
1,18,SFO,Eric Reid,DB,21,2019,0,1,7,33,26,99,0,0,0,0,0,0,0,0,0,0,0,404,11,6.0,LSU,College Stats,ReidEr00
1,19,NYG,Justin Pugh,T,23,2021,0,0,9,44,22,115,0,0,0,0,0,0,0,0,0,0,0,2,,,Syracuse,College Stats,PughJu00
1,20,CHI,Kyle Long,G,24,2019,0,3,6,40,40,77,0,0,0,0,0,0,0,0,1,-1,0,,,,Oregon,,LongKy00
1,21,CIN,Tyler Eifert,TE,22,2020,0,1,2,19,17,74,0,0,0,0,0,0,0,0,221,2501,26,,,,Notre Dame,College Stats,EifeTy00
1,22,ATL,Desmond Trufant,DB,22,2021,0,1,8,36,35,113,0,0,0,0,0,0,0,0,0,0,0,302,14,6.0,Washington,College Stats,TrufDe00
1,23,MIN,Sharrif Floyd,DT,21,2016,0,0,2,13,13,44,0,0,0,0,0,0,0,0,0,0,0,57,,9.5,Florida,College Stats,FloySh00
1,24,IND,Bjoern Werner,DE,23,2015,0,0,1,10,10,38,0,0,0,0,0,0,0,0,0,0,0,58,,6.5,Florida St.,College Stats,WernBj00
1,25,MIN,Xavier Rhodes,DB,23,2021,1,3,8,48,42,133,0,0,0,0,0,0,0,0,0,0,0,385,13,,Florida St.,College Stats,RhodXa00
1,26,GNB,Datone Jones,DE,23,2020,0,0,0,10,9,68,0,0,0,0,0,0,0,0,0,0,0,64,1,10.0,UCLA,College Stats,JoneDa03
1,27,HOU,DeAndre Hopkins,WR,21,2021,3,5,8,71,56,136,1,3,6,1,1,4,12,0,789,10581,68,,,,Clemson,College Stats,HopkDe00
1,28,DEN,Sylvester Williams,DT,24,2020,0,0,4,29,22,102,0,0,0,0,0,0,0,0,0,0,0,93,,5.5,North Carolina,College Stats,WillSy00
1,29,MIN,Cordarrelle Patterson,WR,22,2021,4,4,3,35,17,143,0,1,0,0,0,320,1635,14,268,2635,15,16,,,Tennessee,College Stats,PattCo00
1,30,STL,Alec Ogletree,LB,21,2021,0,0,7,52,37,111,0,0,0,0,0,0,0,0,0,0,0,531,12,7.5,Georgia,College Stats,OgleAl00
1,31,DAL,Travis Frederick,C,22,2019,1,5,6,60,60,96,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,FredTr00
1,32,BAL,Matt Elam,DB,22,2016,0,0,2,12,12,41,0,0,0,0,0,0,0,0,0,0,0,89,1,0.5,Florida,College Stats,ElamMa00
2,33,JAX,Johnathan Cyprien,DB,23,2020,0,0,5,25,21,79,0,0,0,0,0,0,0,0,0,0,0,381,2,3.0,Florida International,College Stats,CyprJo00
2,34,TEN,Justin Hunter,WR,22,2018,0,0,1,9,7,60,0,0,0,0,0,0,0,0,85,1349,13,,,,Tennessee,College Stats,HuntJu00
2,35,PHI,Zach Ertz,TE,22,2021,0,3,6,41,42,134,0,0,0,0,0,1,4,0,635,6841,41,,,,Stanford,College Stats,ErtzZa00
2,36,DET,Darius Slay,DB,22,2021,1,4,8,53,42,134,0,0,0,0,0,0,0,0,0,0,0,389,23,1.0,Mississippi St.,College Stats,SlayDa00
2,37,CIN,Giovani Bernard,RB,21,2021,0,0,2,42,41,127,0,0,0,0,0,929,3755,22,365,2990,14,1,,,North Carolina,College Stats,BernGi00
2,38,SDG,Manti Te'o,LB,22,2020,0,0,4,20,14,62,0,0,0,0,0,0,0,0,0,0,0,212,2,1.5,Notre Dame,College Stats,TeoxMa00
2,39,NYJ,Geno Smith,QB,22,2021,0,0,2,17,15,45,592,1006,6917,34,37,158,701,8,1,13,0,,,,West Virginia,College Stats,SmitGe00
2,40,SFO,Tank Carradine,DE,23,2019,0,0,0,7,7,46,0,0,0,0,0,0,0,0,0,0,0,56,,5.5,Florida St.,College Stats,CarrCo00
2,41,BUF,Robert Woods,WR,21,2021,0,0,8,54,15,125,0,0,0,0,0,74,507,5,570,7077,35,7,,,USC,College Stats,WoodRo02
2,42,OAK,Menelik Watson,T,24,2017,0,0,2,9,7,34,0,0,0,0,0,0,0,0,0,0,0,,,,Florida St.,,WatsMe00
2,43,TAM,Johnthan Banks,DB,23,2017,0,0,2,11,11,57,0,0,0,0,0,0,0,0,0,0,0,121,7,,Mississippi St.,College Stats,BankJo00
2,44,CAR,Kawann Short,DT,24,2020,0,2,5,41,41,99,0,0,0,0,0,0,0,0,0,0,0,167,,32.5,Purdue,College Stats,ShorKa00
2,45,ARI,Kevin Minter,LB,22,2021,0,0,3,27,19,123,0,0,0,0,0,0,0,0,0,0,0,255,,7.0,LSU,College Stats,MintKe00
2,46,BUF,Kiko Alonso,LB,23,2019,0,0,4,33,10,86,0,0,0,0,0,0,0,0,0,0,0,369,10,3.0,Oregon,College Stats,AlonKi00
2,47,DAL,Gavin Escobar,TE,22,2017,0,0,0,2,2,64,0,0,0,0,0,0,0,0,30,333,8,5,,,San Diego St.,College Stats,EscoGa00
2,48,PIT,Le'Veon Bell,RB,21,2021,2,3,5,61,55,96,0,1,0,0,0,1595,6554,42,399,3289,9,,,,Michigan St.,College Stats,BellLe00
2,49,NYG,Johnathan Hankins,DT,21,2021,0,0,8,42,17,128,0,0,0,0,0,0,0,0,0,0,0,204,,14.5,Ohio St.,College Stats,HankJo00
2,50,CHI,Jonathan Bostic,LB,22,2021,0,0,5,34,5,106,0,0,0,0,0,0,0,0,0,0,0,337,3,9.5,Florida,College Stats,BostJo00
2,51,WAS,David Amerson,DB,21,2018,0,0,4,20,7,74,0,0,0,0,0,0,0,0,0,0,0,234,9,,North Carolina St.,College Stats,AmerDa00
2,52,NWE,Jamie Collins,LB,23,2021,0,1,7,56,41,122,0,0,0,0,0,0,0,0,0,0,0,453,12,26.5,Southern Miss,College Stats,CollJa00
2,53,CIN,Margus Hunt,DE,26,2021,0,0,1,18,4,114,0,0,0,0,0,0,0,0,0,0,0,84,,8.5,SMU,College Stats,HuntMa00
2,54,MIA,Jamar Taylor,DB,22,2020,0,0,2,18,4,98,0,0,0,0,0,0,0,0,0,0,0,216,5,1.5,Boise St.,College Stats,TaylJa01
2,55,SFO,Vance McDonald,TE,23,2020,0,0,6,14,5,101,0,0,0,0,0,1,2,0,181,2036,15,6,,,Rice,College Stats,McDoVa00
2,56,BAL,Arthur Brown,LB,20,2016,0,0,0,3,2,48,0,0,0,0,0,0,0,0,0,0,0,16,,0.5,Kansas St.,College Stats,BrowAr00
2,57,HOU,D.J. Swearinger,DB,22,2020,0,0,5,28,8,110,0,0,0,0,0,0,0,0,0,0,0,327,14,4.5,South Carolina,College Stats,SweaDJ00
2,58,DEN,Montee Ball,RB,22,2014,0,0,0,7,7,21,0,0,0,0,0,175,731,5,29,207,0,6,,,Wisconsin,College Stats,BallMo00
2,59,NWE,Aaron Dobson,WR,22,2015,0,0,1,6,6,24,0,0,0,0,0,0,0,0,53,698,4,,,,Marshall,College Stats,DobsAa00
2,60,ATL,Robert Alford,DB,24,2021,0,0,5,26,24,101,0,0,0,0,0,0,0,0,0,0,0,280,11,,Southeastern Louisiana,,AlfoRo00
2,61,GNB,Eddie Lacy,RB,23,2017,0,1,3,36,34,60,0,0,0,0,0,857,3614,23,107,947,6,,,,Alabama,College Stats,LacyEd00
2,62,SEA,Christine Michael,RB,22,2018,0,0,1,9,8,38,0,0,0,0,0,256,1089,7,26,135,1,,,,Texas A&M,College Stats,MichCh00
3,63,KAN,Travis Kelce,TE,23,2021,3,7,8,74,74,127,1,3,4,0,1,6,9,2,704,9006,57,,,,Cincinnati,College Stats,KelcTr00
3,64,JAX,Dwayne Gratz,DB,23,2016,0,0,1,10,10,43,0,0,0,0,0,0,0,0,0,0,0,91,3,,Connecticut,College Stats,GratDw00
3,65,DET,Larry Warford,G,22,2019,0,3,7,52,22,101,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,College Stats,WarfLa00
3,66,OAK,Sio Moore,LB,23,2016,0,0,2,14,9,47,0,0,0,0,0,0,0,0,0,0,0,164,,7.5,Connecticut,College Stats,MoorSi00
3,67,PHI,Bennie Logan,DT,23,2018,0,0,5,28,22,89,0,0,0,0,0,0,0,0,0,0,0,161,,7.0,LSU,College Stats,LogaBe00
3,68,CLE,Leon McFadden,DB,22,2016,0,0,0,2,1,34,0,0,0,0,0,0,0,0,0,0,0,25,,,San Diego St.,College Stats,McFaLe00
3,69,ARI,Tyrann Mathieu,DB,21,2021,3,3,8,55,24,129,0,0,0,0,0,0,0,0,0,0,0,524,26,10.0,LSU,College Stats,MathTy00
3,70,TEN,Blidi Wreh-Wilson,DB,23,2021,0,0,1,8,6,76,0,0,0,0,0,0,0,0,0,0,0,109,4,,Connecticut,College Stats,WrehBl00
3,71,STL,T.J. McDonald,DB,22,2018,0,0,6,24,17,75,0,0,0,0,0,0,0,0,0,0,0,312,8,5.0,USC,College Stats,McDoTJ00
3,72,NYJ,Brian Winters,G,22,2021,0,0,7,31,27,107,0,0,0,0,0,0,0,0,0,0,0,,,,Kent St.,,WintBr00
3,73,TAM,Mike Glennon,QB,23,2021,0,0,1,9,11,40,689,1147,7025,47,35,56,140,1,0,0,0,1,,,North Carolina St.,College Stats,GlenMi00
3,74,DAL,Terrance Williams,WR,23,2018,0,0,4,27,27,83,0,0,0,0,0,5,19,0,232,3377,20,,,,Baylor,College Stats,WillTe01
3,75,NOR,Terron Armstead,T,22,2021,0,3,7,53,53,97,0,0,0,0,0,0,0,0,0,0,0,,,,Ark-Pine Bluff,,ArmsTe00
3,76,SDG,Keenan Allen,WR,21,2021,0,5,8,63,63,116,0,2,0,0,0,15,99,0,730,8535,48,3,1,,California,College Stats,AlleKe00
3,77,MIA,Dallas Thomas,T,23,2016,0,0,1,13,13,37,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee,,ThomDa04
3,78,BUF,Marquise Goodwin,WR,22,2021,0,0,3,20,5,89,0,0,0,0,0,17,88,0,160,2636,14,,,,Texas,College Stats,GoodMa00
3,79,PIT,Markus Wheaton,WR,22,2018,0,0,2,13,13,59,0,0,0,0,0,4,19,0,110,1559,8,6,,,Oregon St.,College Stats,WheaMa00
3,80,DAL,J.J. Wilcox,DB,22,2018,0,0,2,16,15,77,0,0,0,0,0,0,0,0,0,0,0,173,6,,Georgia Southern,,WilcJ.00
3,81,NYG,Damontre Moore,DE,20,2020,0,0,0,5,4,66,0,0,0,0,0,0,0,0,0,0,0,69,,11.0,Texas A&M,College Stats,MoorDa01
3,82,NOR,John Jenkins,DT,24,2021,0,0,1,14,10,100,0,0,0,0,0,0,0,0,0,0,0,104,,2.5,Georgia,College Stats,JenkJo00
3,83,NWE,Logan Ryan,DB,22,2021,0,0,7,39,14,140,0,0,0,0,0,0,0,0,0,0,0,512,18,13.0,Rutgers,College Stats,RyanLo00
3,84,CIN,Shawn Williams,DB,22,2021,0,0,4,25,24,125,0,0,0,0,0,2,46,0,0,0,0,318,12,3.0,Georgia,College Stats,WillSh02
3,85,WAS,Jordan Reed,TE,23,2020,0,1,3,25,24,75,0,0,0,0,0,1,18,0,355,3602,28,,,,Florida,College Stats,ReedJo02
3,86,IND,Hugh Thornton,G,22,2015,0,0,3,16,16,37,0,0,0,0,0,0,0,0,0,0,0,,,,Illinois,College Stats,ThorHu00
3,87,SEA,Jordan Hill,DT,22,2016,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,31,1,7.0,Penn St.,College Stats,HillJo01
