Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,HOU,Mario Williams,DE,21,2016,1,4,9,79,36,158,0,0,0,0,0,0,0,0,0,0,0,317,,97.5,North Carolina St.,College Stats,WillMa22
1,2,NOR,Reggie Bush,RB,21,2016,0,0,8,61,34,134,0,1,0,0,1,1286,5490,36,477,3598,18,,,,USC,College Stats,BushRe00
1,3,TEN,Vince Young,QB,23,2011,0,2,4,33,31,60,755,1304,8964,46,51,282,1459,12,0,0,0,,,,Texas,College Stats,YounVi00
1,4,NYJ,D'Brickashaw Ferguson,T,22,2015,0,3,10,58,58,160,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,,FergDB20
1,5,GNB,A.J. Hawk,LB,22,2016,0,0,10,55,52,159,0,0,0,0,0,0,0,0,0,0,0,645,9,20.0,Ohio St.,College Stats,HawkA.20
1,6,SFO,Vernon Davis,TE,22,2019,0,2,11,51,42,198,0,0,0,0,0,6,15,0,583,7562,63,,,,Maryland,College Stats,DaviVe00
1,7,OAK,Michael Huff,DB,23,2013,0,0,6,33,33,118,0,0,0,0,0,0,0,0,0,0,0,371,11,5.5,Texas,College Stats,HuffMi20
1,8,BUF,Donte Whitner,DB,21,2016,0,2,10,47,19,157,0,0,0,0,0,0,0,0,0,0,0,668,11,3.0,Ohio St.,College Stats,WhitDo20
1,9,DET,Ernie Sims,LB,21,2013,0,0,4,29,18,109,0,0,0,0,0,0,0,0,0,0,0,420,1,5.5,Florida St.,College Stats,SimsEr20
1,10,ARI,Matt Leinart,QB,23,2012,0,0,1,12,12,33,366,641,4065,15,21,47,89,2,0,0,0,,,,USC,College Stats,LeinMa00
1,11,DEN,Jay Cutler,QB,23,2017,0,1,10,86,28,153,3048,4920,35133,227,160,386,1682,9,0,0,0,1,,,Vanderbilt,College Stats,CutlJa00
