Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CAR,Cam Newton,QB,22,2021,1,3,9,115,107,148,2682,4474,32382,194,123,1118,5628,75,3,68,1,,,,Auburn,College Stats,NewtCa00
1,2,DEN,Von Miller,LB,22,2021,3,8,9,97,99,150,0,0,0,0,0,0,0,0,0,0,0,413,2,115.5,Texas A&M,College Stats,MillVo00
1,3,BUF,Marcell Dareus,DT,21,2019,1,2,7,56,47,121,0,0,0,0,0,0,0,0,0,0,0,255,,37.5,Alabama,College Stats,DareMa00
1,4,CIN,A.J. Green,WR,23,2021,0,7,9,76,71,143,0,0,0,0,0,11,93,0,703,10278,68,,,,Georgia,College Stats,GreeA.00
1,5,ARI,Patrick Peterson,DB,21,2021,3,8,11,98,95,167,1,1,17,0,0,7,34,0,10,64,0,481,29,4.0,LSU,College Stats,PetePa00
1,6,ATL,Julio Jones,WR,22,2021,2,7,9,99,97,145,0,0,0,0,0,19,118,0,879,13330,61,1,,,Alabama,College Stats,JoneJu02
1,7,SFO,Aldon Smith,DE,21,2020,1,1,4,34,24,75,0,0,0,0,0,0,0,0,0,0,0,172,1,52.5,Missouri,College Stats,SmitAl04
1,8,TEN,Jake Locker,QB,23,2014,0,0,1,15,15,30,408,709,4967,27,22,95,644,5,0,0,0,,,,Washington,College Stats,LockJa00
1,9,DAL,Tyron Smith,T,20,2021,2,8,10,81,81,144,0,0,0,0,0,0,0,0,0,0,0,1,,,USC,College Stats,SmitTy00
1,10,JAX,Blaine Gabbert,QB,21,2021,0,0,2,16,7,66,858,1525,9273,50,47,195,640,3,1,-16,0,,,,Missouri,College Stats,GabbBl00
1,11,HOU,J.J. Watt,DE,22,2021,5,5,9,107,105,135,0,0,0,0,0,0,0,0,3,4,3,419,2,102.0,Wisconsin,College Stats,WattJ.00
1,12,MIN,Christian Ponder,QB,23,2014,0,0,3,22,22,38,632,1057,6658,38,36,126,639,7,1,-15,0,1,,,Florida St.,College Stats,PondCh00
1,13,DET,Nick Fairley,DT,23,2016,0,0,4,23,16,77,0,0,0,0,0,0,0,0,0,0,0,114,,20.5,Auburn,College Stats,FairNi00
1,14,STL,Robert Quinn,DE,21,2021,1,3,9,68,43,156,0,0,0,0,0,0,0,0,0,0,0,278,,101.0,North Carolina,College Stats,QuinRo00
1,15,MIA,Mike Pouncey,G,22,2019,0,4,7,52,40,114,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,PounMi00
1,16,WAS,Ryan Kerrigan,DE,23,2021,0,4,9,63,62,172,0,0,0,0,0,0,0,0,0,0,0,333,3,95.5,Purdue,College Stats,KerrRy00
1,17,NWE,Nate Solder,T,23,2021,0,0,9,64,49,146,0,0,0,0,0,0,0,0,0,0,0,3,,,Colorado,College Stats,SoldNa00
1,18,SDG,Corey Liuget,DT,21,2020,0,0,7,42,41,124,0,0,0,0,0,0,0,0,0,0,0,219,,26.0,Illinois,College Stats,LiugCo00
1,19,NYG,Prince Amukamara,DB,22,2019,0,0,8,36,15,113,0,0,0,0,0,0,0,0,0,0,0,417,10,,Nebraska,College Stats,AmukPr00
1,20,TAM,Adrian Clayborn,DE,23,2020,0,0,2,26,12,125,0,0,0,0,0,0,0,0,0,0,0,151,,40.0,Iowa,College Stats,ClayAd00
1,21,CLE,Phil Taylor,DT,23,2014,0,0,2,19,19,44,0,0,0,0,0,0,0,0,0,0,0,69,,7.0,Baylor,College Stats,TaylPh00
1,22,IND,Anthony Castonzo,T,23,2020,0,0,10,58,58,144,0,0,0,0,0,0,0,0,1,1,1,,,,Boston Col.,College Stats,CastAn00
1,23,PHI,Danny Watkins,G,26,2013,0,0,1,9,9,24,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,WatkDa00
1,24,NOR,Cameron Jordan,DE,22,2021,1,7,11,92,92,176,0,0,0,0,0,0,0,0,0,0,0,384,2,107.0,California,College Stats,JordCa00
1,25,SEA,James Carpenter,T,22,2021,0,0,10,48,17,132,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats,CarpJa00
1,26,KAN,Jonathan Baldwin,WR,22,2013,0,0,1,4,4,33,0,0,0,0,0,0,0,0,44,607,2,,,,Pittsburgh,College Stats,BaldJo00
1,27,BAL,Jimmy Smith,DB,23,2021,0,0,5,33,33,128,0,0,0,0,0,0,0,0,0,0,0,324,14,3.0,Colorado,College Stats,SmitJi03
1,28,NOR,Mark Ingram,RB,21,2021,0,3,5,62,51,146,0,0,0,0,0,1755,7878,64,287,2057,10,2,,,Alabama,College Stats,IngrMa01
1,29,CHI,Gabe Carimi,T,23,2014,0,0,1,12,7,48,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,CariGa00
1,30,NYJ,Muhammad Wilkerson,DT,21,2018,0,1,7,58,58,108,0,0,0,0,0,0,0,0,0,0,0,245,2,44.5,Temple,College Stats,WilkMu00
1,31,PIT,Cameron Heyward,DE,22,2021,3,5,9,89,89,166,0,0,0,0,0,0,0,0,0,0,0,340,2,68.0,Ohio St.,College Stats,HeywCa01
1,32,GNB,Derek Sherrod,T,22,2014,0,0,0,3,3,20,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,SherDe00
