Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,ARI,Kyler Murray,QB,22,2021,0,2,3,44,44,46,1057,1581,11480,70,34,314,1786,20,0,7,0,,,,Oklahoma,College Stats,MurrKy00
1,2,SFO,Nick Bosa,DE,21,2021,0,2,2,24,24,35,0,0,0,0,0,0,0,0,0,0,0,75,1,24.5,Ohio St.,College Stats,BosaNi00
1,3,NYJ,Quinnen Williams,DT,21,2021,0,0,3,16,16,41,0,0,0,0,0,0,0,0,0,0,0,83,,15.5,Alabama,College Stats,WillQu00
1,4,OAK,Clelin Ferrell,DE,22,2021,0,0,2,11,11,42,0,0,0,0,0,0,0,0,0,0,0,50,,8.0,Clemson,College Stats,FerrCl00
1,5,TAM,Devin White,LB,21,2021,0,1,3,32,32,45,0,0,0,0,0,0,0,0,0,0,0,242,1,15.0,LSU,College Stats,WhitDe02
1,6,NYG,Daniel Jones,QB,22,2021,0,0,3,24,24,38,796,1268,8398,45,29,172,1000,5,1,16,0,,,,Duke,College Stats,JoneDa05
1,7,JAX,Josh Allen,LB,22,2021,0,1,2,15,15,40,0,0,0,0,0,0,0,0,0,0,0,84,1,20.5,Kentucky,College Stats,AlleJo03
1,8,DET,T.J. Hockenson,TE,22,2021,0,1,2,13,13,40,0,0,0,0,0,1,0,0,160,1673,12,2,,,Iowa,College Stats,HockTJ00
1,9,BUF,Ed Oliver,DT,21,2021,0,0,2,23,23,49,0,0,0,0,0,0,0,0,0,0,0,76,,12.0,Houston,College Stats,OlivEd00
1,10,PIT,Devin Bush Jr.,LB,21,2021,0,0,1,17,17,35,0,0,0,0,0,0,0,0,0,0,0,129,2,4.0,Michigan,College Stats,BushDe01
1,11,CIN,Jonah Williams,G,21,2021,0,0,2,13,13,26,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,WillJo10
1,12,GNB,Rashan Gary,LB,21,2021,0,0,1,12,12,47,0,0,0,0,0,0,0,0,0,0,0,59,,16.5,Michigan,College Stats,GaryRa00
1,13,MIA,Christian Wilkins,DT,23,2021,0,0,3,21,21,47,0,0,0,0,0,0,0,0,2,2,2,107,1,8.0,Clemson,College Stats,WilkCh00
1,14,ATL,Chris Lindstrom,G,22,2021,0,0,2,15,15,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Boston Col.,College Stats,LindCh00
1,15,WAS,Dwayne Haskins,QB,22,2020,0,0,0,4,4,16,267,444,2804,12,14,40,147,1,0,0,0,,,,Ohio St.,College Stats,HaskDw00
1,16,CAR,Brian Burns,DE,21,2021,0,1,2,19,19,48,0,0,0,0,0,0,0,0,0,0,0,85,,25.5,Florida St.,College Stats,BurnBr00
1,17,NYG,Dexter Lawrence,DT,21,2021,0,0,2,19,19,48,0,0,0,0,0,0,0,0,0,0,0,81,,9.0,Clemson,College Stats,LawrDe03
1,18,MIN,Garrett Bradbury,C,24,2021,0,0,3,19,19,45,0,0,0,0,0,0,0,0,2,17,0,,,,North Carolina St.,College Stats,BradGa00
1,19,TEN,Jeffery Simmons,DT,22,2021,0,1,3,24,24,41,0,0,0,0,0,0,0,0,0,0,0,84,,13.5,Mississippi St.,College Stats,SimmJe01
1,20,DEN,Noah Fant,TE,21,2021,0,0,3,14,14,47,0,0,0,0,0,3,-12,0,170,1905,10,2,,,Iowa,College Stats,FantNo00
1,21,GNB,Darnell Savage Jr.,S,22,2021,0,0,3,15,15,46,0,0,0,0,0,0,0,0,0,0,0,146,8,1.0,Maryland,College Stats,SavaDa00
1,22,PHI,Andre Dillard,T,23,2021,0,0,0,6,6,31,0,0,0,0,0,0,0,0,0,0,0,,,,Washington St.,College Stats,DillAn00
1,23,HOU,Tytus Howard,T,23,2021,0,0,3,17,17,37,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama St.,,HowaTy00
1,24,OAK,Josh Jacobs,RB,21,2021,0,1,3,22,22,43,0,0,0,0,0,732,3087,28,107,752,0,1,,,Alabama,College Stats,JacoJo01
1,25,BAL,Marquise Brown,WR,22,2021,0,0,2,24,24,46,0,0,0,0,0,2,6,0,195,2361,21,,,,Oklahoma,College Stats,BrowMa04
1,26,WAS,Montez Sweat,DE,23,2021,0,0,2,19,19,42,0,0,0,0,0,0,0,0,0,0,0,72,1,21.0,Mississippi St.,College Stats,SweaMo00
1,27,OAK,Johnathan Abram,S,22,2021,0,0,2,9,9,28,0,0,0,0,0,0,0,0,0,0,0,125,3,,Mississippi St.,College Stats,AbraJo01
1,28,LAC,Jerry Tillery,DT,22,2021,0,0,1,14,14,47,0,0,0,0,0,0,0,0,0,0,0,52,,9.5,Notre Dame,College Stats,TillJe00
1,29,SEA,L.J. Collier,DE,23,2021,0,0,1,8,8,37,0,0,0,0,0,0,0,0,0,0,0,21,,3.0,TCU,College Stats,CollLJ00
1,30,NYG,Deandre Baker,CB,22,2021,0,0,1,6,5,26,0,0,0,0,0,0,0,0,0,0,0,65,,1.0,Georgia,College Stats,BakeDe00
1,31,ATL,Kaleb McGary,T,24,2021,0,0,3,21,21,46,0,0,0,0,0,0,0,0,1,-3,0,,,,Washington,College Stats,McGaKa00
1,32,NWE,N'Keal Harry,WR,21,2021,0,0,1,6,6,33,0,0,0,0,0,7,49,0,57,598,4,,,,Arizona St.,College Stats,HarrNK00
2,33,ARI,Byron Murphy,CB,21,2021,0,0,2,15,15,47,0,0,0,0,0,0,0,0,0,0,0,155,5,2.5,Washington,College Stats,MurpBy00
2,34,IND,Rock Ya-Sin,CB,23,2021,0,0,0,11,11,41,0,0,0,0,0,0,0,0,0,0,0,117,2,,Temple,College Stats,Ya-SRo00
2,35,JAX,Jawaan Taylor,T,21,2021,0,0,3,19,19,49,0,0,0,0,0,0,0,0,0,0,0,,,,Florida,College Stats,TaylJa02
2,36,SFO,Deebo Samuel,WR,23,2021,1,1,2,26,26,38,1,2,24,1,0,81,550,11,167,2598,10,1,,,South Carolina,College Stats,SamuDe00
2,37,CAR,Greg Little,T,21,2020,0,0,0,3,3,14,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi,College Stats,LittGr01
2,38,BUF,Cody Ford,T,22,2021,0,0,1,13,13,38,0,0,0,0,0,0,0,0,0,0,0,1,,,Oklahoma,College Stats,FordCo00
2,39,TAM,Sean Murphy-Bunting,CB,22,2021,0,0,1,12,12,41,0,0,0,0,0,0,0,0,0,0,0,120,4,1.0,Central Michigan,College Stats,BuntSe00
2,40,OAK,Trayvon Mullen,CB,21,2021,0,0,2,10,10,37,0,0,0,0,0,0,0,0,0,0,0,115,4,,Clemson,College Stats,MullTr00
2,41,DEN,Dalton Risner,T,24,2021,0,0,3,17,17,47,0,0,0,0,0,0,0,0,0,0,0,,,,Kansas St.,College Stats,RisnDa00
2,42,DEN,Drew Lock,QB,22,2021,0,0,1,12,12,24,421,710,4740,25,20,72,285,5,1,1,0,1,,,Missouri,College Stats,LockDr00
2,43,DET,Jahlani Tavai,LB,22,2021,0,0,1,10,8,44,0,0,0,0,0,0,0,0,0,0,0,75,1,2.0,Hawaii,College Stats,TavaJa00
2,44,GNB,Elgton Jenkins,C,23,2021,0,1,2,22,22,40,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,JenkEl00
2,45,NWE,Joejuan Williams,CB,21,2021,0,0,0,3,3,36,0,0,0,0,0,0,0,0,0,0,0,31,,,Vanderbilt,College Stats,WillJo13
2,46,CLE,Greedy Williams,CB,21,2021,0,0,1,7,7,28,0,0,0,0,0,0,0,0,0,0,0,72,2,,LSU,College Stats,WillGr00
2,47,SEA,Marquise Blair,S,22,2021,0,0,0,2,2,22,0,0,0,0,0,0,0,0,0,0,0,34,,,Utah,College Stats,BlaiMa01
2,48,NOR,Erik McCoy,C,22,2021,0,0,3,19,19,44,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M,College Stats,McCoEr01
2,49,IND,Ben Banogu,LB,23,2021,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,10,,2.5,TCU,College Stats,BanoBe00
2,50,MIN,Irv Smith Jr.,TE,21,2020,0,0,0,6,6,29,0,0,0,0,0,0,0,0,66,676,7,2,,,Alabama,College Stats,SmitIr01
2,51,TEN,A.J. Brown,WR,22,2021,0,1,3,30,30,43,0,2,0,0,0,5,70,1,185,2995,24,2,,,Mississippi,College Stats,BrowAJ00
2,52,CIN,Drew Sample,TE,23,2021,0,0,1,4,4,42,0,0,0,0,0,0,0,0,56,460,1,1,,,Washington,College Stats,SampDr00
2,53,PHI,Miles Sanders,RB,22,2021,0,0,3,20,20,40,0,0,0,0,0,480,2439,9,104,864,3,,,,Penn St.,College Stats,SandMi01
2,54,HOU,Lonnie Johnson Jr.,CB,23,2021,0,0,0,8,8,44,0,0,0,0,0,0,0,0,0,0,0,128,3,,Kentucky,College Stats,JohnLo01
2,55,HOU,Max Scharping,T,23,2021,0,0,3,16,16,48,0,0,0,0,0,0,0,0,0,7,0,,,,Northern Illinois,College Stats,SchaMa01
2,56,KAN,Mecole Hardman,WR,21,2021,0,1,0,19,19,49,0,0,0,0,0,16,94,0,126,1791,12,1,,,Georgia,College Stats,HardMe00
2,57,PHI,JJ Arcega-Whiteside,WR,22,2021,0,0,0,2,2,40,0,0,0,0,0,0,0,0,16,290,1,4,,,Stanford,College Stats,ArceJJ00
2,58,DAL,Trysten Hill,DT,21,2021,0,0,0,4,4,18,0,0,0,0,0,0,0,0,0,0,0,17,,0.5,Central Florida,College Stats,HillTr00
2,59,IND,Parris Campbell,WR,22,2021,0,0,0,4,4,15,0,0,0,0,0,6,50,0,34,360,2,,,,Ohio St.,College Stats,CampPa00
2,60,LAC,Nasir Adderley,S,22,2021,0,0,2,9,9,34,0,0,0,0,0,0,0,0,0,0,0,129,1,0.5,Delaware,,AddeNa00
2,61,LAR,Taylor Rapp,S,21,2021,0,0,2,14,14,41,0,0,0,0,0,0,0,0,0,0,0,158,7,1.5,Washington,College Stats,RappTa00
2,62,ARI,Andy Isabella,WR,22,2021,0,0,0,4,4,36,0,0,0,0,0,5,9,0,31,426,3,2,,,Massachusetts,College Stats,IsabAn00
2,63,KAN,Juan Thornhill,S,23,2021,0,0,3,13,13,49,0,0,0,0,0,0,0,0,0,0,0,118,5,,Virginia,College Stats,ThorJu00
2,64,SEA,D.K. Metcalf,WR,21,2021,0,1,3,29,29,49,0,0,0,0,0,3,17,0,216,3170,29,1,,,Mississippi,College Stats,MetcDK00
3,65,ARI,Zach Allen,DE,22,2021,0,0,2,12,12,32,0,0,0,0,0,0,0,0,0,0,0,56,1,6.0,Boston Col.,College Stats,AlleZa01
3,66,PIT,Diontae Johnson,WR,23,2021,0,1,3,22,22,47,0,0,0,0,0,12,109,0,254,2764,20,,,,Toledo,College Stats,JohnDi01
3,67,SFO,Jalen Hurd,WR,23,,0,0,0,,,,,,,,,,,,,,,,,,Baylor,College Stats,HurdJa00
3,68,NYJ,Jachai Polite,LB,22,2020,0,0,0,1,,11,0,0,0,0,0,0,0,0,0,0,0,3,,1.0,Florida,College Stats,PoliJa00
3,69,JAX,Josh Oliver,TE,22,2021,0,0,0,1,0,18,0,0,0,0,0,0,0,0,12,81,0,2,,,San Jose St.,College Stats,OlivJo00
3,70,LAR,Darrell Henderson,RB,22,2021,0,0,1,11,11,40,0,0,0,0,0,326,1459,10,49,372,4,,,,Memphis,College Stats,HendDa00
3,71,DEN,Dre'Mont Jones,DT,22,2021,0,0,1,12,12,43,0,0,0,0,0,0,0,0,0,0,0,52,1,15.5,Ohio St.,College Stats,JoneDr00
3,72,CIN,Germaine Pratt,LB,23,2021,0,0,3,19,19,47,0,0,0,0,0,0,0,0,0,0,0,162,1,0.5,North Carolina St.,College Stats,PratGe00
3,73,CHI,David Montgomery,RB,22,2021,0,0,2,21,21,44,0,1,0,0,1,714,2808,21,121,924,3,,,,Iowa St.,College Stats,MontDa01
3,74,BUF,Devin Singletary,RB,22,2021,0,0,3,20,20,45,0,0,0,0,0,495,2332,11,107,691,3,1,,,Florida Atlantic,College Stats,SingDe00
3,75,GNB,Jace Sternberger,TE,23,2020,0,0,0,1,1,18,0,0,0,0,0,0,0,0,12,114,1,,,,Texas A&M,College Stats,SterJa00
3,76,WAS,Terry McLaurin,WR,23,2021,0,0,3,23,23,46,0,0,0,0,0,3,42,0,222,3090,16,2,,,Ohio St.,College Stats,McLaTe00
3,77,NWE,Chase Winovich,DE,24,2021,0,0,0,10,10,45,0,0,0,0,0,0,0,0,0,0,0,56,1,11.0,Michigan,College Stats,WinoCh00
3,78,MIA,Michael Deiter,G,23,2021,0,0,1,10,10,40,0,0,0,0,0,0,0,0,1,0,0,,,,Wisconsin,College Stats,DeitMi00
3,79,LAR,David Long,CB,21,2021,0,0,0,4,4,40,0,0,0,0,0,0,0,0,0,0,0,49,1,,Michigan,College Stats,LongDa02
3,80,CLE,Sione Takitaki,LB,24,2021,0,0,1,12,12,45,0,0,0,0,0,0,0,0,0,0,0,76,1,1.0,BYU,College Stats,TakiSi00
3,81,DET,Will Harris,S,23,2021,0,0,1,8,8,49,0,0,0,0,0,0,0,0,0,0,0,118,,1.5,Boston Col.,College Stats,HarrWi02
3,82,TEN,Nate Davis,G,22,2021,0,0,3,19,19,43,0,0,0,0,0,0,0,0,0,0,0,1,,,Charlotte,College Stats,DaviNa01
3,83,PIT,Justin Layne,CB,21,2021,0,0,0,3,3,43,0,0,0,0,0,0,0,0,0,0,0,28,,,Michigan St.,College Stats,LaynJu00
3,84,KAN,Khalen Saunders,DT,23,2021,0,0,0,4,4,22,0,0,0,0,0,0,0,0,0,0,0,18,,1.0,Western Illinois,,SaunKh00
3,85,BAL,Jaylon Ferguson,DE,23,2021,0,0,1,8,8,38,0,0,0,0,0,0,0,0,0,0,0,44,,4.5,Louisiana Tech,College Stats,FergJa02
3,86,HOU,Kahale Warring,TE,22,2021,0,0,0,0,0,9,0,0,0,0,0,0,0,0,3,35,0,,,,San Diego St.,College Stats,WarrKa00
3,87,NWE,Damien Harris,RB,22,2021,0,0,2,13,13,27,0,0,0,0,0,343,1632,17,23,184,0,,,,Alabama,College Stats,HarrDa06
3,88,SEA,Cody Barton,LB,22,2021,0,0,0,6,6,48,0,0,0,0,0,0,0,0,0,0,0,56,,,Utah,College Stats,BartCo00
3,89,IND,Bobby Okereke,LB,23,2021,0,0,3,14,14,47,0,0,0,0,0,0,0,0,0,0,0,194,3,2.0,Stanford,College Stats,OkerBo00
3,90,DAL,Connor McGovern,G,21,2021,0,0,0,7,7,30,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,College Stats,McGoCo01
3,91,LAC,Trey Pipkins,T,23,2021,0,0,0,8,8,38,0,0,0,0,0,0,0,0,0,0,0,,,,Sioux Falls,,PipkTr00
3,92,NYJ,Chuma Edoga,T,22,2021,0,0,0,5,5,24,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,EdogCh00
3,93,BAL,Miles Boykin,WR,22,2021,0,0,2,6,6,40,0,0,0,0,0,0,0,0,33,470,7,2,,,Notre Dame,College Stats,BoykMi00
3,94,TAM,Jamel Dean,CB,22,2021,0,0,1,9,9,42,0,0,0,0,0,0,0,0,0,0,0,111,5,,Auburn,College Stats,DeanJa00
3,95,NYG,Oshane Ximines,DE,22,2021,0,0,0,5,5,30,0,0,0,0,0,0,0,0,0,0,0,19,,4.5,Old Dominion,College Stats,XimiOs00
3,96,BUF,Dawson Knox,TE,22,2021,0,0,3,12,12,42,0,0,0,0,0,1,13,0,101,1263,14,1,,,Mississippi,College Stats,KnoxDa00
3,97,LAR,Bobby Evans,T,22,2021,0,0,0,5,5,23,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,EvanBo00
3,98,JAX,Quincy Williams,S,23,2021,0,0,2,8,3,34,0,0,0,0,0,0,0,0,0,0,0,108,,2.0,Murray St.,,WillQu01
3,99,TAM,Mike Edwards,S,23,2021,0,0,0,8,8,45,0,0,0,0,0,0,0,0,0,0,0,73,5,1.0,Kentucky,College Stats,EdwaMi01
3,100,CAR,Will Grier,QB,24,2019,0,0,0,1,1,2,28,52,228,0,4,7,22,0,0,0,0,,,,West Virginia,College Stats,GrieWi00
3,101,NWE,Yodny Cajuste,T,23,2021,0,0,0,2,2,7,0,0,0,0,0,0,0,0,0,0,0,1,,,West Virginia,College Stats,CajuYo00
3,102,MIN,Alexander Mattison,RB,21,2021,0,0,0,12,12,42,0,0,0,0,0,330,1387,6,55,435,2,,,,Boise St.,College Stats,MattAl01
4,103,ARI,Hakeem Butler,WR,23,2020,0,0,0,0,,2,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,College Stats,ButlHa00
4,104,CIN,Ryan Finley,QB,24,2020,0,0,0,2,2,8,58,119,638,3,4,21,143,1,0,0,0,,,,North Carolina St.,College Stats,FinlRy00
4,105,NOR,Chauncey Gardner-Johnson,S,21,2021,0,0,2,12,12,43,0,0,0,0,0,0,0,0,0,0,0,122,5,3.0,Florida,College Stats,GardCh00
4,106,OAK,Maxx Crosby,DE,22,2021,0,1,3,25,25,49,0,0,0,0,0,0,0,0,0,0,0,92,,25.0,East. Michigan,College Stats,CrosMa00
4,107,TAM,Anthony Nelson,DE,22,2021,0,0,0,6,6,42,0,0,0,0,0,0,0,0,0,0,0,25,,6.0,Iowa,College Stats,NelsAn01
4,108,NYG,Julian Love,CB,21,2021,0,0,0,8,8,48,0,0,0,0,0,0,0,0,0,0,0,113,3,0.5,Notre Dame,College Stats,LoveJu00
4,109,IND,Khari Willis,S,23,2021,0,0,1,12,12,39,0,0,0,0,0,0,0,0,0,0,0,161,4,3.5,Michigan St.,College Stats,WillKh00
4,110,SFO,Mitch Wishnowsky,P,27,2021,0,0,0,6,6,49,0,0,0,0,0,0,0,0,0,0,0,8,,,Utah,College Stats,WishMi00
4,111,ATL,Kendall Sheffield,CB,23,2021,0,0,0,6,6,38,0,0,0,0,0,0,0,0,0,0,0,72,,,Ohio St.,College Stats,ShefKe00
4,112,WAS,Bryce Love,RB,22,,0,0,0,,,,,,,,,,,,,,,,,,Stanford,College Stats,LoveBr00
4,113,BAL,Justice Hill,RB,21,2020,0,0,0,4,4,28,0,0,0,0,0,70,285,2,13,90,0,6,,,Oklahoma St.,College Stats,HillJu00
4,114,MIN,Dru Samia,G,22,2020,0,0,0,3,3,15,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats,SamiDr00
4,115,CAR,Christian Miller,LB,23,2019,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,2,,2.0,Alabama,College Stats,MillCh04
4,116,TEN,Amani Hooker,S,21,2021,0,0,1,7,7,44,0,0,0,0,0,1,4,0,1,6,0,88,5,,Iowa,College Stats,HookAm00
