Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,DET,Matthew Stafford,QB,21,2021,0,1,12,113,99,182,4302,6825,49995,323,161,377,1241,14,2,-3,0,,,,Georgia,College Stats,StafMa00
1,2,STL,Jason Smith,T,23,2012,0,0,2,10,9,45,0,0,0,0,0,0,0,0,0,0,0,,,,Baylor,College Stats,SmitJa22
1,3,KAN,Tyson Jackson,DE,23,2016,0,0,7,34,23,122,0,0,0,0,0,0,0,0,0,0,0,167,,9.0,LSU,College Stats,JackTy98
1,4,SEA,Aaron Curry,LB,23,2012,0,0,3,16,12,48,0,0,0,0,0,0,0,0,0,0,0,163,,5.5,Wake Forest,College Stats,CurrAa99
1,5,NYJ,Mark Sanchez,QB,22,2018,0,0,4,32,26,79,1314,2320,15357,86,89,170,457,13,0,0,0,,,,USC,College Stats,SancMa00
1,6,CIN,Andre Smith,T,22,2021,0,0,8,41,37,121,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama,College Stats,SmitAn23
1,7,OAK,Darrius Heyward-Bey,WR,22,2018,0,0,5,23,17,144,0,0,0,0,0,15,194,2,202,2897,16,17,,,Maryland,College Stats,HeywDa00
1,8,JAX,Eugene Monroe,T,22,2015,0,0,6,32,22,93,0,0,0,0,0,0,0,0,0,0,0,,,,Virginia,College Stats,MonrEu20
1,9,GNB,B.J. Raji,DT,23,2015,0,1,5,33,33,91,0,0,0,0,0,1,1,1,0,0,0,103,,11.0,Boston Col.,College Stats,RajiBJ99
1,10,SFO,Michael Crabtree,WR,21,2019,0,0,10,53,33,143,0,0,0,0,0,3,18,0,637,7499,54,,,,Texas Tech,College Stats,CrabMi00
1,11,BUF,Aaron Maybin,DE,21,2012,0,0,0,5,2,48,0,0,0,0,0,0,0,0,0,0,0,27,,6.0,Penn St.,College Stats,MaybAa99
1,12,DEN,Knowshon Moreno,RB,22,2014,0,0,3,33,32,63,0,0,0,0,0,876,3616,27,158,1409,9,,,,Georgia,College Stats,MoreKn00
1,13,WAS,Brian Orakpo,LB,23,2018,0,4,8,58,33,132,0,0,0,0,0,0,0,0,0,0,0,294,1,66.0,Texas,College Stats,OrakBr99
1,14,NOR,Malcolm Jenkins,DB,21,2021,0,3,12,68,32,199,0,0,0,0,0,0,0,0,0,0,0,804,21,13.5,Ohio St.,College Stats,JenkMa99
1,15,HOU,Brian Cushing,LB,22,2017,0,1,7,52,52,104,0,0,0,0,0,0,0,0,0,0,0,424,8,13.5,USC,College Stats,CushBr99
1,16,SDG,Larry English,LB,23,2014,0,0,1,7,7,64,0,0,0,0,0,0,0,0,0,0,0,70,,12.0,Northern Illinois,College Stats,EnglLa99
1,17,TAM,Josh Freeman,QB,21,2015,0,0,4,37,36,62,1179,2048,13873,81,68,205,946,4,0,-3,0,,,,Kansas St.,College Stats,FreeJo00
1,18,DEN,Robert Ayers,DE,24,2017,0,0,5,27,13,120,0,0,0,0,0,0,0,0,0,0,0,192,,34.5,Tennessee,College Stats,AyerRo99
1,19,PHI,Jeremy Maclin,WR,21,2017,0,0,8,50,33,114,0,1,0,0,0,10,43,0,514,6835,49,,,,Missouri,College Stats,MaclJe00
1,20,DET,Brandon Pettigrew,TE,24,2015,0,0,7,22,22,93,0,0,0,0,0,0,0,0,301,2965,17,1,,,Oklahoma St.,College Stats,PettBr00
1,21,CLE,Alex Mack,C,23,2021,0,7,12,86,30,196,0,0,0,0,0,0,0,0,0,0,0,,,,California,College Stats,MackAl20
