Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CLE,Baker Mayfield,QB,23,2021,0,0,4,42,42,60,1185,1924,14125,92,56,158,571,5,1,17,0,,,,Oklahoma,College Stats,MayfBa00
1,2,NYG,Saquon Barkley,RB,21,2021,0,1,3,28,28,44,0,0,0,0,0,659,2937,19,190,1482,8,,,,Penn St.,College Stats,BarkSa00
1,3,NYJ,Sam Darnold,QB,21,2021,0,0,4,22,16,50,972,1625,10624,54,52,162,639,10,0,0,0,,,,USC,College Stats,DarnSa00
1,4,CLE,Denzel Ward,CB,21,2021,0,2,4,24,24,52,0,0,0,0,0,0,0,0,0,0,0,151,10,0.5,Ohio St.,College Stats,WardDe02
1,5,DEN,Bradley Chubb,DE,22,2021,0,1,2,23,23,41,0,0,0,0,0,0,0,0,0,0,0,92,1,20.5,North Carolina St.,College Stats,ChubBr00
1,6,IND,Quenton Nelson,G,22,2021,3,4,4,50,50,61,0,0,0,0,0,1,0,0,0,0,0,1,,,Notre Dame,College Stats,NelsQu00
1,7,BUF,Josh Allen,QB,22,2021,0,2,4,51,51,61,1245,1999,14114,103,46,422,2325,31,1,12,1,1,,,Wyoming,College Stats,AlleJo02
1,8,CHI,Roquan Smith,ILB,21,2021,0,0,4,39,39,61,0,0,0,0,0,0,0,0,0,0,0,348,5,14.0,Georgia,College Stats,SmitRo07
1,9,SFO,Mike McGlinchey,T,23,2021,0,0,3,23,23,52,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats,McGlMi00
1,10,ARI,Josh Rosen,QB,21,2021,0,0,1,3,2,24,277,513,2864,12,21,26,151,0,0,0,0,,,,UCLA,College Stats,RoseJo01
1,11,MIA,Minkah Fitzpatrick,S,21,2021,2,2,3,38,4,64,0,0,0,0,0,0,0,0,0,0,0,239,13,,Alabama,College Stats,FitzMi00
1,12,TAM,Vita Vea,DT,23,2021,0,1,2,24,24,50,0,0,0,0,0,0,0,0,1,1,1,68,,11.5,Washington,College Stats,VeaxVi00
1,13,WAS,Daron Payne,DT,21,2021,0,0,4,27,27,64,0,0,0,0,0,0,0,0,0,0,0,129,1,14.5,Alabama,College Stats,PaynDa00
1,14,NOR,Marcus Davenport,DE,22,2021,0,0,1,13,13,48,0,0,0,0,0,0,0,0,0,0,0,62,,21.0,Texas-San Antonio,College Stats,DaveMa00
1,15,OAK,Kolton Miller,T,22,2021,0,0,4,27,27,63,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,MillKo00
