Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,CLE,Myles Garrett,DE,21,2021,2,3,5,51,51,68,0,0,0,0,0,0,0,0,0,0,0,140,,58.5,Texas A&M,College Stats,GarrMy00
1,2,CHI,Mitchell Trubisky,QB,23,2021,0,1,4,33,33,57,1016,1585,10652,64,38,203,1081,9,0,0,0,,,,North Carolina,College Stats,TrubMi00
1,3,SFO,Solomon Thomas,DE,22,2021,0,0,2,16,15,65,0,0,0,0,0,0,0,0,0,0,0,90,,9.5,Stanford,College Stats,ThomSo00
1,4,JAX,Leonard Fournette,RB,22,2021,0,0,4,32,20,63,0,1,0,0,0,943,3810,31,239,1696,4,,,,LSU,College Stats,FourLe00
1,5,TEN,Corey Davis,WR,22,2021,0,0,4,28,25,65,0,0,0,0,0,6,55,0,241,3343,15,,,,Western Michigan,College Stats,DaviCo03
1,6,NYJ,Jamal Adams,S,21,2021,1,3,5,42,29,70,0,0,0,0,0,0,0,0,0,0,0,325,4,21.5,LSU,College Stats,AdamJa00
1,7,LAC,Mike Williams,WR,22,2021,0,0,3,30,30,72,0,0,0,0,0,9,31,1,227,3662,26,,1,,Clemson,College Stats,WillMi07
1,8,CAR,Christian McCaffrey,RB,21,2021,1,1,3,45,45,58,1,3,50,1,0,781,3587,30,357,3015,17,1,,,Stanford,College Stats,McCaCh01
1,9,CIN,John Ross,WR,21,2021,0,0,1,7,5,37,0,0,0,0,0,9,41,0,62,957,11,,,,Washington,College Stats,RossJo00
1,10,KAN,Patrick Mahomes,QB,21,2021,1,4,4,70,70,63,1550,2345,18991,151,37,238,1189,8,0,0,0,1,,,Texas Tech,College Stats,MahoPa00
1,11,NOR,Marshon Lattimore,CB,21,2021,0,4,5,35,35,73,0,0,0,0,0,0,0,0,0,0,0,245,13,,Ohio St.,College Stats,LattMa01
1,12,HOU,Deshaun Watson,QB,21,2020,0,3,3,52,52,54,1186,1748,14539,104,36,307,1677,17,1,6,1,,,,Clemson,College Stats,WatsDe00
1,13,ARI,Haason Reddick,LB,22,2021,0,0,3,23,16,80,0,0,0,0,0,0,0,0,0,0,0,199,,31.0,Temple,College Stats,ReddHa00
1,14,PHI,Derek Barnett,DE,21,2021,0,0,3,22,22,64,0,0,0,0,0,0,0,0,0,0,0,95,,21.5,Tennessee,College Stats,BarnDe01
1,15,IND,Malik Hooker,S,21,2021,0,0,3,15,13,51,0,0,0,0,0,0,0,0,0,0,0,111,8,,Ohio St.,College Stats,HookMa00
