Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,TAM,Jameis Winston,QB,21,2021,0,1,5,58,54,83,1665,2720,20982,135,91,288,1204,11,0,0,0,,,,Florida St.,College Stats,WinsJa00
1,2,TEN,Marcus Mariota,QB,21,2021,0,0,4,45,44,74,1128,1795,13437,77,45,264,1574,13,2,62,1,,,,Oregon,College Stats,MariMa01
1,3,JAX,Dante Fowler,OLB,21,2021,0,0,2,23,5,91,0,0,0,0,0,0,0,0,0,0,0,137,,35.0,Florida,College Stats,FowlDa00
1,4,OAK,Amari Cooper,WR,21,2021,0,4,7,50,24,108,0,0,0,0,0,14,41,0,517,7076,46,,,,Alabama,College Stats,CoopAm00
1,5,WAS,Brandon Scherff,T,23,2021,1,5,7,47,47,89,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,College Stats,ScheBr00
1,6,NYJ,Leonard Williams,DE,21,2021,0,1,6,49,32,112,0,0,0,0,0,0,0,0,0,0,0,198,1,35.5,USC,College Stats,WillLe02
1,7,CHI,Kevin White,WR,23,2021,0,0,0,2,2,23,0,0,0,0,0,1,9,0,26,323,0,1,,,West Virginia,College Stats,WhitKe00
1,8,ATL,Vic Beasley,OLB,23,2020,1,1,5,32,32,88,0,0,0,0,0,0,0,0,0,0,0,122,1,37.5,Clemson,College Stats,BeasVi00
1,9,NYG,Ereck Flowers,T,21,2021,0,0,7,35,18,105,0,0,0,0,0,0,0,0,1,-11,0,,,,Miami (FL),College Stats,FlowEr00
1,10,STL,Todd Gurley,RB,21,2020,2,3,6,54,50,88,0,0,0,0,0,1460,6082,67,243,2254,12,,,,Georgia,College Stats,GurlTo01
1,11,MIN,Trae Waynes,CB,23,2021,0,0,3,19,19,79,0,0,0,0,0,0,0,0,0,0,0,226,7,1.0,Michigan St.,College Stats,WaynTr00
1,12,CLE,Danny Shelton,NT,22,2021,0,0,5,33,15,100,0,0,0,0,0,0,0,0,0,0,0,138,,6.0,Washington,College Stats,ShelDa01
1,13,NOR,Andrus Peat,T,21,2021,0,3,5,46,46,84,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,PeatAn00
1,14,MIA,DeVante Parker,WR,22,2021,0,0,4,32,32,93,0,0,0,0,0,0,0,0,338,4727,24,2,,,Louisville,College Stats,ParkDe01
1,15,SDG,Melvin Gordon,RB,22,2021,0,2,7,48,38,98,0,0,0,0,0,1477,6144,53,284,2244,14,,,,Wisconsin,College Stats,GordMe00
1,16,HOU,Kevin Johnson,CB,23,2020,0,0,0,11,8,64,0,0,0,0,0,0,0,0,0,0,0,153,1,1.5,Wake Forest,College Stats,JohnKe04
1,17,SFO,Arik Armstead,DT,21,2021,0,0,5,34,34,95,0,0,0,0,0,0,0,0,0,0,0,154,,28.5,Oregon,College Stats,ArmsAr01
