Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,SDG,Eli Manning,QB,23,2019,0,4,14,121,,236,4895,8119,57023,366,244,315,567,7,0,0,0,,,,Mississippi,College Stats,MannEl00
1,2,OAK,Robert Gallery,T,24,2011,0,0,7,38,35,104,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats,GallRo20
1,3,ARI,Larry Fitzgerald,WR,21,2020,1,11,17,93,93,263,2,4,53,1,0,20,68,0,1432,17492,121,,,,Pittsburgh,College Stats,FitzLa00
1,4,NYG,Philip Rivers,QB,22,2020,0,8,15,149,,244,5277,8134,63440,421,209,383,601,3,0,-9,0,,,,North Carolina St.,College Stats,RivePh00
1,5,WAS,Sean Taylor,DB,21,2007,0,2,4,32,32,55,0,0,0,0,0,0,0,0,0,0,0,243,12,2.0,Miami (FL),College Stats,TaylSe20
1,6,CLE,Kellen Winslow,TE,21,2013,0,1,5,37,19,105,0,0,0,0,0,1,7,0,469,5236,25,,,,Miami (FL),College Stats,WinsKe01
1,7,DET,Roy Williams,WR,22,2011,0,1,7,42,30,115,0,1,0,0,0,6,17,0,393,5715,44,1,,,Texas,College Stats,WillRo04
1,8,ATL,DeAngelo Hall,DB,20,2017,0,3,10,61,28,171,0,0,0,0,0,0,0,0,1,0,0,638,43,2.0,Virginia Tech,College Stats,HallDe99
1,9,JAX,Reggie Williams,WR,21,2008,0,0,3,23,23,79,0,0,0,0,0,11,44,0,189,2322,18,,,,Washington,College Stats,WillRe00
1,10,HOU,Dunta Robinson,DB,22,2013,0,0,8,41,23,139,0,0,0,0,0,0,0,0,0,0,0,504,17,5.5,South Carolina,College Stats,RobiDu20
1,11,PIT,Ben Roethlisberger,QB,22,2021,0,6,17,131,131,249,5440,8443,64088,418,211,515,1373,20,2,-12,0,,,,Miami (OH),College Stats,RoetBe00
1,12,NYJ,Jonathan Vilma,LB,22,2013,0,3,8,56,25,125,0,0,0,0,0,0,0,0,0,0,0,617,12,10.5,Miami (FL),College Stats,VilmJo99
1,13,BUF,Lee Evans,WR,23,2011,0,0,7,47,47,118,0,1,0,0,0,10,145,0,381,6008,43,,,,Wisconsin,College Stats,EvanLe00
1,14,CHI,Tommie Harris,DT,21,2011,0,3,6,56,55,117,0,0,0,0,0,0,0,0,0,0,0,187,1,31.5,Oklahoma,College Stats,HarrTo99
1,15,TAM,Michael Clayton,WR,21,2011,0,0,5,22,22,95,0,1,0,0,0,18,100,0,223,2955,10,4,,,LSU,College Stats,ClayMi00
1,16,PHI,Shawn Andrews,G,21,2010,1,2,3,35,32,63,0,0,0,0,0,0,0,0,0,0,0,,,,Arkansas,College Stats,AndrSh55
1,17,DEN,D.J. Williams,LB,22,2014,0,0,9,48,45,145,0,0,0,0,0,0,0,0,0,0,0,678,2,22.5,Miami (FL),College Stats,WillD.20
1,18,NOR,Will Smith,DE,23,2012,0,1,7,52,52,139,0,0,0,0,0,0,0,0,0,0,0,329,2,67.5,Ohio St.,College Stats,SmitWi99
1,19,MIA,Vernon Carey,T,23,2011,0,0,7,44,44,121,0,0,0,0,0,0,0,0,0,0,0,,,,Miami (FL),,CareVe20
1,20,MIN,Kenechi Udeze,DE,21,2007,0,0,3,20,20,51,0,0,0,0,0,0,0,0,0,0,0,86,,11.0,USC,College Stats,UdezKe20
1,21,NWE,Vince Wilfork,NT,22,2016,1,5,11,90,81,189,0,0,0,0,0,0,0,0,0,0,0,367,3,16.0,Miami (FL),College Stats,WilfVi20
1,22,BUF,J.P. Losman,QB,23,2011,0,0,1,19,19,45,564,952,6271,33,34,105,490,3,0,0,0,,,,Tulane,College Stats,LosmJ.00
1,23,SEA,Marcus Tubbs,DT,23,2006,0,0,1,9,9,29,0,0,0,0,0,0,0,0,0,0,0,37,,7.0,Texas,,TubbMa20
1,24,STL,Steven Jackson,RB,21,2015,0,3,10,75,68,160,1,1,2,1,0,2764,11438,69,461,3683,9,,,,Oregon St.,College Stats,JackSt00
1,25,GNB,Ahmad Carroll,DB,21,2009,0,0,2,14,13,57,0,0,0,0,0,0,0,0,0,11,0,117,3,3.0,Arkansas,College Stats,CarrAh20
1,26,CIN,Chris Perry,RB,22,2008,0,0,0,9,9,35,0,0,0,0,0,177,606,2,83,474,2,,,,Michigan,College Stats,PerrCh00
1,27,HOU,Jason Babin,LB,24,2015,0,2,5,46,9,148,0,0,0,0,0,0,0,0,0,0,0,285,,64.5,Western Michigan,College Stats,BabiJa20
1,28,CAR,Chris Gamble,DB,21,2012,0,0,8,44,44,123,0,0,0,0,0,0,0,0,0,0,0,440,27,1.0,Ohio St.,College Stats,GambCh20
1,29,ATL,Michael Jenkins,WR,22,2012,0,0,6,39,33,130,0,0,0,0,0,2,4,0,354,4427,25,8,,,Ohio St.,College Stats,JenkMi00
1,30,DET,Kevin Jones,RB,22,2008,0,0,4,27,26,64,0,0,0,0,0,795,3176,24,143,1011,3,2,,,Virginia Tech,College Stats,JoneKe02
1,31,SFO,Rashaun Woods,WR,23,2004,0,0,0,1,1,14,0,0,0,0,0,0,0,0,7,160,1,,,,Oklahoma St.,College Stats,WoodRa00
1,32,NWE,Ben Watson,TE,23,2019,0,0,11,40,19,205,0,0,0,0,0,2,10,0,547,6058,44,1,,,Georgia,College Stats,WatsBe00
2,33,ARI,Karlos Dansby,LB,22,2017,0,0,13,81,53,212,0,0,0,0,0,0,0,0,0,0,0,1077,20,43.0,Auburn,College Stats,DansKa20
2,34,NYG,Chris Snee,G,22,2013,1,4,9,75,75,141,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,,SneeCh20
2,35,SDG,Igor Olshansky,DE,22,2011,0,0,7,39,28,115,0,0,0,0,0,0,0,0,0,0,0,166,1,12.5,Oregon,College Stats,OlshIg20
2,36,KAN,Junior Siavii,DT,25,2010,0,0,0,6,2,56,0,0,0,0,0,0,0,0,0,0,0,46,,1.0,Oregon,,SiavJu20
2,37,DET,Teddy Lehman,LB,22,2008,0,0,1,9,9,45,0,0,0,0,0,0,0,0,0,0,0,106,2,1.0,Oklahoma,College Stats,LehmTe20
2,38,PIT,Ricardo Colclough,DB,20,2009,0,0,0,2,2,43,0,0,0,0,0,0,0,0,0,0,0,59,1,2.5,Tusculum,,ColcRi20
