Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,,-9999
1,1,IND,Andrew Luck,QB,22,2018,0,4,5,72,72,86,2000,3290,23671,171,83,332,1590,14,1,4,0,,,,Stanford,College Stats,LuckAn00
1,2,WAS,Robert Griffin III,QB,22,2020,0,1,3,36,31,56,799,1268,9271,43,30,307,1809,10,0,0,0,,,,Baylor,College Stats,GrifRo01
1,3,CLE,Trent Richardson,RB,22,2014,0,0,3,17,7,46,0,0,0,0,0,614,2032,17,113,912,2,,,,Alabama,College Stats,RichTr00
1,4,MIN,Matt Kalil,T,23,2017,0,1,5,34,29,82,0,0,0,0,0,0,0,0,0,0,0,,,,USC,College Stats,KaliMa00
1,5,JAX,Justin Blackmon,WR,22,2013,0,0,1,9,9,20,0,0,0,0,0,3,22,0,93,1280,6,,,,Oklahoma St.,College Stats,BlacJu00
1,6,DAL,Morris Claiborne,DB,22,2019,0,0,5,25,13,85,0,0,0,0,0,0,0,0,0,0,0,213,7,,LSU,College Stats,ClaiMo00
1,7,TAM,Mark Barron,DB,22,2019,0,0,7,58,11,119,0,0,0,0,0,0,0,0,0,0,0,541,9,12.0,Alabama,College Stats,BarrMa00
1,8,MIA,Ryan Tannehill,QB,24,2021,0,1,9,84,47,133,2702,4209,30729,199,102,389,1931,24,4,8,1,1,,,Texas A&M,College Stats,TannRy00
1,9,CAR,Luke Kuechly,LB,21,2019,5,7,8,91,91,118,0,0,0,0,0,0,0,0,0,0,0,690,18,12.5,Boston Col.,College Stats,KuecLu00
1,10,BUF,Stephon Gilmore,DB,21,2021,2,5,9,67,19,132,0,0,0,0,0,0,0,0,0,0,0,374,27,1.0,South Carolina,College Stats,GilmSt00
1,11,KAN,Dontari Poe,DT,22,2020,0,2,8,55,41,128,1,1,2,1,0,2,2,2,0,0,0,205,,20.5,Memphis,College Stats,PoexDo00
1,12,PHI,Fletcher Cox,DT,21,2021,1,6,10,88,88,156,0,0,0,0,0,0,0,0,0,0,0,313,,58.0,Mississippi St.,College Stats,CoxxFl00
1,13,ARI,Michael Floyd,WR,22,2018,0,0,3,28,27,102,0,0,0,0,0,1,2,0,266,3959,25,,,,Notre Dame,College Stats,FloyMi00
1,14,STL,Michael Brockers,DT,21,2021,0,0,10,57,53,154,0,0,0,0,0,0,0,0,0,0,0,273,,29.0,LSU,College Stats,BrocMi00
1,15,SEA,Bruce Irvin,DE,24,2021,0,0,5,40,20,127,0,0,0,0,0,0,0,0,0,0,0,216,3,52.0,West Virginia,College Stats,IrviBr00
1,16,NYJ,Quinton Coples,DE,22,2015,0,0,2,17,17,62,0,0,0,0,0,0,0,0,0,0,0,77,,16.5,North Carolina,College Stats,CoplQu00
1,17,CIN,Dre Kirkpatrick,DB,22,2021,0,0,5,31,25,119,0,0,0,0,0,0,0,0,0,0,0,313,13,3.0,Alabama,College Stats,KirkDr00
1,18,SDG,Melvin Ingram,DE,23,2021,0,3,6,52,52,128,0,0,0,0,0,1,0,0,0,0,0,277,3,51.0,South Carolina,College Stats,IngrMe00
1,19,CHI,Shea McClellin,DE,23,2016,0,0,3,17,13,66,0,0,0,0,0,0,0,0,0,0,0,114,,8.5,Boise St.,College Stats,McClSh00
1,20,TEN,Kendall Wright,WR,22,2017,0,0,3,28,24,82,0,0,0,0,0,11,90,0,339,3858,19,,,,Baylor,College Stats,WrigKe01
1,21,NWE,Chandler Jones,DE,22,2021,2,4,9,73,26,139,0,0,0,0,0,0,0,0,0,0,0,331,1,107.5,Syracuse,College Stats,JoneCh03
1,22,CLE,Brandon Weeden,QB,28,2018,0,0,1,13,10,35,559,965,6462,31,30,62,200,1,0,-9,0,,,,Oklahoma St.,College Stats,WeedBr00
1,23,DET,Riley Reiff,T,23,2021,0,0,9,57,27,147,0,0,0,0,0,0,0,0,0,0,0,1,,,Iowa,College Stats,ReifRi00
1,24,PIT,David DeCastro,G,22,2020,2,6,8,69,69,125,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,College Stats,DeCaDa00
1,25,NWE,Dont'a Hightower,LB,22,2021,0,2,8,65,65,117,0,0,0,0,0,0,0,0,0,0,0,353,1,27.0,Alabama,College Stats,HighDo01
1,26,HOU,Whitney Mercilus,DE,22,2021,0,0,8,49,49,138,0,0,0,0,0,0,0,0,0,0,0,237,2,58.0,Illinois,College Stats,MercWh00
1,27,CIN,Kevin Zeitler,G,22,2021,0,0,10,53,32,152,0,0,0,0,0,0,0,0,1,-4,0,,,,Wisconsin,College Stats,ZeitKe00
1,28,GNB,Nick Perry,DE,22,2018,0,0,3,22,22,81,0,0,0,0,0,0,0,0,0,0,0,139,1,32.0,USC,College Stats,PerrNi00
1,29,MIN,Harrison Smith,DB,23,2021,1,6,9,62,62,145,0,0,0,0,0,0,0,0,0,0,0,640,29,16.5,Notre Dame,College Stats,SmitHa00
1,30,SFO,A.J. Jenkins,WR,22,2014,0,0,0,2,0,28,0,0,0,0,0,4,4,0,17,223,0,,,,Illinois,College Stats,JenkA.00
1,31,TAM,Doug Martin,RB,23,2018,1,2,7,39,35,84,0,0,0,0,0,1322,5356,30,148,1207,2,,,,Boise St.,College Stats,MartDo00
1,32,NYG,David Wilson,RB,21,2013,0,0,0,5,5,21,0,0,0,0,0,115,504,5,6,42,1,,,,Virginia Tech,College Stats,WilsDa01
2,33,STL,Brian Quick,WR,23,2018,0,0,0,11,10,84,0,0,0,0,0,0,0,0,114,1593,10,1,,,Appalachian St.,,QuicBr00
2,34,IND,Coby Fleener,TE,23,2017,0,0,4,25,18,87,0,0,0,0,0,1,2,1,255,3080,22,,1,,Stanford,College Stats,FleeCo00
2,35,BAL,Courtney Upshaw,LB,22,2017,0,0,3,27,24,90,0,0,0,0,0,0,0,0,0,0,0,131,,7.0,Alabama,College Stats,UpshCo00
2,36,DEN,Derek Wolfe,DT,22,2020,0,0,9,48,45,122,0,0,0,0,0,0,0,0,0,0,0,225,1,34.0,Cincinnati,College Stats,WolfDe00
2,37,CLE,Mitchell Schwartz,T,23,2020,1,0,8,75,18,134,0,0,0,0,0,0,0,0,0,0,0,,,,California,,SchwMi00
2,38,JAX,Andre Branch,LB,23,2018,0,0,3,22,9,95,0,0,0,0,0,0,0,0,0,0,0,125,,25.5,Clemson,College Stats,BranAn00
2,39,STL,Jackrabbit Jenkins,DB,23,2021,0,1,10,51,22,142,0,0,0,0,0,0,0,0,0,0,0,491,27,2.0,North Alabama,College Stats,JenkJa03
2,40,CAR,Amini Silatolu,G,23,2018,0,0,1,18,18,54,0,0,0,0,0,0,0,0,0,0,0,,,,Midwestern St.,,SilaAm00
2,41,BUF,Cordy Glenn,G,22,2019,0,0,6,38,31,97,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats,GlenCo00
2,42,MIA,Jonathan Martin,T,22,2014,0,0,2,14,10,38,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,,MartJo01
2,43,NYJ,Stephen Hill,WR,21,2013,0,0,2,4,4,23,0,0,0,0,0,0,0,0,45,594,4,,,,Georgia Tech,College Stats,HillSt00
2,44,KAN,Jeff Allen,T,22,2019,0,0,4,27,19,84,0,0,0,0,0,0,0,0,0,0,0,1,,,Illinois,College Stats,AlleJe01
2,45,CHI,Alshon Jeffery,WR,22,2020,0,1,8,48,33,109,0,0,0,0,0,23,140,1,475,6786,46,,,,South Carolina,College Stats,JeffAl00
2,46,PHI,Mychal Kendricks,LB,21,2020,0,0,7,38,32,104,0,0,0,0,0,0,0,0,0,0,0,404,4,19.0,California,College Stats,KendMy00
2,47,SEA,Bobby Wagner,LB,22,2021,6,8,10,110,110,151,0,0,0,0,0,0,0,0,0,0,0,819,11,23.5,Utah St.,College Stats,WagnBo00
2,48,NWE,Tavon Wilson,DB,22,2021,0,0,2,19,5,133,0,0,0,0,0,1,7,0,0,0,0,304,8,5.0,Illinois,College Stats,WilsTa00
2,49,SDG,Kendall Reyes,DT,22,2016,0,0,3,22,22,76,0,0,0,0,0,0,0,0,0,0,0,96,1,14.5,Connecticut,College Stats,ReyeKe00
2,50,STL,Isaiah Pead,RB,22,2016,0,0,0,1,1,30,0,0,0,0,0,27,100,0,15,100,0,3,,,Cincinnati,College Stats,PeadIs00
2,51,GNB,Jerel Worthy,DT,22,2018,0,0,0,4,3,40,0,0,0,0,0,0,0,0,0,0,0,19,,2.5,Michigan St.,College Stats,WortJe00
2,52,TEN,Zach Brown,LB,22,2019,0,1,5,41,16,100,0,0,0,0,0,0,0,0,0,0,0,462,7,17.5,North Carolina,College Stats,BrowZa00
2,53,CIN,Devon Still,DT,23,2016,0,0,0,3,3,33,0,0,0,0,0,0,0,0,0,0,0,21,,0.5,Penn St.,College Stats,StilDe00
2,54,DET,Ryan Broyles,WR,24,2014,0,0,0,3,3,21,0,0,0,0,0,0,0,0,32,420,2,,,,Oklahoma,College Stats,BroyRy00
2,55,ATL,Peter Konz,C,23,2014,0,0,2,16,16,39,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,,KonzPe00
2,56,PIT,Mike Adams,T,22,2016,0,0,1,11,11,53,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,,AdamMi02
2,57,DEN,Brock Osweiler,QB,21,2018,0,0,1,14,7,49,697,1165,7418,37,31,92,266,4,1,-14,0,,,,Arizona St.,College Stats,OsweBr00
2,58,TAM,Lavonte David,LB,22,2021,1,1,10,78,78,149,0,0,0,0,0,0,0,0,0,0,0,869,12,26.0,Nebraska,College Stats,DaviLa00
2,59,PHI,Vinny Curry,DE,24,2020,0,0,1,22,19,123,0,0,0,0,0,0,0,0,0,0,0,141,,32.5,Marshall,College Stats,CurrVi00
2,60,BAL,Kelechi Osemele,T,23,2020,1,2,6,47,20,101,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa St.,,OsemKe00
2,61,SFO,LaMichael James,RB,22,2015,0,0,0,2,2,18,0,0,0,0,0,44,193,0,5,45,0,,,,Oregon,College Stats,JameLa00
2,62,GNB,Casey Hayward,DB,22,2021,0,2,7,48,7,146,0,0,0,0,0,0,0,0,0,0,0,362,24,,Vanderbilt,College Stats,HaywCa00
2,63,NYG,Rueben Randle,WR,21,2015,0,0,2,21,21,64,0,0,0,0,0,0,0,0,188,2644,20,,,,LSU,College Stats,RandRu00
3,64,IND,Dwayne Allen,TE,22,2018,0,0,4,12,11,86,0,0,0,0,0,4,6,0,139,1564,20,3,,,Clemson,College Stats,AlleDw00
3,65,STL,Trumaine Johnson,DB,22,2019,0,0,5,30,24,102,0,0,0,0,0,0,0,0,0,0,0,339,23,,Montana,,JohnTr05
3,66,MIN,Josh Robinson,DB,21,2019,0,0,1,10,9,93,0,0,0,0,0,0,0,0,0,0,0,162,5,,Central Florida,College Stats,RobiJo01
3,67,DEN,Ronnie Hillman,RB,20,2016,0,0,1,17,15,56,0,0,0,0,0,494,1976,12,74,524,1,,,,San Diego St.,College Stats,HillRo00
3,68,HOU,DeVier Posey,WR,22,2014,0,0,0,2,2,26,0,0,0,0,0,1,-3,0,22,272,0,2,,,Ohio St.,College Stats,PoseDe00
3,69,BUF,T.J. Graham,WR,23,2015,0,0,1,7,6,47,0,0,0,0,0,5,19,0,61,794,4,9,,,North Carolina St.,College Stats,GrahT.00
