Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Michael Thomas*+,NOR,26,WR,16,15,185,149,80.5%,1725,11.6,9,91,49,9.3,9.3,107.8,1,ThomMi05
2,Christian McCaffrey*+,CAR,23,RB,16,16,142,116,81.7%,1005,8.7,4,58,28,7.1,7.3,62.8,1,McCaCh01
3,Keenan Allen*,LAC,27,WR,16,16,149,104,69.8%,1199,11.5,6,63,45,8.0,6.5,74.9,0,AlleKe00
4,DeAndre Hopkins*+,HOU,27,WR,15,15,150,104,69.3%,1165,11.2,7,68,43,7.8,6.9,77.7,0,HopkDe00
5,Julian Edelman,NWE,33,WR,16,13,153,100,65.4%,1117,11.2,6,54,44,7.3,6.3,69.8,3,EdelJu00
6,Julio Jones*,ATL,30,WR,15,15,157,99,63.1%,1394,14.1,6,77,54,8.9,6.6,92.9,1,JoneJu02
7,Allen Robinson,CHI,26,WR,16,15,154,98,63.6%,1147,11.7,7,63,49,7.4,6.1,71.7,0,RobiAl02
8,Travis Kelce*,KAN,30,TE,16,16,136,97,71.3%,1229,12.7,5,65,47,9.0,6.1,76.8,1,KelcTr00
9,Cooper Kupp,LAR,26,WR,16,14,134,94,70.1%,1161,12.4,10,51,66,8.7,5.9,72.6,3,KuppCo00
10,Austin Ekeler,LAC,24,rb,16,8,108,92,85.2%,993,10.8,8,42,84,9.2,5.8,62.1,3,EkelAu00
11,Tyler Boyd,CIN,25,WR,16,15,148,90,60.8%,1046,11.6,5,51,47,7.1,5.6,65.4,2,BoydTy00
12,Darren Waller,OAK,27,TE,16,16,117,90,76.9%,1145,12.7,3,53,75,9.8,5.6,71.6,1,WallDa01
13,Robert Woods,LAR,27,WR,15,15,139,90,64.7%,1134,12.6,2,54,48,8.2,6.0,75.6,0,WoodRo02
14,Zach Ertz*,PHI,29,TE,15,15,135,88,65.2%,916,10.4,6,50,30,6.8,5.9,61.1,1,ErtzZa00
15,D.J. Moore,CAR,22,WR,15,15,135,87,64.4%,1175,13.5,4,63,52,8.7,5.8,78.3,2,MoorD.00
16,Chris Godwin*,TAM,23,WR,14,14,121,86,71.1%,1333,15.5,9,63,71,11.0,6.1,95.2,0,GodwCh00
17,George Kittle*+,SFO,26,TE,14,14,107,85,79.4%,1053,12.4,5,53,61,9.8,6.1,75.2,1,KittGe00
