Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
226,Marlon Mack,IND,22,RB,12,10,26,17,103,1,3,-23,-1.4,126,7.4,-1.1,0,,3,11.5,1,69.9,MackMa00
227,Aldrick Robinson,MIN,30,,14,0,35,17,231,5,12,189,11.1,42,2.5,17.2,0,,2,5.7,1,97.7,RobiAl00
228,Torrey Smith,CAR,29,wr,11,6,31,17,190,2,12,142,8.4,48,2.8,13.5,2,8.5,1,3.2,0,94.8,SmitTo02
229,Deonte Thompson,2TM,29,,13,6,30,17,161,0,10,123,7.2,38,2.2,12.6,1,17.0,2,6.7,,71.7,ThomDe04
230,Chad Williams,ARI,24,WR,10,7,46,17,171,1,9,155,9.1,16,0.9,12.7,0,,3,6.5,2,37.5,WillCh05
231,Kapri Bibbs,2TM,25,,12,0,23,16,115,1,4,7,0.4,108,6.8,1.7,0,,3,13.0,,95.4,BibbKa00
232,Bennie Fowler,NYG,27,wr,10,5,27,16,199,1,11,123,7.7,76,4.8,9.7,3,5.3,2,7.4,2,63.7,FowlBe00
233,Josh Hill,NOR,28,TE,16,11,24,16,185,1,11,15,0.9,170,10.6,3.0,4,4.0,2,8.3,0,103.6,HillJo02
234,Breshad Perriman,CLE,25,,10,2,25,16,340,2,13,265,16.6,75,4.7,18.4,0,,0,0.0,0,134.2,PerrBr02
235,Terrelle Pryor,2TM,29,,8,1,30,16,252,2,11,190,11.9,62,3.9,12.4,0,,1,3.3,,103.7,PryoTe00
236,James Washington,PIT,22,wr,14,6,38,16,217,1,11,164,10.3,53,3.3,16.8,1,16.0,2,5.3,0,69.7,WashJa00
237,Jordan Wilkins,IND,24,,16,3,17,16,85,0,2,-20,-1.3,105,6.6,-1.5,2,8.0,0,0.0,0,87.5,WilkJo01
238,Maxx Williams,BAL,24,te,13,6,17,16,143,1,7,46,2.9,97,6.1,2.7,1,16.0,0,0.0,0,121.3,WillMa04
239,Marcell Ateman,OAK,24,wr,7,6,31,15,154,1,7,123,8.2,31,2.1,10.9,0,,2,6.5,0,73.9,AtemMa00
240,Alex Collins,BAL,24,RB,10,10,21,15,105,1,6,8,0.5,97,6.5,1.3,4,3.8,2,9.5,0,98.3,CollAl00
241,Tyler Eifert,CIN,28,,4,2,19,15,179,1,10,125,8.3,54,3.6,9.2,1,15.0,1,5.3,1,101.5,EifeTy00
242,Derrick Henry,TEN,24,RB,16,12,18,15,99,0,4,-16,-1.1,115,7.7,-0.7,3,5.0,0,0.0,0,89.6,HenrDe00
243,Justin Jackson,LAC,22,,13,1,19,15,135,0,5,-17,-1.1,152,10.1,-1.0,1,15.0,1,5.3,0,96.3,JackJu01
244,Marshawn Lynch,OAK,32,rb,6,6,20,15,84,0,6,-6,-0.4,90,6.0,-0.3,1,15.0,4,20.0,0,82.1,LyncMa00
245,Darren Sproles,PHI,35,,6,2,23,15,160,2,6,33,2.2,127,8.5,1.2,2,7.5,2,8.7,0,114.4,SproDa00
246,Luke Stocker,TEN,30,TE,16,11,21,15,165,2,10,101,6.7,64,4.3,7.8,0,,1,4.8,0,126.1,StocLu00
247,Josh Bellamy,CHI,29,,16,2,25,14,117,1,8,71,5.1,46,3.3,11.8,1,14.0,1,4.0,2,48.2,BellJo02
248,Jaron Brown,SEA,28,,16,2,19,14,166,5,9,120,8.6,46,3.3,12.8,0,,0,0.0,1,117.5,BrowJa03
249,Rex Burkhead,NWE,28,,8,4,20,14,131,1,4,10,0.7,121,8.6,2.2,0,,0,0.0,1,83.5,BurkRe00
250,DJ Chark,JAX,22,,11,0,32,14,174,0,6,129,9.2,45,3.2,9.8,0,,2,6.3,1,48.2,CharDJ00
251,Royce Freeman,DEN,22,rb,14,8,20,14,72,0,2,13,0.9,59,4.2,0.8,1,14.0,2,10.0,0,75.4,FreeRo00
252,Wayne Gallman,NYG,24,,15,1,22,14,89,0,5,8,0.6,81,5.8,1.3,3,4.7,2,9.1,0,72.0,GallWa00
253,Justin Hardy,ATL,27,,16,0,22,14,133,2,8,62,4.4,71,5.1,6.3,1,14.0,1,4.5,1,91.7,HardJu00
254,Jordan Leggett,NYJ,23,,15,4,24,14,114,1,6,65,4.6,49,3.5,6.7,0,,0,0.0,0,84.4,LeggJo00
255,Cody Core,CIN,24,,14,3,28,13,160,1,7,124,9.5,36,2.8,12.5,1,13.0,2,7.1,1,61.6,CoreCo00
256,Andre Holmes,2TM,30,,15,3,24,13,162,0,8,112,8.6,50,3.8,13.0,1,13.0,2,8.3,,75.3,HolmAn00
257,Hayden Hurst,BAL,25,,12,0,23,13,163,1,8,89,6.8,74,5.7,7.2,1,13.0,0,0.0,0,93.2,HursHa00
258,Chris Ivory,BUF,30,,13,1,21,13,205,0,7,1,0.1,204,15.7,-0.3,1,13.0,4,19.0,0,94.3,IvorCh00
259,Keith Kirkwood,NOR,24,,8,1,21,13,209,2,10,160,12.3,49,3.8,13.4,1,13.0,2,9.5,1,107.0,KirkKe00
260,Damion Ratley,CLE,23,,13,3,20,13,144,0,5,93,7.2,51,3.9,11.4,0,,2,10.0,1,65.4,RatlDa00
261,Luke Willson,DET,28,te,14,8,19,13,87,0,5,29,2.2,58,4.5,3.7,2,6.5,2,10.5,2,38.6,WillLu00
262,Dan Arnold,NOR,23,,10,1,19,12,150,1,9,120,10.0,30,2.5,10.8,0,,1,5.3,1,83.2,ArnoDa00
263,Travis Benjamin,LAC,29,,12,3,24,12,186,1,9,124,10.3,62,5.2,19.8,0,,3,12.5,2,55.2,BenjTr00
264,James Develin,NWE,30,FB,16,8,17,12,61,0,3,25,2.1,36,3.0,2.4,0,,0,0.0,1,51.3,DeveJa00
265,Ed Dickson,SEA,31,,10,1,13,12,143,3,6,65,5.4,78,6.5,5.5,1,12.0,0,0.0,0,152.1,DickEd00
266,Frank Gore,MIA,35,RB,14,14,16,12,124,1,8,9,0.8,115,9.6,1.3,5,2.4,0,0.0,0,117.7,GoreFr00
267,Demetrius Harris,KAN,27,,15,3,25,12,164,3,9,89,7.4,75,6.3,7.7,1,12.0,4,16.0,1,92.3,HarrDe03
268,Brandon LaFell,OAK,32,wr,6,5,16,12,135,2,9,82,6.8,53,4.4,8.3,0,,0,0.0,0,139.3,LaFeBr00
269,Eli Rogers,PIT,26,,3,3,14,12,79,0,5,39,3.3,40,3.3,4.4,1,12.0,0,0.0,0,90.2,RogeEl00
270,Dalton Schultz,DAL,22,te,11,7,17,12,116,0,6,50,4.2,66,5.5,4.1,2,6.0,1,5.9,0,89.3,SchuDa00
271,Logan Thomas,BUF,27,,12,3,17,12,77,0,3,43,3.6,34,2.8,7.9,0,,1,5.9,0,79.8,ThomLo00
272,Jeff Wilson,SFO,23,,6,2,15,12,98,0,5,1,0.1,97,8.1,0.5,1,12.0,1,6.7,1,66.1,WilsJe01
273,Darren Fells,CLE,32,TE,16,11,12,11,117,3,6,51,4.6,66,6.0,4.8,1,11.0,0,0.0,0,146.9,FellDa01
274,C.J. Ham,MIN,25,,15,2,15,11,85,0,4,1,0.1,84,7.6,-0.4,2,5.5,2,13.3,0,86.8,HamxC.00
275,Darius Jennings,TEN,26,,16,0,15,11,101,0,2,64,5.8,37,3.4,10.2,0,,1,6.7,1,63.5,JennDa00
276,Andy Jones,DET,24,,8,3,24,11,80,1,6,54,4.9,26,2.4,9.1,2,5.5,1,4.2,0,68.1,JoneAn01
277,Cody Latimer,NYG,26,,6,2,16,11,190,1,6,167,15.2,23,2.1,19.9,0,,0,0.0,0,129.7,LatiCo00
278,Brandon Marshall,SEA,34,,7,2,23,11,136,1,7,113,10.3,23,2.1,11.2,0,,3,13.0,1,63.0,MarsBr00
279,Marcus Murphy,BUF,27,,11,1,19,11,26,0,2,-11,-1.0,37,3.4,1.4,2,5.5,3,15.8,1,40.9,MurpMa03
280,Bilal Powell,NYJ,30,RB,7,7,18,11,110,1,3,26,2.4,84,7.6,4.9,1,11.0,0,0.0,1,73.8,PoweBi00
281,Brandon Powell,DET,23,,6,1,17,11,129,0,6,14,1.3,115,10.5,3.4,1,11.0,0,0.0,0,87.6,PoweBr00
282,Austin Seferian-Jenkins,JAX,26,te,5,5,19,11,90,1,6,54,4.9,36,3.3,5.0,0,,0,0.0,1,65.7,SefeAu00
283,LeGarrette Blount,DET,32,RB,16,8,15,10,67,0,4,-20,-2.0,87,8.7,-1.3,1,10.0,2,13.3,0,76.2,BlouLe00
284,Deontay Burnett,NYJ,21,,5,1,15,10,143,0,7,118,11.8,25,2.5,10.8,1,10.0,1,6.7,1,69.6,BurnDe00
285,Michael Floyd,WAS,29,,13,3,24,10,100,1,5,71,7.1,29,2.9,14.3,1,10.0,4,16.7,1,50.7,FloyMi00
286,Marvin Hall,ATL,25,,16,0,19,10,149,1,5,92,9.2,57,5.7,10.9,0,,0,0.0,0,96.2,HallMa02
287,Carlos Hyde,2TM,28,,14,7,16,10,33,0,0,-26,-2.6,59,5.9,-0.8,0,,1,6.3,,66.7,HydeCa00
288,Niles Paul,JAX,29,,6,1,13,10,98,0,5,66,6.6,32,3.2,8.2,0,,0,0.0,0,97.6,PaulNi00
289,Andre Roberts*+,NYJ,30,,16,1,17,10,79,1,4,62,6.2,17,1.7,9.0,1,10.0,2,11.8,2,50.5,RobeAn00
290,Russell Shepard,NYG,28,,12,0,19,10,188,2,7,172,17.2,16,1.6,16.8,0,,1,5.3,2,82.7,ShepRu00
291,Lee Smith,OAK,31,,16,4,11,10,73,3,5,18,1.8,55,5.5,1.8,0,,0,0.0,0,133.9,SmitLe00
292,Kalen Ballage,MIA,23,,12,0,11,9,56,0,2,-20,-2.2,76,8.4,-1.3,0,,1,9.1,1,50.0,BallKa00
293,Austin Carr,NOR,25,,14,2,14,9,97,2,5,75,8.3,22,2.4,9.4,0,,0,0.0,0,124.1,CarrAu00
294,Corey Grant,JAX,27,,5,1,12,9,67,0,5,-16,-1.8,83,9.2,-0.3,3,3.0,0,0.0,0,87.8,GranCo00
295,Jermaine Gresham,ARI,30,TE,13,11,12,9,94,0,6,19,2.1,75,8.3,2.0,1,9.0,2,16.7,0,97.2,GresJe00
296,Dontrell Hilliard,CLE,23,,11,0,10,9,105,0,4,15,1.7,90,10.0,1.9,3,3.0,0,0.0,0,110.4,HillDo00
297,Richie James,SFO,23,,13,2,14,9,130,1,4,29,3.2,101,11.2,4.0,3,3.0,2,14.3,2,78.6,JameRi00
298,Cameron Meredith,NOR,26,,6,1,10,9,114,1,4,76,8.4,38,4.2,9.2,0,,0,0.0,0,147.5,MereCa00
299,Logan Paulsen,ATL,31,TE,15,10,9,9,91,1,6,33,3.7,58,6.4,3.7,0,,0,0.0,0,145.8,PaulLo00
