Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Cooper Kupp*+,LAR,28,WR,17,17,191,145,75.9%,1947,13.4,16,89,59,10.2,8.5,114.5,0,KuppCo00
2,Davante Adams*+,GNB,29,WR,16,16,169,123,72.8%,1553,12.6,11,84,59,9.2,7.7,97.1,0,AdamDa01
3,Tyreek Hill*,KAN,27,WR,17,16,159,111,69.8%,1239,11.2,9,75,75,7.8,6.5,72.9,2,HillTy00
4,Justin Jefferson*,MIN,22,WR,17,17,167,108,64.7%,1616,15.0,10,75,56,9.7,6.4,95.1,1,JeffJu00
5,Mark Andrews*+,BAL,26,te,17,9,153,107,69.9%,1361,12.7,9,75,43,8.9,6.3,80.1,1,AndrMa00
6,Diontae Johnson*,PIT,25,WR,16,14,169,107,63.3%,1161,10.9,8,59,50,6.9,6.7,72.6,2,JohnDi01
7,Keenan Allen*,LAC,29,WR,16,16,157,106,67.5%,1138,10.7,6,66,42,7.2,6.6,71.1,1,AlleKe00
8,Jaylen Waddle,MIA,23,WR,16,16,140,104,74.3%,1015,9.8,6,59,57,7.3,6.5,63.4,2,WaddJa00
9,Stefon Diggs*,BUF,28,WR,17,17,164,103,62.8%,1225,11.9,10,66,61,7.5,6.1,72.1,1,DiggSt00
10,Hunter Renfrow*,LVR,26,wr,17,9,128,103,80.5%,1038,10.1,9,51,54,8.1,6.1,61.1,5,RenfHu00
11,Chris Godwin,TAM,25,WR,14,14,127,98,77.2%,1103,11.3,5,55,44,8.7,7.0,78.8,2,GodwCh00
12,D.J. Moore,CAR,24,WR,17,17,163,93,57.1%,1157,12.4,4,60,64,7.1,5.5,68.1,1,MoorD.00
13,Travis Kelce*,KAN,32,TE,16,16,134,92,68.7%,1125,12.2,9,63,69,8.4,5.8,70.3,1,KelcTr00
14,Marquise Brown,BAL,24,WR,16,16,146,91,62.3%,1008,11.1,6,41,49,6.9,5.7,63.0,3,BrowMa04
15,Brandin Cooks,HOU,28,WR,16,16,134,90,67.2%,1037,11.5,6,45,52,7.7,5.6,64.8,0,CookBr00
16,Amon-Ra St. Brown,DET,22,wr,17,9,119,90,75.6%,912,10.1,5,48,37,7.7,5.3,53.6,0,StxxAm00
17,Michael Pittman Jr.,IND,24,WR,17,17,129,88,68.2%,1082,12.3,6,54,57,8.4,5.2,63.6,1,PittMi01
18,Jakobi Meyers,NWE,25,WR,17,16,126,83,65.9%,866,10.4,2,42,39,6.9,4.9,50.9,1,MeyeJa01
19,Cole Beasley,BUF,32,wr,16,8,112,82,73.2%,693,8.5,1,34,29,6.2,5.1,43.3,1,BeasCo00
20,Ja'Marr Chase*,CIN,21,WR,17,17,128,81,63.3%,1455,18.0,13,56,82,11.4,4.8,85.6,2,ChasJa00
21,Darnell Mooney,CHI,24,WR,17,14,140,81,57.9%,1055,13.0,4,49,64,7.5,4.8,62.1,0,MoonDa00
22,CeeDee Lamb*,DAL,22,WR,16,13,120,79,65.8%,1102,13.9,6,54,49,9.2,4.9,68.9,0,LambCe00
23,Dalton Schultz,DAL,25,TE,17,15,104,78,75.0%,808,10.4,8,43,32,7.8,4.6,47.5,0,SchuDa00
24,Christian Kirk,ARI,25,WR,17,11,103,77,74.8%,982,12.8,5,44,50,9.5,4.5,57.8,0,KirkCh01
25,Terry McLaurin,WAS,26,WR,17,17,130,77,59.2%,1053,13.7,5,47,46,8.1,4.5,61.9,0,McLaTe00
26,Deebo Samuel*+,SFO,25,WR,16,15,121,77,63.6%,1405,18.2,6,51,83,11.6,4.8,87.8,4,SamuDe00
27,Mike Williams,LAC,27,WR,16,14,129,76,58.9%,1146,15.1,9,51,72,8.9,4.8,71.6,0,WillMi07
28,D.K. Metcalf,SEA,24,WR,17,17,129,75,58.1%,967,12.9,12,48,84,7.5,4.4,56.9,1,MetcDK00
29,Zach Ertz,2TM,31,,17,14,112,74,66.1%,763,10.3,5,40,47,6.8,4.4,44.9,0,ErtzZa00
30,Mike Evans*,TAM,28,WR,16,16,114,74,64.9%,1035,14.0,14,56,46,9.1,4.6,64.7,0,EvanMi00
31,Najee Harris*,PIT,23,RB,17,17,94,74,78.7%,467,6.3,3,22,25,5.0,4.4,27.5,0,HarrNa00
32,Tee Higgins,CIN,22,WR,14,14,110,74,67.3%,1091,14.7,6,53,54,9.9,5.3,77.9,1,HiggTe00
33,Mike Gesicki,MIA,26,te,17,9,112,73,65.2%,780,10.7,2,39,40,7.0,4.3,45.9,0,GesiMi00
34,Marvin Jones,JAX,31,WR,17,16,120,73,60.8%,832,11.4,4,42,33,6.9,4.3,48.9,0,JoneMa02
35,Tyler Lockett,SEA,29,WR,16,16,107,73,68.2%,1175,16.1,8,41,69,11.0,4.6,73.4,0,LockTy00
36,George Kittle*,SFO,28,TE,14,14,94,71,75.5%,910,12.8,6,42,48,9.7,5.1,65.0,2,KittGe00
37,Austin Ekeler,LAC,26,RB,16,16,94,70,74.5%,647,9.2,8,31,40,6.9,4.4,40.4,4,EkelAu00
38,Leonard Fournette,TAM,26,RB,14,13,84,69,82.1%,454,6.6,2,30,23,5.4,4.9,32.4,1,FourLe00
39,Amari Cooper,DAL,27,WR,15,14,104,68,65.4%,865,12.7,8,45,41,8.3,4.5,57.7,1,CoopAm00
40,Noah Fant,DEN,24,TE,16,16,90,68,75.6%,670,9.9,4,29,35,7.4,4.3,41.9,0,FantNo00
41,Kyle Pitts*,ATL,21,TE,17,15,110,68,61.8%,1026,15.1,1,43,61,9.3,4.0,60.4,0,PittKy00
42,Tyler Boyd,CIN,27,wr,16,10,94,67,71.3%,828,12.4,5,37,68,8.8,4.2,51.8,1,BoydTy00
43,Adam Thielen,MIN,31,WR,13,13,95,67,70.5%,726,10.8,10,37,35,7.6,5.2,55.8,1,ThieAd00
44,Russell Gage,ATL,25,wr,14,9,94,66,70.2%,770,11.7,4,37,49,8.2,4.7,55.0,2,GageRu00
