Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
1,Michael Thomas*+,NOR,25,WR,16,16,147,125,85.0%,1405,11.2,9,74,72,9.6,7.8,87.8,2,ThomMi05
2,Zach Ertz*,PHI,28,TE,16,16,156,116,74.4%,1163,10.0,8,66,34,7.5,7.3,72.7,1,ErtzZa00
3,DeAndre Hopkins*+,HOU,26,WR,16,16,163,115,70.6%,1572,13.7,11,81,49,9.6,7.2,98.3,2,HopkDe00
4,Julio Jones*,ATL,29,WR,16,16,170,113,66.5%,1677,14.8,8,80,58,9.9,7.1,104.8,2,JoneJu02
5,Adam Thielen*,MIN,28,WR,16,16,153,113,73.9%,1373,12.2,9,74,68,9.0,7.1,85.8,1,ThieAd00
6,Davante Adams*,GNB,26,WR,15,15,169,111,65.7%,1386,12.5,13,64,57,8.2,7.4,92.4,0,AdamDa01
7,JuJu Smith-Schuster*,PIT,22,WR,16,13,166,111,66.9%,1426,12.8,7,67,97,8.6,6.9,89.1,1,SmitJu00
8,Christian McCaffrey,CAR,22,RB,16,16,124,107,86.3%,867,8.1,6,41,38,7.0,6.7,54.2,4,McCaCh01
9,Antonio Brown*,PIT,30,WR,15,15,168,104,61.9%,1297,12.5,15,63,78,7.7,6.9,86.5,0,BrowAn04
10,Travis Kelce*+,KAN,29,TE,16,16,150,103,68.7%,1336,13.0,10,68,43,8.9,6.4,83.5,2,KelcTr00
11,Stefon Diggs,MIN,25,WR,15,14,149,102,68.5%,1021,10.0,9,49,75,6.9,6.8,68.1,0,DiggSt00
12,Keenan Allen*,LAC,26,WR,16,14,136,97,71.3%,1196,12.3,6,62,54,8.8,6.1,74.8,3,AlleKe00
13,Saquon Barkley*,NYG,21,RB,16,16,121,91,75.2%,721,7.9,4,30,57,6.0,5.7,45.1,0,BarkSa00
14,George Kittle*,SFO,25,TE,16,16,136,88,64.7%,1377,15.6,5,60,85,10.1,5.5,86.1,0,KittGe00
