Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional
412,Tre Madden,SEA,24,,8,3,2,2,100.0%,65,32.5,0,1,66,32.5,0.3,8.1,0,MaddTr01
413,Chris Manhertz,CAR,25,,16,4,4,2,50.0%,17,8.5,0,1,11,4.3,0.1,1.1,0,ManhCh00
414,Marcus Murphy,BUF,26,,1,0,2,2,100.0%,7,3.5,0,1,5,3.5,2.0,7.0,0,MurpMa03
415,Jojo Natson,NYJ,23,,7,0,5,2,40.0%,18,9.0,0,1,19,3.6,0.3,2.6,1,NatsJo00
416,Roosevelt Nix*,PIT,25,,16,4,3,2,66.7%,6,3.0,1,1,5,2.0,0.1,0.4,0,NixxRo01
417,Darius Powe,NYG,23,,1,1,4,2,50.0%,13,6.5,0,0,8,3.3,2.0,13.0,0,PoweDa02
418,Bernard Reedy,2TM,26,,11,0,2,2,100.0%,21,10.5,0,0,15,10.5,0.2,1.9,1,ReedBe01
419,Jeremy Sprinkle,WAS,23,te,11,5,3,2,66.7%,13,6.5,1,1,7,4.3,0.2,1.2,0,SpriJe00
420,Geoff Swaim,DAL,24,,15,2,2,2,100.0%,25,12.5,0,2,18,12.5,0.1,1.7,0,SwaiGe00
421,Fitzgerald Toussaint,PIT,27,,6,0,3,2,66.7%,9,4.5,0,1,7,3.0,0.3,1.5,0,TousFi00
422,Dwayne Washington,DET,23,,5,0,2,2,100.0%,14,7.0,0,1,10,7.0,0.4,2.8,0,WashDw00
423,Derek Watt,LAC,25,,16,4,3,2,66.7%,35,17.5,0,2,23,11.7,0.1,2.2,0,WattDe00
424,Terrance West,BAL,26,,5,4,4,2,50.0%,23,11.5,0,2,15,5.8,0.4,4.6,1,WestTe00
425,Kevin White,CHI,25,,1,1,4,2,50.0%,6,3.0,0,0,6,1.5,2.0,6.0,0,WhitKe00
426,Cameron Artis-Payne,CAR,27,,13,0,1,1,100.0%,2,2.0,0,0,2,2.0,0.1,0.2,0,ArtiCa00
427,Nick Bellore,DET,28,,13,2,1,1,100.0%,1,1.0,1,1,1,1.0,0.1,0.1,0,BellNi01
428,Arrelious Benn,JAX,29,,9,0,2,1,50.0%,12,12.0,0,1,12,6.0,0.1,1.3,0,BennAr00
429,Brandon Bolden,NWE,27,,16,0,4,1,25.0%,7,7.0,0,1,7,1.8,0.1,0.4,0,BoldBr00
430,Mack Brown,2TM,26,,4,0,1,1,100.0%,11,11.0,0,0,11,11.0,0.3,2.8,0,BrowMa02
431,Harry Douglas,TEN,33,,2,0,3,1,33.3%,8,8.0,0,0,8,2.7,0.5,4.0,0,DougHa00
432,Lance Dunbar,LAR,27,,4,0,3,1,33.3%,1,1.0,0,0,1,0.3,0.3,0.3,0,DunbLa00
433,Jimmy Garoppolo,SFO,26,qb,6,5,1,1,100.0%,-6,-6.0,0,0,-6,-6.0,0.2,-1.0,1,GaroJi00
434,Mike Gillislee,NWE,27,,9,2,1,1,100.0%,15,15.0,0,1,15,15.0,0.1,1.7,1,GillMi00
435,MarQueis Gray,MIA,28,,16,0,3,1,33.3%,10,10.0,0,1,10,3.3,0.1,0.6,0,GrayMa00
436,Garrett Griffin,NOR,23,,3,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.3,1.3,0,GrifGa00
437,Cobi Hamilton,HOU,27,,3,1,6,1,16.7%,8,8.0,0,1,8,1.3,0.3,2.7,0,HamiCo00
438,Matt Hazel,IND,25,,4,0,1,1,100.0%,1,1.0,0,0,1,1.0,0.3,0.3,0,HazeMa01
439,Brett Hundley,GNB,24,QB,11,9,1,1,100.0%,10,10.0,0,1,10,10.0,0.1,0.9,4,HundBr00
440,Taiwan Jones,BUF,29,,8,0,2,1,50.0%,11,11.0,0,1,11,5.5,0.1,1.4,0,JoneTa00
441,Joe Kerridge,GNB,25,,4,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.3,0.8,0,KerrJo00
442,Jordan Leslie,CLE,26,,2,0,1,1,100.0%,26,26.0,0,1,26,26.0,0.5,13.0,0,LeslJo00
443,Ryan Malleck,HOU,24,,2,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.5,1.5,0,MallRy02
444,Max McCaffrey,JAX,23,,5,0,1,1,100.0%,4,4.0,0,0,4,4.0,0.2,0.8,0,McCaMa01
445,Brian Mihalik,DET,25,,15,2,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,0,MihaBr00
446,Ifeanyi Momah,ARI,28,,9,2,2,1,50.0%,46,46.0,0,1,46,23.0,0.1,5.1,0,MomaIf00
447,Charone Peake,NYJ,25,,3,0,1,1,100.0%,3,3.0,0,1,3,3.0,0.3,1.0,0,PeakCh00
448,Senorise Perry,MIA,26,,16,0,1,1,100.0%,3,3.0,0,0,3,3.0,0.1,0.2,0,PerrSe00
449,Larry Pinkard,JAX,25,,4,0,1,1,100.0%,5,5.0,0,0,5,5.0,0.3,1.3,0,PinkLa00
450,Kalif Raymond,2TM,23,,8,0,1,1,100.0%,12,12.0,0,0,12,12.0,0.1,1.5,5,RaymKa00
451,Andre Roberts,ATL,29,,16,0,4,1,25.0%,12,12.0,0,1,12,3.0,0.1,0.8,4,RobeAn00
452,Allen Robinson,JAX,24,,1,1,1,1,100.0%,17,17.0,0,1,17,17.0,1.0,17.0,0,RobiAl02
453,Eric Weems,TEN,32,,16,0,2,1,50.0%,5,5.0,0,0,5,2.5,0.1,0.3,0,WeemEr00
454,Leonard Wester,TAM,24,,8,0,1,1,100.0%,2,2.0,1,1,2,2.0,0.1,0.3,0,WestLe00
455,DeAndrew White,HOU,26,,2,1,7,1,14.3%,24,24.0,0,1,24,3.4,0.5,12.0,1,WhitDe01
456,Marcus Williams,2TM,26,,15,0,1,1,100.0%,31,31.0,0,0,31,31.0,0.1,2.1,0,WillMa03
457,Bobo Wilson,TAM,22,,3,1,1,1,100.0%,18,18.0,1,1,18,18.0,0.3,6.0,0,WilsJe00
458,Kevin Zeitler,CLE,27,RG,16,16,1,1,100.0%,-4,-4.0,0,0,-4,-4.0,0.1,-0.3,0,ZeitKe00
