Player,Tm,Age,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,ProBowl,AllPro,Year,G_-1_year,GS_-1_year,Tgt_-1_year,Rec_-1_year,Yds_-1_year,TD_-1_year,G_-2_year,GS_-2_year,Tgt_-2_year,Rec_-2_year,Yds_-2_year,TD_-2_year,Rnd,Pick,Pos,YrsPlayed
Mike Thomas,CIN,26,14,0,21,13,132,1,7.0,104,8.0,28,2.2,8.6,1,13.0,2,9.5,0,95.7,ThomMi04,0,0,2020,16.0,0.0,5.0,2.0,14.0,0.0,,,,,,,6.0,206.0,WR,4
Jason Witten,LVR,38,16,7,17,13,69,2,8.0,49,3.8,20,1.5,5.4,0,0.0,0,0.0,0,121.9,WittJa00,0,0,2020,16.0,16.0,83.0,63.0,529.0,4.0,,,,,,,3.0,69.0,TE,17
Cameron Batson,TEN,25,12,1,13,12,100,1,7.0,57,4.8,43,3.6,6.2,0,0.0,0,0.0,0,124.4,BatsCa00,0,0,2020,,,,,,,11.0,2.0,11.0,8.0,82.0,0.0,8.0,260.0,WR,2
Jeremy McNichols,TEN,25,16,0,17,12,55,0,0.0,4,0.3,51,4.3,0.5,0,0.0,1,5.9,0,74.4,McNiJe00,0,0,2020,,,,,,,,,,,,,5.0,162.0,RB,3
Brandon Powell,ATL,25,15,1,18,12,69,2,5.0,35,2.9,34,2.8,4.6,0,0.0,1,5.6,0,110.6,PoweBr00,0,0,2020,,,,,,,6.0,1.0,17.0,11.0,129.0,0.0,8.0,260.0,WR,2
Jace Sternberger,GNB,24,12,0,15,12,114,1,6.0,48,4.0,66,5.5,6.9,0,0.0,1,6.7,0,120.6,SterJa00,0,0,2020,,,,,,,16.0,10.0,18.0,11.0,143.0,1.0,3.0,75.0,TE,1
C.J. Board,NYG,27,14,4,16,11,101,0,6.0,68,6.2,33,3.0,10.0,0,0.0,0,0.0,0,85.7,BoarC.00,0,0,2020,4.0,0.0,4.0,2.0,31.0,0.0,,,,,,,8.0,260.0,WR,2
Samaje Perine,CIN,25,16,1,12,11,66,0,4.0,-23,-2.1,89,8.1,-1.8,3,3.7,0,0.0,0,89.6,PeriSa00,0,0,2020,,,,,,,5.0,0.0,4.0,3.0,5.0,0.0,4.0,114.0,RB,3
De'Michael Harris,IND,22,7,0,10,10,79,0,3.0,16,1.6,63,6.3,1.6,0,0.0,0,0.0,0,99.6,HarrDe09,0,0,2020,,,,,,,,,,,,,8.0,260.0,WR,-1
Dare Ogunbowale,JAX,26,14,2,20,10,54,0,4.0,-9,-0.9,63,6.3,0.9,0,0.0,2,10.0,1,35.4,OgunDa00,0,0,2020,16.0,0.0,46.0,35.0,286.0,0.0,,,,,,,8.0,260.0,RB,3
Trent Taylor,SFO,26,12,1,21,10,86,0,5.0,43,4.3,43,4.3,5.6,0,0.0,0,0.0,1,39.0,TaylTr02,0,0,2020,,,,,,,14.0,0.0,41.0,26.0,215.0,1.0,5.0,177.0,WR,3
Kalif Raymond,TEN,26,15,3,15,9,187,0,7.0,149,16.6,38,4.2,17.5,0,0.0,2,13.3,1,76.2,RaymKa00,0,0,2020,8.0,1.0,12.0,9.0,170.0,1.0,,,,,,,8.0,260.0,WR,4
Stephen Anderson,LAC,27,16,3,11,8,106,0,7.0,26,3.3,80,10.0,4.0,2,4.0,0,0.0,0,102.8,AndeSt01,0,0,2020,,,,,,,,,,,,,8.0,260.0,TE,4
Darrell Daniels,ARI,26,12,8,11,8,92,1,4.0,35,4.4,57,7.1,6.1,1,8.0,1,9.1,0,127.8,DaniDa02,0,0,2020,11.0,0.0,3.0,1.0,4.0,0.0,,,,,,,8.0,260.0,TE,3
Troy Fumagalli,DEN,25,8,0,15,8,80,1,6.0,20,2.5,60,7.5,7.3,0,0.0,0,0.0,3,51.4,FumaTr00,0,0,2020,11.0,5.0,9.0,6.0,38.0,1.0,,,,,,,5.0,156.0,TE,2
Ryan Nall,CHI,25,16,0,9,8,67,1,5.0,20,2.5,47,5.9,2.2,1,8.0,0,0.0,0,134.7,NallRy00,0,0,2020,,,,,,,16.0,10.0,10.0,7.0,57.0,0.0,8.0,260.0,RB,1
Troymaine Pope,LAC,27,6,0,10,8,42,0,1.0,-2,-0.3,44,5.5,-1.6,1,8.0,1,10.0,0,84.2,PopeTr00,0,0,2020,14.0,0.0,3.0,2.0,14.0,1.0,,,,,,,8.0,260.0,RB,4
Jaydon Mickens,TAM,26,10,0,10,7,58,0,6.0,27,3.9,31,4.4,7.3,0,0.0,0,0.0,0,84.6,MickJa01,0,0,2020,,,,,,,,,,,,,8.0,260.0,WR,3
Equanimeous St. Brown,GNB,24,12,1,13,7,117,1,6.0,58,8.3,59,8.4,12.1,1,7.0,2,15.4,0,110.1,St.BEq00,0,0,2020,,,,,,,12.0,7.0,36.0,21.0,328.0,0.0,6.0,207.0,WR,2
