Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
108,Anthony Firkser,TEN,25,,16,1,53,39,387,1,26.0,244,6.3,143,3.7,7.0,4,9.8,1,1.9,0,100.1,FirkAn00,2020,15.0,1.0,24.0,14.0,204.0,1.0,12.0,0.0,20.0,19.0,225.0,1.0
109,Randall Cobb,HOU,30,,10,2,48,38,441,3,20.0,270,7.1,171,4.5,6.7,1,38.0,0,0.0,0,125.8,CobbRa00,2020,15.0,6.0,83.0,55.0,828.0,3.0,9.0,6.0,61.0,38.0,383.0,2.0
110,Travis Fulgham,PHI,25,WR,13,8,67,38,539,4,26.0,439,11.6,100,2.6,12.0,3,12.7,2,3.0,1,96.5,FulgTr00,2020,,,,,,,,,,,,
111,Kareem Hunt,CLE,25,RB,16,5,51,38,304,5,19.0,24,0.6,280,7.4,1.4,5,7.6,4,7.8,0,121.7,HuntKa00,2020,8.0,3.0,44.0,37.0,285.0,1.0,11.0,11.0,35.0,26.0,378.0,7.0
112,Devin Singletary,BUF,23,RB,16,16,50,38,269,0,8.0,0,0.0,269,7.1,1.0,4,9.5,3,6.0,0,87.8,SingDe00,2020,12.0,8.0,41.0,29.0,194.0,2.0,,,,,,
113,Jordan Akins,HOU,28,TE,13,5,49,37,403,1,20.0,231,6.2,172,4.6,7.5,3,12.3,3,6.1,0,106.1,AkinJo00,2020,16.0,9.0,55.0,36.0,418.0,2.0,16.0,6.0,25.0,17.0,225.0,0.0
114,Braxton Berrios,NYJ,25,,16,2,55,37,394,3,19.0,178,4.8,216,5.8,7.6,2,18.5,3,5.5,1,98.6,BerrBr00,2020,16.0,0.0,13.0,6.0,115.0,0.0,,,,,,
115,Chris Carson,SEA,26,RB,12,12,46,37,287,4,14.0,30,0.8,257,6.9,1.3,3,12.3,3,6.5,4,85.4,CarsCh00,2020,15.0,15.0,47.0,37.0,266.0,2.0,14.0,14.0,24.0,20.0,163.0,0.0
116,Jared Cook,NOR,33,TE,15,5,60,37,504,7,27.0,380,10.3,124,3.4,11.5,2,18.5,2,3.3,1,120.4,CookJa02,2020,14.0,7.0,65.0,43.0,705.0,9.0,16.0,14.0,101.0,68.0,896.0,6.0
117,Rashard Higgins,CLE,26,WR,13,6,52,37,599,4,26.0,521,14.1,78,2.1,14.1,0,,0,0.0,2,119.0,HiggRa00,2020,10.0,1.0,11.0,4.0,55.0,1.0,13.0,1.0,53.0,39.0,572.0,4.0
118,Sammy Watkins,KAN,27,WR,10,9,55,37,421,2,27.0,264,7.1,157,4.2,8.1,2,18.5,3,5.5,0,102.2,WatkSa00,2020,14.0,13.0,90.0,52.0,673.0,3.0,10.0,9.0,55.0,40.0,519.0,3.0
119,Clyde Edwards-Helaire,KAN,21,RB,13,13,54,36,297,1,12.0,2,0.1,295,8.2,0.6,10,3.6,3,5.6,1,79.0,EdwaCl00,2020,,,,,,,,,,,,
120,Tyler Eifert,JAX,30,,15,4,60,36,349,2,22.0,236,6.6,113,3.1,8.2,0,,0,0.0,4,59.7,EifeTy00,2020,16.0,4.0,63.0,43.0,436.0,3.0,4.0,2.0,19.0,15.0,179.0,1.0
121,Zach Ertz,PHI,30,TE,11,11,72,36,335,1,16.0,247,6.9,88,2.4,7.4,0,,5,6.9,3,50.4,ErtzZa00,2020,15.0,15.0,135.0,88.0,916.0,6.0,16.0,16.0,156.0,116.0,1163.0,8.0
122,Leonard Fournette,TAM,25,,13,3,47,36,233,0,9.0,-2,-0.1,235,6.5,0.1,5,7.2,7,14.9,0,86.6,FourLe00,2020,15.0,15.0,100.0,76.0,522.0,0.0,8.0,8.0,26.0,22.0,185.0,1.0
123,Antonio Gibson,WAS,22,RB,14,10,44,36,247,0,9.0,-54,-1.5,301,8.4,-0.8,8,4.5,2,4.5,0,90.1,GibsAn00,2020,,,,,,,,,,,,
124,Jakeem Grant,MIA,28,,14,4,54,36,373,1,22.0,201,5.6,172,4.8,10.5,9,4.0,3,5.6,2,77.2,GranJa00,2020,10.0,2.0,33.0,19.0,164.0,0.0,10.0,2.0,34.0,21.0,268.0,2.0
125,Jonathan Taylor,IND,21,RB,15,13,39,36,299,1,12.0,-68,-1.9,367,10.2,-1.3,3,12.0,1,2.6,0,107.2,TaylJo02,2020,,,,,,,,,,,,
126,James Conner,PIT,25,RB,13,11,43,35,215,0,10.0,-15,-0.4,230,6.6,-0.1,3,11.7,4,9.3,0,87.5,ConnJa00,2020,10.0,10.0,38.0,34.0,251.0,3.0,13.0,12.0,71.0,55.0,497.0,1.0
127,Gabriel Davis,BUF,21,WR,16,11,62,35,599,7,27.0,468,13.4,131,3.7,15.2,1,35.0,3,4.8,4,100.1,DaviGa01,2020,,,,,,,,,,,,
128,David Moore,SEA,25,WR,16,6,47,35,417,6,18.0,248,7.1,169,4.8,8.9,0,,3,6.4,0,140.7,MoorDa03,2020,14.0,1.0,34.0,17.0,301.0,2.0,16.0,7.0,53.0,26.0,445.0,5.0
129,Golden Tate,NYG,32,,12,4,52,35,388,2,19.0,313,8.9,75,2.1,8.8,0,,1,1.9,1,94.1,TateGo00,2020,11.0,10.0,85.0,49.0,676.0,6.0,15.0,7.0,113.0,74.0,795.0,4.0
130,Tre'Quan Smith,NOR,24,WR,14,10,50,34,448,4,22.0,313,9.2,135,4.0,9.0,5,6.8,4,8.0,0,122.7,SmitTr03,2020,11.0,6.0,25.0,18.0,234.0,5.0,15.0,7.0,44.0,28.0,427.0,5.0
131,John Brown,BUF,30,WR,9,8,52,33,458,3,22.0,281,8.5,177,5.4,12.4,0,,2,3.8,0,110.9,BrowJo02,2020,15.0,15.0,115.0,72.0,1060.0,6.0,16.0,15.0,97.0,42.0,715.0,5.0
132,Keke Coutee,HOU,23,,8,4,40,33,400,3,19.0,252,7.6,148,4.5,9.4,4,8.3,0,0.0,0,133.3,CoutKe00,2020,9.0,4.0,36.0,22.0,254.0,0.0,6.0,2.0,41.0,28.0,287.0,1.0
133,N'Keal Harry,NWE,23,WR,14,9,57,33,309,2,15.0,204,6.2,105,3.2,8.0,4,8.3,1,1.8,2,70.0,HarrNK00,2020,7.0,5.0,24.0,12.0,105.0,2.0,,,,,,
134,Josh Jacobs*,LVR,22,RB,15,15,45,33,238,0,9.0,0,0.0,238,7.2,0.7,4,8.3,2,4.4,0,85.2,JacoJo01,2020,13.0,13.0,27.0,20.0,166.0,0.0,,,,,,
135,David Johnson,HOU,29,RB,12,12,46,33,314,2,16.0,79,2.4,235,7.1,3.7,0,,2,4.3,0,104.8,JohnDa08,2020,13.0,9.0,47.0,36.0,370.0,4.0,16.0,16.0,76.0,50.0,446.0,3.0
136,Allen Lazard,GNB,25,WR,10,9,46,33,451,3,23.0,256,7.8,195,5.9,10.0,0,,5,10.9,0,124.5,LazaAl00,2020,16.0,3.0,52.0,35.0,477.0,3.0,1.0,0.0,1.0,1.0,7.0,0.0
137,Jerick McKinnon,SFO,28,,16,4,46,33,253,1,12.0,75,2.3,178,5.4,3.4,1,33.0,2,4.3,3,64.9,McKiJe00,2020,,,,,,,,,,,,
138,Scott Miller,TAM,23,WR,16,5,53,33,501,3,20.0,392,11.9,109,3.3,15.8,1,33.0,2,3.8,2,96.5,MillSc01,2020,10.0,2.0,26.0,13.0,200.0,1.0,,,,,,
139,Deebo Samuel,SFO,24,WR,7,5,44,33,391,1,19.0,-7,-0.2,398,12.1,2.2,6,5.5,3,6.8,2,90.2,SamuDe00,2020,15.0,11.0,81.0,57.0,802.0,3.0,,,,,,
140,Willie Snead,BAL,28,WR,13,8,48,33,432,3,23.0,245,7.4,187,5.7,8.9,7,4.7,3,6.3,1,109.0,SneaWi00,2020,16.0,11.0,46.0,31.0,339.0,5.0,16.0,10.0,95.0,62.0,651.0,1.0
141,Marquez Valdes-Scantling,GNB,26,WR,16,12,63,33,690,6,27.0,449,13.6,241,7.3,18.3,1,33.0,7,11.1,2,109.9,ValdMa00,2020,16.0,10.0,56.0,26.0,452.0,2.0,16.0,10.0,73.0,38.0,581.0,2.0
142,Melvin Gordon,DEN,27,RB,15,10,44,32,158,1,7.0,-9,-0.3,167,5.2,0.1,4,8.0,3,6.8,0,85.2,GordMe00,2020,12.0,11.0,55.0,42.0,296.0,1.0,12.0,12.0,66.0,50.0,490.0,4.0
143,Cam Sims,WAS,24,WR,16,10,48,32,477,1,18.0,228,7.1,249,7.8,10.9,5,6.4,1,2.1,3,79.9,SimsCa00,2020,7.0,1.0,3.0,2.0,27.0,0.0,,,,,,
144,Mo Alie-Cox,IND,27,TE,15,6,39,31,394,2,19.0,212,6.8,182,5.9,6.8,0,,1,2.6,2,104.5,AlieMo00,2020,16.0,2.0,11.0,8.0,93.0,0.0,9.0,1.0,13.0,7.0,133.0,2.0
145,Dan Arnold,ARI,25,TE,16,5,45,31,438,4,24.0,265,8.5,173,5.6,12.6,0,,1,2.2,1,120.4,ArnoDa00,2020,5.0,1.0,14.0,8.0,127.0,2.0,10.0,1.0,19.0,12.0,150.0,1.0
146,Chris Herndon,NYJ,24,TE,16,13,45,31,287,3,17.0,159,5.1,128,4.1,6.8,1,31.0,4,8.9,0,108.3,HernCh00,2020,1.0,0.0,2.0,1.0,7.0,0.0,16.0,12.0,56.0,39.0,502.0,4.0
147,Jalen Reagor,PHI,21,WR,11,11,54,31,396,1,19.0,205,6.6,191,6.2,12.7,3,10.3,1,1.9,3,63.5,ReagJa00,2020,,,,,,,,,,,,
148,Jamaal Williams,GNB,25,,14,3,35,31,236,1,11.0,17,0.5,219,7.1,0.5,4,7.8,2,5.7,0,104.3,WillJa06,2020,14.0,2.0,45.0,39.0,253.0,5.0,16.0,8.0,41.0,27.0,210.0,0.0
149,KJ Hamler,DEN,21,,13,4,56,30,381,3,17.0,257,8.6,124,4.1,10.4,4,7.5,7,12.5,3,70.6,HamlKJ00,2020,,,,,,,,,,,,
150,Isaiah McKenzie,BUF,25,WR,16,7,34,30,282,5,17.0,92,3.1,190,6.3,4.4,0,,1,2.9,0,140.8,McKeIs00,2020,15.0,8.0,39.0,27.0,254.0,1.0,8.0,1.0,30.0,18.0,179.0,0.0
151,Breshad Perriman,NYJ,27,WR,12,12,60,30,505,3,20.0,345,11.5,160,5.3,15.1,1,30.0,3,5.0,4,67.7,PerrBr02,2020,14.0,4.0,69.0,36.0,645.0,6.0,10.0,2.0,25.0,16.0,340.0,2.0
152,Irv Smith Jr.,MIN,22,TE,13,7,43,30,365,5,22.0,239,8.0,126,4.2,8.0,2,15.0,1,2.3,0,134.4,SmitIr01,2020,16.0,7.0,47.0,36.0,311.0,2.0,,,,,,
153,James Washington,PIT,24,WR,16,7,56,30,392,5,19.0,253,8.4,139,4.6,12.5,1,30.0,4,7.1,2,90.8,WashJa00,2020,15.0,10.0,80.0,44.0,735.0,3.0,14.0,6.0,38.0,16.0,217.0,1.0
154,Kalen Ballage,2TM,25,,11,2,37,29,166,0,5.0,-47,-1.6,213,7.3,-0.5,4,7.3,2,5.4,0,85.4,BallKa00,2020,12.0,6.0,24.0,14.0,63.0,0.0,12.0,0.0,11.0,9.0,56.0,0.0
155,Lynn Bowden Jr.,MIA,23,,10,4,37,28,211,0,13.0,99,3.5,112,4.0,5.0,6,4.7,0,0.0,2,66.4,BowdLy00,2020,,,,,,,,,,,,
156,Cameron Brate,TAM,29,,16,1,34,28,282,2,17.0,211,7.5,71,2.5,8.6,0,,0,0.0,1,108.6,BratCa00,2020,16.0,6.0,55.0,36.0,311.0,4.0,16.0,2.0,49.0,30.0,289.0,6.0
157,Trey Burton,IND,29,,13,4,47,28,250,3,14.0,163,5.8,87,3.1,7.5,1,28.0,4,8.5,1,86.3,BurtTr01,2020,8.0,5.0,24.0,14.0,84.0,0.0,16.0,16.0,76.0,54.0,569.0,6.0
158,Isaiah Ford,MIA,24,,10,1,44,28,276,0,18.0,208,7.4,68,2.4,9.2,0,,1,2.3,2,62.3,FordIs00,2020,8.0,0.0,35.0,23.0,244.0,0.0,,,,,,
159,Jalen Guyton,LAC,23,WR,16,9,55,28,511,3,18.0,332,11.9,179,6.4,16.3,1,28.0,5,9.1,2,86.2,GuytJa01,2020,,,,,,,,,,,,
160,Duke Johnson,HOU,27,RB,11,5,35,28,249,1,8.0,29,1.0,220,7.9,1.9,2,14.0,2,5.7,0,105.8,JohnDu00,2020,16.0,2.0,62.0,44.0,410.0,3.0,16.0,2.0,62.0,47.0,429.0,3.0
161,Ronald Jones II,TAM,23,RB,14,13,42,28,165,1,2.0,8,0.3,157,5.6,0.9,1,28.0,5,11.9,1,72.0,JoneRo01,2020,16.0,9.0,40.0,31.0,309.0,0.0,9.0,0.0,9.0,7.0,33.0,0.0
162,Cole Kmet,CHI,21,TE,16,9,44,28,243,2,12.0,107,3.8,136,4.9,6.5,2,14.0,2,4.5,1,83.8,KmetCo00,2020,,,,,,,,,,,,
163,James O'Shaughnessy,JAX,28,TE,15,13,38,28,262,0,12.0,168,6.0,94,3.4,7.2,1,28.0,0,0.0,1,81.2,O'ShJa00,2020,5.0,5.0,20.0,14.0,153.0,2.0,14.0,9.0,38.0,24.0,214.0,0.0
164,Tony Pollard,DAL,23,,16,2,40,28,193,1,9.0,-39,-1.4,232,8.3,-0.4,4,7.0,4,10.0,0,88.9,PollTo00,2020,15.0,0.0,20.0,15.0,107.0,1.0,,,,,,
165,Kyle Rudolph,MIN,31,TE,12,12,37,28,334,1,16.0,170,6.1,164,5.9,7.1,2,14.0,0,0.0,0,111.8,RudoKy00,2020,16.0,16.0,48.0,39.0,367.0,6.0,16.0,16.0,82.0,64.0,634.0,4.0
166,Miles Sanders,PHI,23,RB,12,11,52,28,197,0,8.0,-11,-0.4,208,7.4,1.9,3,9.3,7,13.5,2,46.7,SandMi01,2020,16.0,11.0,63.0,50.0,509.0,3.0,,,,,,
167,Steven Sims,WAS,23,,12,2,37,27,265,1,13.0,139,5.1,126,4.7,7.1,0,,2,5.4,1,90.5,SimsSt00,2020,16.0,2.0,56.0,34.0,310.0,4.0,,,,,,
168,Isaiah Wright,WAS,23,WR,14,6,35,27,197,0,10.0,54,2.0,143,5.3,3.9,2,13.5,1,2.9,0,89.8,WrigIs01,2020,,,,,,,,,,,,
169,Jordan Reed,SFO,30,,10,1,46,26,231,4,16.0,147,5.7,84,3.2,8.0,2,13.0,3,6.5,1,90.0,ReedJo02,2020,,,,,,,13.0,8.0,84.0,54.0,558.0,2.0
170,Henry Ruggs III,LVR,21,WR,13,12,43,26,452,2,13.0,307,11.8,145,5.6,17.4,0,,3,7.0,1,102.1,RuggHe00,2020,,,,,,,,,,,,
171,Durham Smythe,MIA,25,TE,15,13,29,26,208,2,13.0,86,3.3,122,4.7,3.9,2,13.0,1,3.4,0,119.5,SmytDu00,2020,16.0,14.0,14.0,7.0,65.0,0.0,15.0,2.0,11.0,6.0,50.0,0.0
172,Rex Burkhead,NWE,30,,10,0,33,25,192,3,11.0,-9,-0.4,201,8.0,0.9,2,12.5,0,0.0,1,107.1,BurkRe00,2020,13.0,1.0,38.0,27.0,279.0,0.0,8.0,4.0,20.0,14.0,131.0,1.0
173,Kenyan Drake,ARI,26,RB,15,13,31,25,137,0,5.0,-28,-1.1,165,6.6,-1.0,1,25.0,2,6.5,0,85.1,DrakKe00,2020,14.0,10.0,68.0,50.0,345.0,0.0,16.0,7.0,73.0,53.0,477.0,5.0
174,Todd Gurley,ATL,26,RB,15,15,35,25,164,0,7.0,41,1.6,123,4.9,1.5,3,8.3,4,11.4,0,81.1,GurlTo01,2020,15.0,15.0,49.0,31.0,207.0,2.0,14.0,14.0,81.0,59.0,580.0,4.0
175,Brian Hill,ATL,25,,16,1,30,25,199,0,7.0,37,1.5,162,6.5,1.3,4,6.3,3,10.0,0,94.3,HillBr02,2020,12.0,2.0,14.0,10.0,69.0,1.0,10.0,0.0,2.0,1.0,9.0,0.0
176,Jacob Hollister,SEA,27,TE,16,5,40,25,209,3,14.0,129,5.2,80,3.2,5.9,0,,2,5.0,1,90.5,HollJa03,2020,11.0,3.0,59.0,41.0,349.0,3.0,8.0,1.0,5.0,4.0,52.0,0.0
177,Boston Scott,PHI,25,,16,4,36,25,212,1,8.0,31,1.2,181,7.2,2.6,1,25.0,0,0.0,0,93.7,ScotBo02,2020,11.0,2.0,26.0,24.0,204.0,0.0,,,,,,
178,Harrison Bryant,CLE,22,TE,15,9,38,24,238,3,14.0,121,5.0,117,4.9,7.7,2,12.0,3,7.9,2,85.2,BryaHa00,2020,,,,,,,,,,,,
179,Will Dissly,SEA,24,TE,16,12,29,24,251,2,12.0,82,3.4,169,7.0,4.8,0,,1,3.4,1,111.4,DissWi00,2020,6.0,6.0,27.0,23.0,262.0,4.0,4.0,4.0,14.0,8.0,156.0,2.0
180,Dawson Knox,BUF,24,TE,12,7,44,24,288,3,14.0,128,5.3,160,6.7,8.2,0,,4,9.1,1,88.1,KnoxDa00,2020,15.0,11.0,50.0,28.0,388.0,2.0,,,,,,
181,Greg Olsen,SEA,35,TE,11,8,37,24,239,1,16.0,190,7.9,49,2.0,7.8,0,,2,5.4,2,69.5,OlseGr00,2020,14.0,14.0,82.0,52.0,597.0,2.0,9.0,9.0,38.0,27.0,291.0,4.0
182,Richard Rodgers,PHI,28,,14,4,31,24,345,2,16.0,250,10.4,95,4.0,9.8,1,24.0,0,0.0,0,134.5,RodgRi00,2020,,,,,,,7.0,0.0,1.0,1.0,7.0,0.0
183,Odell Beckham Jr.,CLE,28,WR,7,7,43,23,319,3,17.0,273,11.9,46,2.0,13.6,2,11.5,1,2.3,1,91.1,BeckOd00,2020,16.0,15.0,133.0,74.0,1035.0,4.0,12.0,12.0,124.0,77.0,1052.0,6.0
184,Malcolm Brown,LAR,27,,16,0,33,23,162,0,9.0,-16,-0.7,178,7.7,-0.2,1,23.0,3,9.1,0,80.6,BrowMa03,2020,14.0,1.0,6.0,2.0,16.0,0.0,12.0,0.0,7.0,5.0,52.0,1.0
185,Jack Doyle,IND,30,TE,14,12,33,23,251,3,13.0,160,7.0,91,4.0,6.9,1,23.0,0,0.0,0,122.2,DoylJa00,2020,16.0,16.0,72.0,43.0,448.0,4.0,6.0,6.0,33.0,26.0,245.0,2.0
186,DaeSean Hamilton,DEN,25,,16,2,44,23,293,2,16.0,198,8.6,95,4.1,13.4,0,,2,4.5,3,60.1,HamiDa01,2020,16.0,2.0,52.0,28.0,297.0,1.0,14.0,5.0,45.0,30.0,243.0,2.0
187,Adam Humphries,TEN,27,,7,1,35,23,228,2,11.0,183,8.0,45,2.0,9.6,0,,1,2.9,1,91.1,HumpAd00,2020,12.0,3.0,47.0,37.0,374.0,2.0,16.0,10.0,105.0,76.0,816.0,5.0
188,Richie James,SFO,25,WR,11,7,35,23,394,1,15.0,201,8.7,193,8.4,10.7,3,7.7,2,5.7,0,113.3,JameRi00,2020,16.0,1.0,10.0,6.0,165.0,1.0,13.0,2.0,14.0,9.0,130.0,1.0
189,Joshua Kelley,LAC,23,,14,0,23,23,148,0,9.0,-25,-1.1,173,7.5,-1.1,2,11.5,0,0.0,0,93.5,KellJo01,2020,,,,,,,,,,,,
190,Denzel Mims,NYJ,23,WR,9,8,44,23,357,0,15.0,251,10.9,106,4.6,15.3,5,4.6,1,2.3,1,70.0,MimsDe00,2020,,,,,,,,,,,,
191,Latavius Murray,NOR,30,RB,15,7,26,23,176,1,8.0,-22,-1.0,198,8.6,-1.0,2,11.5,2,7.7,0,107.7,MurrLa00,2020,16.0,8.0,43.0,34.0,235.0,1.0,16.0,6.0,26.0,22.0,141.0,0.0
192,Marquez Callaway,NOR,22,,11,3,27,21,213,0,10.0,155,7.4,58,2.8,8.4,2,10.5,0,0.0,0,99.5,CallMa01,2020,,,,,,,,,,,,
193,Julian Edelman,NWE,34,,6,1,39,21,315,0,18.0,251,12.0,64,3.0,10.3,0,,3,7.7,3,48.6,EdelJu00,2020,16.0,13.0,153.0,100.0,1117.0,6.0,12.0,12.0,108.0,74.0,850.0,6.0
194,Darren Fells,HOU,34,TE,16,14,28,21,312,4,16.0,135,6.4,177,8.4,7.1,6,3.5,0,0.0,0,150.6,FellDa01,2020,16.0,14.0,48.0,34.0,341.0,7.0,16.0,11.0,12.0,11.0,117.0,3.0
195,Wayne Gallman,NYG,26,RB,15,10,27,21,114,0,6.0,14,0.7,100,4.8,0.4,0,,3,11.1,0,84.3,GallWa00,2020,10.0,2.0,15.0,11.0,102.0,1.0,15.0,1.0,22.0,14.0,89.0,0.0
196,Andy Isabella,ARI,24,,13,2,35,21,224,2,10.0,142,6.8,82,3.9,11.3,2,10.5,2,5.7,3,62.1,IsabAn00,2020,15.0,1.0,13.0,9.0,189.0,1.0,,,,,,
197,Joe Mixon,CIN,24,RB,6,6,26,21,138,1,5.0,-29,-1.4,167,8.0,-1.0,2,10.5,1,3.8,0,101.6,MixoJo00,2020,16.0,15.0,45.0,35.0,287.0,3.0,14.0,13.0,55.0,43.0,296.0,1.0
198,Cordarrelle Patterson*+,CHI,29,,16,3,25,21,132,0,7.0,18,0.9,114,5.4,3.6,1,21.0,1,4.0,0,88.7,PattCo00,2020,16.0,4.0,17.0,11.0,83.0,0.0,15.0,5.0,28.0,21.0,247.0,3.0
199,Chad Beebe,MIN,26,,14,0,30,20,201,2,12.0,128,6.4,73,3.7,6.0,2,10.0,1,3.3,1,93.9,BeebCh00,2020,3.0,0.0,2.0,2.0,70.0,0.0,3.0,0.0,4.0,4.0,39.0,0.0
200,Quintez Cephus,DET,22,,13,2,35,20,349,2,16.0,264,13.2,85,4.3,14.5,0,,3,8.6,0,110.3,CephQu00,2020,,,,,,,,,,,,
201,Devin Duvernay,BAL,23,,16,3,26,20,201,0,8.0,83,4.2,118,5.9,6.2,1,20.0,1,3.8,2,66.3,DuveDe00,2020,,,,,,,,,,,,
202,Kenny Golladay,DET,27,WR,5,5,32,20,338,2,16.0,300,15.0,38,1.9,14.6,0,,2,6.3,0,119.0,GollKe00,2020,16.0,16.0,116.0,65.0,1190.0,11.0,15.0,13.0,119.0,70.0,1063.0,5.0
203,Deonte Harris,NOR,23,,9,2,25,20,186,1,10.0,59,3.0,127,6.4,4.0,4,5.0,1,4.0,1,94.3,HarrDe07,2020,14.0,1.0,6.0,6.0,24.0,0.0,,,,,,
204,Tyron Johnson,LAC,24,,12,0,26,20,398,3,15.0,339,17.0,59,3.0,20.5,4,5.0,0,0.0,0,156.7,JohnTy03,2020,,,,,,,,,,,,
205,Ray-Ray McCloud,PIT,24,,16,2,22,20,77,0,3.0,-28,-1.4,105,5.3,-1.5,0,,0,0.0,0,81.2,McClRa00,2020,,,,,,,10.0,1.0,6.0,5.0,36.0,0.0
206,Ian Thomas,CAR,24,TE,16,8,31,20,145,1,11.0,67,3.4,78,3.9,6.3,0,,1,3.2,2,59.2,ThomIa00,2020,16.0,3.0,30.0,16.0,136.0,1.0,16.0,6.0,49.0,36.0,333.0,2.0
207,Chris Thompson,JAX,30,,8,0,23,20,146,1,5.0,39,2.0,107,5.4,2.8,1,20.0,0,0.0,0,107.6,ThomCh03,2020,11.0,0.0,58.0,42.0,378.0,0.0,10.0,0.0,55.0,41.0,268.0,1.0
208,Olamide Zaccheaus,ATL,23,,11,2,32,20,274,1,16.0,211,10.6,63,3.2,13.8,2,10.0,1,3.1,1,87.2,ZaccOl01,2020,10.0,0.0,5.0,3.0,115.0,1.0,,,,,,
209,Miles Boykin,BAL,24,WR,16,13,33,19,266,4,14.0,186,9.8,80,4.2,11.6,0,,0,0.0,1,110.6,BoykMi00,2020,16.0,11.0,22.0,13.0,198.0,3.0,,,,,,
210,Tyler Conklin,MIN,25,,16,2,26,19,194,1,11.0,68,3.6,126,6.6,4.4,1,19.0,2,7.7,0,106.9,ConkTy00,2020,15.0,1.0,10.0,8.0,58.0,0.0,16.0,3.0,7.0,5.0,77.0,0.0
211,Ross Dwelley,SFO,25,TE,16,9,24,19,245,1,10.0,138,7.3,107,5.6,7.6,1,19.0,0,0.0,0,123.1,DwelRo00,2020,16.0,6.0,22.0,15.0,91.0,2.0,11.0,0.0,2.0,2.0,14.0,0.0
212,Derrick Henry *+,TEN,26,RB,16,16,31,19,114,0,4.0,-13,-0.7,127,6.7,-0.9,1,19.0,1,3.2,0,68.5,HenrDe00,2020,15.0,15.0,24.0,18.0,206.0,2.0,16.0,12.0,18.0,15.0,99.0,0.0
213,Justin Jackson,LAC,24,,9,4,24,19,173,0,7.0,-43,-2.3,216,11.4,-1.8,5,3.8,1,4.2,0,96.7,JackJu01,2020,7.0,0.0,11.0,9.0,22.0,0.0,13.0,1.0,19.0,15.0,135.0,0.0
214,Van Jefferson,LAR,24,,16,0,31,19,220,1,11.0,174,9.2,46,2.4,11.3,2,9.5,1,3.2,2,66.6,JeffVa00,2020,,,,,,,,,,,,
215,Kerryon Johnson,DET,23,,16,2,26,19,187,1,11.0,4,0.2,183,9.6,-0.1,1,19.0,2,7.7,0,105.8,JohnKe06,2020,8.0,7.0,15.0,10.0,127.0,1.0,10.0,7.0,39.0,32.0,213.0,1.0
216,Kyle Juszczyk*,SFO,29,FB,16,15,29,19,202,4,10.0,101,5.3,101,5.3,6.5,0,,2,6.9,1,110.9,JuszKy00,2020,12.0,12.0,24.0,20.0,239.0,1.0,16.0,14.0,41.0,30.0,324.0,1.0
217,Dion Lewis,NYG,30,,16,0,30,19,127,1,8.0,47,2.5,80,4.2,2.3,1,19.0,2,6.7,0,83.6,LewiDi00,2020,16.0,1.0,32.0,25.0,164.0,1.0,16.0,7.0,67.0,59.0,400.0,1.0
218,David Njoku,CLE,24,TE,13,5,29,19,213,2,13.0,126,6.6,87,4.6,7.4,2,9.5,1,3.4,0,110.3,NjokDa00,2020,4.0,1.0,10.0,5.0,41.0,1.0,16.0,14.0,88.0,56.0,639.0,4.0
219,Jalen Richard,LVR,27,,13,0,23,19,138,0,5.0,41,2.2,97,5.1,2.1,0,,1,4.3,1,73.6,RichJa01,2020,16.0,0.0,43.0,36.0,323.0,0.0,16.0,1.0,81.0,68.0,607.0,0.0
220,J.K. Dobbins,BAL,22,,15,1,24,18,120,0,4.0,-9,-0.5,129,7.2,0.0,2,9.0,4,16.7,0,85.4,DobbJK00,2020,,,,,,,,,,,,
221,Marvin Hall,2TM,27,,12,6,32,18,302,2,10.0,244,13.6,58,3.2,17.2,0,,4,12.5,0,109.1,HallMa02,2020,9.0,0.0,11.0,7.0,261.0,1.0,16.0,0.0,19.0,10.0,149.0,1.0
222,Dontrelle Inman,WAS,31,,10,2,28,18,163,2,11.0,119,6.6,44,2.4,8.3,0,,1,3.6,2,74.0,InmaDo00,2020,7.0,1.0,21.0,12.0,181.0,0.0,9.0,4.0,39.0,28.0,304.0,3.0
223,Collin Johnson,JAX,23,,14,0,31,18,272,2,12.0,207,11.5,65,3.6,12.1,0,,0,0.0,1,95.1,JohnCo01,2020,,,,,,,,,,,,
224,Kaden Smith,NYG,23,TE,15,12,21,18,112,0,8.0,23,1.3,89,4.9,2.0,1,18.0,0,0.0,0,88.9,SmitKa00,2020,9.0,6.0,42.0,31.0,268.0,3.0,,,,,,
225,Darrel Williams,KAN,25,,16,0,26,18,116,0,6.0,-40,-2.2,156,8.7,-0.8,1,18.0,2,7.7,0,78.4,WillDa10,2020,12.0,0.0,19.0,15.0,167.0,1.0,6.0,0.0,3.0,3.0,27.0,1.0
226,Preston Williams,MIA,23,WR,8,7,35,18,288,4,14.0,246,13.7,42,2.3,14.5,0,,3,8.6,2,93.5,WillPr01,2020,8.0,7.0,60.0,32.0,428.0,3.0,,,,,,
