Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional,Year,G19,GS19,Tgt19,Rec19,Yds19,TD19,G18,GS18,Tgt18,Rec18,Yds18,TD18
22,Brandin Cooks,HOU,27,WR,15,15,119,81,1150,6,51.0,800,9.9,350,4.3,11.8,3,27.0,2,1.7,4,101.9,CookBr00,2020,14.0,14.0,72.0,42.0,583.0,2.0,16.0,16.0,117.0,80.0,1204.0,5.0
23,J.D. McKissic,WAS,27,RB,16,7,110,80,589,2,32.0,86,1.1,503,6.3,1.7,4,20.0,2,1.8,3,79.7,McKiJ.00,2020,16.0,3.0,42.0,34.0,233.0,1.0,,,,,,
24,Tyler Boyd,CIN,26,WR,15,8,110,79,841,4,43.0,491,6.2,350,4.4,8.5,1,79.0,2,1.8,4,90.8,BoydTy00,2020,16.0,15.0,148.0,90.0,1046.0,5.0,14.0,14.0,108.0,76.0,1028.0,7.0
25,Curtis Samuel,CAR,24,WR,15,5,97,77,851,3,39.0,531,6.9,320,4.2,7.3,4,19.3,5,5.2,1,109.2,SamuCu00,2020,16.0,15.0,105.0,54.0,627.0,6.0,13.0,8.0,65.0,39.0,494.0,5.0
26,Marvin Jones,DET,30,WR,16,16,115,76,978,9,52.0,782,10.3,196,2.6,12.7,5,15.2,6,5.2,4,104.2,JoneMa02,2020,13.0,11.0,91.0,62.0,779.0,9.0,9.0,9.0,62.0,35.0,508.0,5.0
27,CeeDee Lamb,DAL,21,WR,16,14,111,74,935,5,46.0,624,8.4,311,4.2,9.3,3,24.7,8,7.2,2,100.2,LambCe00,2020,,,,,,,,,,,,
28,Adam Thielen,MIN,30,WR,15,15,108,74,925,14,52.0,682,9.2,243,3.3,11.5,2,37.0,7,6.5,4,119.0,ThieAd00,2020,10.0,10.0,48.0,30.0,418.0,6.0,16.0,16.0,153.0,113.0,1373.0,9.0
29,Russell Gage,ATL,24,WR,16,8,109,72,786,4,50.0,505,7.0,281,3.9,8.5,4,18.0,7,6.4,1,95.6,GageRu00,2020,16.0,4.0,74.0,49.0,446.0,1.0,15.0,0.0,10.0,6.0,63.0,0.0
30,Jarvis Landry,CLE,28,WR,15,14,101,72,840,3,46.0,499,6.9,341,4.7,8.2,4,18.0,6,5.9,1,101.9,LandJa00,2020,16.0,16.0,138.0,83.0,1174.0,6.0,16.0,14.0,149.0,81.0,976.0,4.0
31,Logan Thomas,WAS,29,TE,16,15,110,72,670,6,36.0,382,5.3,288,4.0,7.0,3,24.0,7,6.4,4,85.0,ThomLo00,2020,16.0,3.0,28.0,16.0,173.0,1.0,12.0,3.0,17.0,12.0,77.0,0.0
32,A.J. Brown*,TEN,23,WR,14,12,106,70,1075,11,55.0,643,9.2,432,6.2,10.9,13,5.4,5,4.7,2,126.1,BrowAJ00,2020,16.0,11.0,84.0,52.0,1051.0,8.0,,,,,,
33,Mike Evans,TAM,27,WR,16,16,109,70,1006,13,55.0,741,10.6,265,3.8,12.1,2,35.0,4,3.7,2,126.0,EvanMi00,2020,13.0,13.0,118.0,67.0,1157.0,8.0,16.0,16.0,138.0,86.0,1524.0,8.0
34,Tee Higgins,CIN,21,WR,16,14,108,67,908,6,52.0,598,8.9,310,4.6,11.5,5,13.4,8,7.4,1,103.5,HiggTe00,2020,,,,,,,,,,,,
35,T.J. Hockenson*,DET,23,TE,16,16,101,67,723,6,40.0,394,5.9,329,4.9,7.0,4,16.8,7,6.9,4,90.5,HockTJ00,2020,12.0,7.0,59.0,32.0,367.0,2.0,,,,,,
