Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
50,Diontae Johnson,PIT,23,WR,16,12,92,59,680,5,31,375,6.4,305,5.2,9.2,9,6.6,6,6.5,2,95.4,JohnDi01
51,Mohamed Sanu,2TM,30,,15,12,89,59,520,2,30,326,5.5,194,3.3,7.5,2,29.5,6,6.7,3,75.1,SanuMo00
52,Dallas Goedert,PHI,24,TE,15,9,87,58,607,5,33,276,4.8,331,5.7,5.8,5,11.6,5,5.7,3,91.5,GoedDa00
53,Tyreek Hill*,KAN,25,WR,12,12,89,58,860,7,39,585,10.1,275,4.7,12.9,4,14.5,3,3.4,2,113.5,HillTy00
54,Terry McLaurin,WAS,24,WR,14,14,93,58,919,7,43,702,12.1,217,3.7,14.0,4,14.5,4,4.3,1,115.8,McLaTe00
55,D.K. Metcalf,SEA,22,WR,16,15,100,58,900,7,39,627,10.8,273,4.7,13.0,4,14.5,7,7.0,1,107.1,MetcDK00
56,Deebo Samuel,SFO,23,WR,15,11,81,57,802,3,32,329,5.8,473,8.3,7.5,7,8.1,9,11.1,1,109.2,SamuDe00
57,Sterling Shepard,NYG,26,WR,10,10,83,57,576,3,29,397,7.0,179,3.1,9.9,4,14.3,1,1.2,4,80.2,ShepSt00
58,Randall Cobb,DAL,29,wr,15,6,83,55,828,3,41,499,9.1,329,6.0,9.9,5,11.0,8,9.6,3,95.9,CobbRa00
59,Hunter Henry,LAC,25,TE,12,12,76,55,652,5,36,488,8.9,164,3.0,10.2,0,,4,5.3,1,114.6,HenrHu00
60,Ezekiel Elliott*,DAL,24,RB,16,16,71,54,420,2,21,25,0.5,395,7.3,0.6,6,9.0,4,5.6,0,99.5,ElliEz00
61,Curtis Samuel,CAR,23,WR,16,15,105,54,627,6,36,474,8.8,153,2.8,14.6,3,18.0,7,6.7,1,84.9,SamuCu00
62,Dalvin Cook*,MIN,24,RB,14,14,63,53,519,0,26,-72,-1.4,591,11.2,-1.5,9,5.9,7,11.1,0,101.0,CookDa01
63,Robby Anderson,NYJ,26,WR,16,15,96,52,779,5,35,586,11.3,193,3.7,14.6,1,52.0,4,4.2,3,85.4,AndeRo04
64,Saquon Barkley,NYG,22,RB,13,13,73,52,438,2,14,0,0.0,438,8.4,0.8,8,6.5,4,5.5,0,95.6,BarkSa00
65,A.J. Brown,TEN,22,WR,16,11,84,52,1051,8,39,586,11.3,465,8.9,13.2,8,6.5,2,2.4,2,127.6,BrowAJ00
66,Anthony Miller,CHI,25,WR,16,7,85,52,656,2,34,439,8.4,217,4.2,10.1,4,13.0,3,3.5,3,78.4,MillAn02
67,Greg Olsen,CAR,34,TE,14,14,82,52,597,2,34,396,7.6,201,3.9,9.0,2,26.0,3,3.7,2,83.2,OlseGr00
68,Sammy Watkins,KAN,26,WR,14,13,90,52,673,3,30,376,7.2,297,5.7,9.5,0,,4,4.4,0,92.5,WatkSa00
69,Mike Gesicki,MIA,24,te,16,5,89,51,570,5,25,408,8.0,162,3.2,10.1,0,,0,0.0,2,85.9,GesiMi00
70,Kenyan Drake,2TM,25,,14,10,68,50,345,0,15,-79,-1.6,424,8.5,-0.6,2,25.0,3,4.4,1,78.4,DrakKe00
71,Miles Sanders,PHI,22,RB,16,11,63,50,509,3,19,89,1.8,420,8.4,2.0,4,12.5,3,4.8,0,116.2,SandMi01
72,Will Fuller,HOU,25,WR,11,11,71,49,670,3,26,451,9.2,219,4.5,14.2,2,24.5,5,7.0,3,95.4,FullWi01
73,Russell Gage,ATL,23,,16,4,74,49,446,1,25,295,6.0,151,3.1,7.1,0,,0,0.0,1,81.2,GageRu00
74,Aaron Jones,GNB,25,RB,16,16,68,49,474,3,18,41,0.8,433,8.8,2.8,10,4.9,2,2.9,0,105.9,JoneAa00
75,Hunter Renfrow,OAK,24,,13,4,71,49,605,4,30,304,6.2,301,6.1,7.0,5,9.8,4,5.6,1,108.0,RenfHu00
76,Golden Tate,NYG,31,WR,11,10,85,49,676,6,30,392,8.0,284,5.8,9.6,3,16.3,3,3.5,4,87.2,TateGo00
77,Mike Williams,LAC,25,WR,15,15,90,49,1001,2,41,814,16.6,187,3.8,17.8,3,16.3,4,4.4,8,64.2,WillMi07
78,Darius Slayton,NYG,22,WR,14,9,84,48,740,8,32,551,11.5,189,3.9,14.1,5,9.6,2,2.4,4,98.3,SlayDa01
79,Chris Conley,JAX,27,WR,16,14,90,47,775,5,36,523,11.1,252,5.4,14.2,5,9.4,7,7.8,0,100.0,ConlCh00
80,Jaylen Samuels,PIT,23,,14,4,57,47,305,1,19,-61,-1.3,366,7.8,-0.8,1,47.0,5,8.8,1,87.5,SamuJa00
81,Marquise Brown,BAL,22,wr,14,11,71,46,584,7,24,358,7.8,226,4.9,11.0,3,15.3,2,2.8,0,123.2,BrowMa04
82,T.Y. Hilton,IND,30,WR,10,10,68,45,501,5,24,288,6.4,213,4.7,10.3,2,22.5,3,4.4,1,106.3,HiltT.00
83,Evan Engram,NYG,25,TE,8,6,68,44,467,3,23,215,4.9,252,5.7,5.8,2,22.0,3,4.4,0,99.3,EngrEv00
84,Nyheim Hines,IND,23,,16,2,58,44,320,0,15,5,0.1,315,7.2,1.3,4,11.0,2,3.4,0,88.3,HineNy00
85,Duke Johnson,HOU,26,,16,2,62,44,410,3,18,49,1.1,361,8.2,2.6,9,4.9,1,1.6,2,91.5,JohnDu00
86,James Washington,PIT,23,WR,15,10,80,44,735,3,31,550,12.5,185,4.2,15.8,1,44.0,5,6.3,5,72.7,WashJa00
87,Jared Cook*,NOR,32,te,14,7,65,43,705,9,32,451,10.5,254,5.9,10.3,3,14.3,4,6.2,1,135.6,CookJa02
88,Corey Davis,TEN,24,WR,15,11,69,43,601,2,33,360,8.4,241,5.6,11.5,8,5.4,4,5.8,0,100.0,DaviCo03
89,Jack Doyle*,IND,29,TE,16,16,72,43,448,4,29,232,5.4,216,5.0,6.8,0,,3,4.2,2,84.7,DoylJa00
90,Tyler Eifert,CIN,29,/te,16,4,63,43,436,3,24,312,7.3,124,2.9,8.0,1,43.0,5,7.9,1,97.1,EifeTy00
91,Alex Erickson,CIN,27,wr,16,6,78,43,529,0,26,265,6.2,264,6.1,8.1,3,14.3,2,2.6,3,60.3,EricAl01
92,Royce Freeman,DEN,23,,16,0,50,43,256,1,10,-3,-0.1,259,6.0,0.1,4,10.8,2,4.0,0,94.7,FreeRo00
93,Alshon Jeffery,PHI,29,WR,10,10,73,43,490,4,36,379,8.8,111,2.6,11.1,0,,3,4.1,1,91.7,JeffAl00
94,Albert Wilson,MIA,27,,13,4,62,43,351,1,22,172,4.0,179,4.2,5.3,1,43.0,5,8.1,1,82.1,WilsAl02
95,Brandin Cooks,LAR,26,WR,14,14,72,42,583,2,32,414,9.9,169,4.0,13.9,0,,4,5.6,2,82.1,CookBr00
96,Melvin Gordon,LAC,26,RB,12,11,55,42,296,1,11,-25,-0.6,321,7.6,-0.9,8,5.3,4,7.3,0,94.2,GordMe00
97,JuJu Smith-Schuster,PIT,23,WR,12,12,70,42,552,3,23,323,7.7,229,5.5,9.7,0,,5,7.1,3,81.4,SmitJu00
98,Chris Thompson,WAS,29,,11,0,58,42,378,0,16,41,1.0,337,8.0,1.7,3,14.0,2,3.4,0,89.6,ThomCh03
99,Tyrell Williams,OAK,27,WR,14,12,64,42,651,6,33,461,11.0,190,4.5,13.7,1,42.0,5,7.8,3,110.9,WillTy00
100,Jacob Hollister,SEA,26,,11,3,59,41,349,3,16,180,4.4,169,4.1,5.8,3,13.7,1,1.7,2,87.5,HollJa03
101,Zach Pascal,IND,25,WR,16,13,72,41,607,5,29,372,9.1,235,5.7,10.8,3,13.7,3,4.2,4,84.7,PascZa00
102,Noah Fant,DEN,22,TE,16,11,66,40,562,3,23,232,5.8,330,8.3,7.6,3,13.3,5,7.6,3,84.3,FantNo00
103,Kenny Stills,HOU,27,wr,13,5,55,40,561,4,27,417,10.4,144,3.6,10.5,0,,2,3.6,1,121.9,StilKe00
104,Auden Tate,CIN,22,WR,12,10,80,40,575,1,29,455,11.4,120,3.0,11.5,3,13.3,3,3.8,2,67.4,TateAu00
105,Nelson Agholor,PHI,26,WR,11,10,69,39,363,3,17,237,6.1,126,3.2,11.2,4,9.8,4,5.8,0,85.6,AghoNe00
106,Kyle Rudolph,MIN,30,TE,16,16,48,39,367,6,24,177,4.5,190,4.9,6.4,1,39.0,0,0.0,0,138.1,RudoKy00
107,Jamaal Williams,GNB,24,,14,2,45,39,253,5,16,-26,-0.7,279,7.2,-0.8,10,3.9,1,2.2,0,127.1,WillJa06
108,Jimmy Graham,GNB,33,TE,16,10,60,38,447,3,23,204,5.4,243,6.4,8.9,2,19.0,2,3.3,0,102.6,GrahJi00
109,Vance McDonald,PIT,29,TE,14,14,55,38,273,3,12,101,2.7,172,4.5,5.1,1,38.0,3,5.5,2,83.4,McDoVa00
110,Chris Carson,SEA,25,RB,15,15,47,37,266,2,10,-29,-0.8,295,8.0,-0.6,6,6.2,3,6.4,0,104.4,CarsCh00
111,Gerald Everett,LAR,25,,13,2,60,37,408,2,22,230,6.2,178,4.8,8.1,9,4.1,0,0.0,2,79.0,EverGe00
112,Adam Humphries,TEN,26,,12,3,47,37,374,2,20,254,6.9,120,3.2,7.5,0,,1,2.1,0,114.0,HumpAd00
113,Kareem Hunt,CLE,24,,8,3,44,37,285,1,17,9,0.2,276,7.5,0.8,4,9.3,2,4.5,0,101.2,HuntKa00
114,Jordan Akins,HOU,27,TE,16,9,55,36,418,2,21,172,4.8,246,6.8,6.8,6,6.0,4,7.3,3,77.7,AkinJo00
115,Cameron Brate,TAM,28,TE,16,6,55,36,311,4,21,221,6.1,90,2.5,7.0,1,36.0,2,3.6,1,96.9,BratCa00
116,Nick Chubb*,CLE,24,RB,16,16,49,36,278,0,13,-40,-1.1,318,8.8,-0.6,8,4.5,4,8.2,0,86.9,ChubNi00
117,David Johnson,ARI,28,rb,13,9,47,36,370,4,17,148,4.1,222,6.2,3.4,2,18.0,2,4.3,1,118.2,JohnDa08
118,Breshad Perriman,TAM,26,/wr,14,4,69,36,645,6,29,518,14.4,127,3.5,16.3,1,36.0,0,0.0,3,95.4,PerrBr02
119,Jalen Richard,OAK,26,,16,0,43,36,323,0,15,87,2.4,236,6.6,2.1,1,36.0,3,7.0,0,98.0,RichJa01
120,Irv Smith Jr.,MIN,21,,16,7,47,36,311,2,17,175,4.9,136,3.8,5.6,0,,1,2.1,0,107.7,SmitIr01
121,Demaryius Thomas,NYJ,32,WR,11,10,58,36,433,1,22,263,7.3,170,4.7,9.6,1,36.0,5,8.6,3,69.1,ThomDe03
122,DeAndre Washington,OAK,26,,16,3,41,36,292,0,10,46,1.3,246,6.8,1.3,0,,2,4.9,0,96.3,WashDe00
123,Allen Lazard,GNB,24,,16,3,52,35,477,3,24,346,9.9,131,3.7,14.2,0,,2,3.8,0,115.6,LazaAl00
124,Phillip Lindsay,DEN,25,RB,16,16,48,35,196,0,9,-47,-1.3,243,6.9,-1.5,0,,6,12.5,0,79.9,LindPh00
125,Joe Mixon,CIN,23,RB,16,15,45,35,287,3,14,-44,-1.3,331,9.5,-0.3,4,8.8,1,2.2,0,115.5,MixoJo00
126,Dare Ogunbowale,TAM,25,,16,0,46,35,286,0,14,79,2.3,207,5.9,2.6,2,17.5,2,4.3,3,64.2,OgunDa00
127,Jonnu Smith,TEN,24,TE,16,14,44,35,439,3,16,166,4.7,273,7.8,5.3,6,5.8,2,4.5,1,121.5,SmitJo01
128,Geronimo Allison,GNB,25,wr,16,6,55,34,287,2,16,177,5.2,110,3.2,7.4,1,34.0,5,9.1,0,87.5,AlliGe01
129,James Conner,PIT,24,RB,10,10,38,34,251,3,14,-47,-1.4,298,8.8,-1.4,8,4.3,1,2.6,0,120.5,ConnJa00
130,Darren Fells,HOU,33,TE,16,14,48,34,341,7,22,173,5.1,168,4.9,5.4,2,17.0,3,6.3,0,130.3,FellDa01
131,Ryan Griffin,NYJ,29,TE,13,13,41,34,320,5,19,138,4.1,182,5.4,5.4,2,17.0,2,4.9,0,138.8,GrifRy00
132,O.J. Howard,TAM,25,TE,14,14,53,34,459,1,23,309,9.1,150,4.4,10.0,2,17.0,5,9.4,2,82.2,HowaO.00
133,J.D. McKissic,DET,26,/rb,16,3,42,34,233,1,7,-4,-0.1,237,7.0,0.1,3,11.3,0,0.0,0,97.7,McKiJ.00
134,Latavius Murray,NOR,29,rb,16,8,43,34,235,1,9,-49,-1.4,284,8.4,-1.2,5,6.8,3,7.0,1,87.5,MurrLa00
135,Steven Sims,WAS,22,,16,2,56,34,310,4,18,138,4.1,172,5.1,6.8,1,34.0,4,7.1,1,92.1,SimsSt00
136,Damiere Byrd,ARI,26,/wr,11,3,46,32,359,1,16,209,6.5,150,4.7,10.0,3,10.7,1,2.2,1,90.8,ByrdDa00
137,T.J. Hockenson,DET,22,te,12,7,59,32,367,2,19,167,5.2,200,6.3,7.5,4,8.0,2,3.4,0,84.5,HockTJ00
138,Allen Hurns,MIA,28,WR,14,7,47,32,416,2,18,300,9.4,116,3.6,10.4,1,32.0,2,4.3,1,101.0,HurnAl01
139,Demarcus Robinson,KAN,25,wr,16,10,55,32,449,4,19,338,10.6,111,3.5,13.2,4,8.0,1,1.8,2,93.7,RobiDe01
140,Preston Williams,MIA,22,WR,8,7,60,32,428,3,24,344,10.8,84,2.6,13.6,2,16.0,4,6.7,2,79.0,WillPr01
141,Nick Boyle,BAL,26,TE,16,15,43,31,321,2,13,161,5.2,160,5.2,6.1,0,,2,4.7,1,99.1,BoylNi00
142,Eric Ebron,IND,26,/te,11,2,52,31,375,3,20,220,7.1,155,5.0,9.5,0,,5,9.6,3,77.0,EbroEr00
143,Todd Gurley,LAR,25,RB,15,15,49,31,207,2,8,11,0.4,196,6.3,0.6,1,31.0,7,14.3,0,86.0,GurlTo01
144,Blake Jarwin,DAL,25,te,16,7,41,31,365,3,17,208,6.7,157,5.1,8.0,1,31.0,1,2.4,0,126.6,JarwBl00
145,Olabisi Johnson,MIN,22,,16,6,45,31,294,3,17,226,7.3,68,2.2,9.6,0,,0,0.0,0,108.9,JohnOl00
146,Ronald Jones II,TAM,22,RB,16,9,40,31,309,0,12,19,0.6,290,9.4,0.9,5,6.2,1,2.5,1,88.4,JoneRo01
147,Kaden Smith,NYG,22,te,9,6,42,31,268,3,12,177,5.7,91,2.9,5.7,1,31.0,1,2.4,0,114.0,SmitKa00
148,Willie Snead,BAL,27,WR,16,11,46,31,339,5,20,213,6.9,126,4.1,8.9,1,31.0,1,2.2,3,98.0,SneaWi00
149,Giovani Bernard,CIN,28,,16,2,43,30,234,0,7,32,1.1,202,6.7,0.6,3,10.0,2,4.7,1,73.2,BernGi00
150,Kendrick Bourne,SFO,24,,16,0,44,30,358,5,23,236,7.9,122,4.1,8.3,2,15.0,3,6.8,1,121.2,BourKe00
151,Ted Ginn Jr.,NOR,34,WR,16,9,56,30,421,2,20,373,12.4,48,1.6,15.9,0,,7,12.5,1,82.5,GinnTe00
152,Kelvin Harmon,WAS,23,WR,16,8,44,30,365,0,16,271,9.0,94,3.1,11.4,2,15.0,2,4.5,2,74.5,HarmKe00
153,Hayden Hurst,BAL,26,/te,16,4,39,30,349,2,16,201,6.7,148,4.9,8.5,1,30.0,0,0.0,0,120.6,HursHa00
154,Adam Thielen,MIN,29,WR,10,10,48,30,418,6,18,301,10.0,117,3.9,12.2,2,15.0,1,2.1,0,130.0,ThieAd00
155,Damien Williams,KAN,27,rb,11,6,37,30,213,2,10,-17,-0.6,230,7.7,0.9,5,6.0,2,5.4,0,108.7,WillDa05
156,Phillip Dorsett,NWE,26,/wr,14,4,54,29,397,5,17,318,11.0,79,2.7,13.9,0,,0,0.0,1,100.6,DorsPh00
157,Taylor Gabriel,CHI,28,WR,9,7,48,29,353,4,17,274,9.4,79,2.7,11.6,0,,3,6.3,0,110.9,GabrTa00
158,Devin Singletary,BUF,22,RB,12,8,41,29,194,2,5,1,0.0,193,6.7,1.5,3,9.7,4,9.8,0,97.0,SingDe00
159,DaeSean Hamilton,DEN,24,,16,2,52,28,297,1,19,169,6.0,128,4.6,8.1,2,14.0,4,7.7,0,77.2,HamiDa01
160,Dawson Knox,BUF,23,TE,15,11,50,28,388,2,15,244,8.7,144,5.1,9.1,3,9.3,10,20.0,0,94.4,KnoxDa00
161,LeSean McCoy,KAN,31,RB,13,9,34,28,181,1,6,-55,-2.0,236,8.4,-0.7,1,28.0,1,2.9,0,98.7,McCoLe01
162,Paul Richardson,WAS,27,WR,10,6,42,28,245,2,13,195,7.0,50,1.8,9.6,0,,2,4.8,2,78.0,RichPa01
163,John Ross,CIN,24,WR,8,8,56,28,506,3,22,308,11.0,198,7.1,15.6,3,9.3,8,14.3,2,84.4,RossJo00
164,Greg Ward,PHI,24,,7,3,40,28,254,1,18,160,5.7,94,3.4,6.7,1,28.0,0,0.0,0,95.2,WardGr02
165,Jarius Wright,CAR,30,WR,16,9,58,28,296,0,16,203,7.3,93,3.3,10.5,1,28.0,8,13.8,5,27.7,WrigJa02
166,Rex Burkhead,NWE,29,,13,1,38,27,279,0,10,50,1.9,229,8.5,3.2,3,9.0,2,5.3,0,91.9,BurkRe00
167,Josh Gordon,2TM,28,,11,7,47,27,426,1,16,284,10.5,142,5.3,11.0,4,6.8,2,4.3,0,94.8,GordJo02
168,Zay Jones,2TM,24,,15,9,45,27,216,0,10,139,5.1,77,2.9,9.9,0,,1,2.2,2,53.6,JoneZa00
169,Isaiah McKenzie,BUF,24,WR,15,8,39,27,254,1,12,48,1.8,206,7.6,4.3,1,27.0,2,5.1,0,95.5,McKeIs00
170,C.J. Uzomah,CIN,26,TE,16,16,40,27,242,2,12,107,4.0,135,5.0,3.9,1,27.0,2,5.0,1,89.8,UzomC.00
171,Mecole Hardman*,KAN,21,wr,16,5,41,26,538,6,18,246,9.5,292,11.2,11.0,2,13.0,1,2.4,0,146.6,HardMe00
172,Mark Ingram*,BAL,30,RB,15,15,29,26,247,5,16,27,1.0,220,8.5,1.5,2,13.0,0,0.0,0,141.7,IngrMa01
173,Jakobi Meyers,NWE,23,,15,1,41,26,359,0,17,245,9.4,114,4.4,10.3,3,8.7,2,4.9,0,91.4,MeyeJa01
174,Trey Quinn,WAS,24,wr,12,6,47,26,198,1,10,137,5.3,61,2.3,6.9,0,,1,2.1,2,55.1,QuinTr00
175,Jeremy Sprinkle,WAS,25,TE,16,13,40,26,241,1,13,150,5.8,91,3.5,6.5,0,,4,10.0,2,68.9,SpriJe00
176,Marquez Valdes-Scantling,GNB,25,WR,16,10,56,26,452,2,14,301,11.6,151,5.8,16.9,0,,3,5.4,1,78.9,ValdMa00
177,Pharoh Cooper,2TM,24,,13,1,33,25,243,1,10,173,6.9,70,2.8,10.2,0,,1,3.0,0,106.0,CoopPh00
178,Josh Hill,NOR,29,TE,16,11,35,25,226,3,13,67,2.7,159,6.4,4.9,0,,1,2.9,0,117.1,HillJo02
179,Dion Lewis,TEN,29,/rb,16,1,32,25,164,1,7,-29,-1.2,193,7.7,-0.7,2,12.5,2,6.3,0,98.4,LewiDi00
180,David Montgomery,CHI,22,rb,16,8,35,25,185,1,7,29,1.2,156,6.2,2.7,6,4.2,2,5.7,0,93.2,MontDa01
181,Tajae Sharpe,TEN,25,WR,15,6,35,25,329,4,20,271,10.8,58,2.3,14.2,0,,0,0.0,1,127.0,SharTa00
182,Keelan Cole,JAX,26,,16,1,35,24,361,3,19,262,10.9,99,4.1,10.7,0,,1,2.9,1,118.9,ColeKe00
183,Ty Johnson,DET,22,,16,1,31,24,109,0,4,22,0.9,87,3.6,2.2,1,24.0,2,6.5,0,81.2,JohnTy02
184,Cody Latimer,NYG,27,WR,15,10,42,24,300,2,19,231,9.6,69,2.9,11.8,0,,1,2.4,1,85.4,LatiCo00
185,Boston Scott,PHI,24,,11,2,26,24,204,0,10,-69,-2.9,273,11.4,-1.8,2,12.0,1,3.8,0,99.4,ScotBo02
186,Will Dissly,SEA,23,TE,6,6,27,23,262,4,14,192,8.3,70,3.0,9.5,0,,0,0.0,0,146.7,DissWi00
