Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Player-additional
1,Michael Thomas*+,NOR,26,WR,16,15,185,149,1725,9,91,1142,7.7,583,3.9,8.1,5,29.8,6,3.2,0,121.7,ThomMi05
2,Christian McCaffrey*+,CAR,23,RB,16,16,142,116,1005,4,58,-14,-0.1,1019,8.8,0.6,14,8.3,7,4.9,2,99.7,McCaCh01
3,Keenan Allen*,LAC,27,WR,16,16,149,104,1199,6,63,825,7.9,374,3.6,10.1,4,26.0,7,4.7,8,84.8,AlleKe00
4,DeAndre Hopkins*+,HOU,27,WR,15,15,150,104,1165,7,68,778,7.5,387,3.7,10.1,9,11.6,4,2.7,1,105.0,HopkDe00
5,Julian Edelman,NWE,33,WR,16,13,153,100,1117,6,54,797,8.0,320,3.2,9.5,4,25.0,13,8.5,3,91.9,EdelJu00
6,Julio Jones*,ATL,30,WR,15,15,157,99,1394,6,77,1030,10.4,364,3.7,12.2,7,14.1,4,2.5,5,91.1,JoneJu02
7,Allen Robinson,CHI,26,WR,16,15,154,98,1147,7,63,875,8.9,272,2.8,11.1,5,19.6,7,4.5,4,90.5,RobiAl02
8,Travis Kelce*,KAN,30,TE,16,16,136,97,1229,5,65,819,8.4,410,4.2,9.0,6,16.2,8,5.9,0,111.4,KelcTr00
9,Cooper Kupp,LAR,26,WR,16,14,134,94,1161,10,51,623,6.6,538,5.7,7.2,9,10.4,3,2.2,2,115.3,KuppCo00
10,Austin Ekeler,LAC,24,rb,16,8,108,92,993,8,42,53,0.6,940,10.2,1.3,15,6.1,1,0.9,2,122.0,EkelAu00
11,Tyler Boyd,CIN,25,WR,16,15,148,90,1046,5,51,623,6.9,423,4.7,8.0,3,30.0,5,3.4,6,76.6,BoydTy00
12,Darren Waller,OAK,27,TE,16,16,117,90,1145,3,53,575,6.4,570,6.3,7.3,8,11.3,5,4.3,2,108.4,WallDa01
13,Robert Woods,LAR,27,WR,15,15,139,90,1134,2,54,558,6.2,576,6.4,8.4,3,30.0,4,2.9,6,76.8,WoodRo02
14,Zach Ertz*,PHI,29,TE,15,15,135,88,916,6,50,661,7.5,255,2.9,8.6,5,17.6,5,3.7,1,96.4,ErtzZa00
15,D.J. Moore,CAR,22,WR,15,15,135,87,1175,4,63,791,9.1,384,4.4,11.1,6,14.5,4,3.0,5,86.5,MoorD.00
16,Chris Godwin*,TAM,23,WR,14,14,121,86,1333,9,63,756,8.8,577,6.7,10.4,8,10.8,1,0.8,5,114.8,GodwCh00
17,George Kittle*+,SFO,26,TE,14,14,107,85,1053,5,53,451,5.3,602,7.1,5.9,8,10.6,2,1.9,1,119.4,KittGe00
18,Davante Adams*,GNB,27,WR,12,12,127,83,997,5,54,609,7.3,388,4.7,10.0,3,27.7,7,5.5,1,99.1,AdamDa01
19,Jarvis Landry*,CLE,27,WR,16,16,138,83,1174,6,55,738,8.9,436,5.3,9.7,5,16.6,5,3.6,8,78.0,LandJa00
20,Tyler Lockett,SEA,27,WR,16,16,110,82,1057,8,53,749,9.1,308,3.8,12.4,0,,2,1.8,1,124.7,LockTy00
21,Alvin Kamara*,NOR,24,RB,14,9,97,81,533,1,28,-24,-0.3,557,6.9,0.3,10,8.1,5,5.2,1,88.7,KamaAl00
22,Tarik Cohen,CHI,24,RB,16,11,104,79,456,3,18,27,0.3,429,5.4,1.8,5,15.8,9,8.7,1,89.3,CoheTa00
23,Amari Cooper*,DAL,25,WR,16,16,119,79,1189,8,54,911,11.5,278,3.5,12.5,4,19.8,5,4.2,2,114.4,CoopAm00
24,Jamison Crowder,NYJ,26,WR,16,12,122,78,833,6,41,475,6.1,358,4.6,7.3,4,19.5,8,6.6,5,83.1,CrowJa00
25,Leonard Fournette,JAX,24,RB,15,15,100,76,522,0,23,-36,-0.5,558,7.3,0.1,8,9.5,6,6.0,1,83.0,FourLe00
26,Larry Fitzgerald,ARI,36,WR,16,16,109,75,804,4,40,461,6.1,343,4.6,7.8,0,,0,0.0,4,87.1,FitzLa00
27,Austin Hooper*,ATL,25,TE,13,10,97,75,787,6,41,452,6.0,335,4.5,6.5,5,15.0,1,1.0,2,112.3,HoopAu00
28,Odell Beckham Jr.,CLE,27,WR,16,15,133,74,1035,4,44,709,9.6,326,4.4,13.0,2,37.0,7,5.3,7,69.0,BeckOd00
29,DJ Chark*,JAX,23,WR,15,14,118,73,1008,8,42,679,9.3,329,4.5,11.5,5,14.6,4,3.4,2,104.8,CharDJ00
30,John Brown,BUF,29,WR,15,15,115,72,1060,6,53,850,11.8,210,2.9,14.5,4,18.0,5,4.3,3,99.2,BrowJo02
31,DeVante Parker,MIA,26,WR,16,14,128,72,1202,9,58,939,13.0,263,3.7,14.0,2,36.0,6,4.7,4,98.5,ParkDe01
32,Courtland Sutton*,DEN,24,WR,16,14,124,72,1112,6,50,760,10.6,352,4.9,11.6,12,6.0,5,4.0,2,97.2,SuttCo00
33,James White,NWE,27,,15,1,95,72,645,5,31,122,1.7,523,7.3,2.4,3,24.0,2,2.1,1,106.7,WhitJa02
34,Tyler Higbee,LAR,26,TE,15,15,89,69,734,3,36,338,4.9,396,5.7,6.6,5,13.8,2,2.2,1,107.6,HigbTy00
35,Christian Kirk,ARI,23,WR,13,13,108,68,709,3,31,423,6.2,286,4.2,10.0,1,68.0,4,3.7,1,87.3,KirkCh01
36,Cole Beasley,BUF,30,WR,15,10,106,67,778,6,37,448,6.7,330,4.9,8.0,4,16.8,6,5.7,4,88.5,BeasCo00
37,Mike Evans*,TAM,26,WR,13,13,118,67,1157,8,54,901,13.4,256,3.8,15.1,3,22.3,7,5.9,8,84.6,EvanMi00
38,Le'Veon Bell,NYJ,27,RB,15,15,78,66,461,1,20,21,0.3,440,6.7,0.6,12,5.5,2,2.6,1,90.2,BellLe00
39,Michael Gallup,DAL,23,WR,14,12,113,66,1107,6,50,774,11.7,333,5.0,12.2,7,9.4,11,9.7,2,101.9,GallMi00
40,Emmanuel Sanders,2TM,32,,17,16,97,66,869,5,41,632,9.6,237,3.6,10.4,2,33.0,2,2.1,7,83.2,SandEm00
41,Dede Westbrook,JAX,26,WR,15,11,101,66,660,3,31,343,5.2,317,4.8,6.3,3,22.0,3,3.0,2,85.4,WestDe00
42,Kenny Golladay*,DET,26,WR,16,16,116,65,1190,11,52,886,13.6,304,4.7,14.6,1,65.0,6,5.2,5,105.2,GollKe00
43,Mark Andrews*,BAL,24,,15,4,98,64,852,10,44,561,8.8,291,4.5,10.6,3,21.3,7,7.1,3,114.0,AndrMa00
44,Stefon Diggs,MIN,26,WR,15,15,94,63,1130,6,41,828,13.1,302,4.8,14.9,2,31.5,6,6.4,5,107.1,DiggSt00
45,Calvin Ridley,ATL,25,WR,13,10,93,63,866,7,47,728,11.6,138,2.2,13.4,2,31.5,3,3.2,2,113.5,RidlCa00
46,Jason Witten,DAL,37,TE,16,16,83,63,529,4,27,367,5.8,162,2.6,6.6,0,,6,7.2,0,108.0,WittJa00
47,Danny Amendola,DET,34,WR,15,10,97,62,678,1,36,471,7.6,207,3.3,8.8,3,20.7,2,2.1,2,79.3,AmenDa00
48,Marvin Jones,DET,29,WR,13,11,91,62,779,9,41,673,10.9,106,1.7,13.0,2,31.0,2,2.2,5,104.6,JoneMa02
49,Devonta Freeman,ATL,27,RB,14,14,70,59,410,4,17,66,1.1,344,5.8,1.1,0,,1,1.4,1,104.2,FreeDe00
